Project,test_count,Time,Average_Time
hdrHistogram,570,44.814,0.078621052631579
squidLib,73,18.548,0.254082191780822
arrow,1612,34.175,0.0212003722084367
byte-buddy,9170,17.501,0.00190850599781898
cantaloupe,3117,670.144,0.214996470965672
client_java,217,17.199,0.0792580645161291
commons-bcel,137,15.27,0.111459854014599
fastjson,4979,63.684,0.0127905201847761
feign,942,150.59,0.159861995753716
imglib2,1233,10.081,0.00817599351175993
iri,398,122.654,0.308175879396985
jdbi,1428,326.157,0.228401260504202
jgrapht,6782,160.107,0.0236076378649366
jooby,846,45.894,0.0542482269503546
logbook,744,42.822,0.0575564516129032
objenesis,45,0.547,0.0121555555555556
panda,61,2.698,0.0442295081967213
r2dbc-h2,259,2.415,0.00932432432432432
vert.x,4475,821.482,0.183571396648045
