project_name,method_count
Chronicle-Core,514
HdrHistogram,780
JCTools,1857
RoaringBitmap,1855
RxJava,8282
SimpleFlatMapper,5443
SquidLib,5663
apm-agent-java,5012
arrow,3789
byte-buddy,5046
cantaloupe,3475
client_java,386
commons-bcel,3132
crate,24155
debezium,5290
eclipse-collections,15219
fastjson,17524
feign,979
h2o-3,13429
imglib2,3432
iri,1554
jdbi,2379
jetty.project,18060
jgrapht,3782
jooby,3331
kafka,16157
logbook,811
logging-log4j2,8480
netty,16615
objenesis,207
panda,1479
protostuff,3312
r2dbc-h2,291
rdf4j,14041
tinkerpop,7753
vert.x,5685
zipkin,2473
