Project Name,Total Benchmarks,Methods Benchmarked,Methods Directly Benchmarked
HdrHistogram,12,491,83
RxJava,217,6538,2027
SquidLib,236,10509,4891
arrow,34,2532,328
byte-buddy,39,1480,276
cantaloupe,103,3954,675
client_java,33,247,185
commons-bcel,3,434,111
crate,39,8525,636
eclipse-collections,515,15779,3353
fastjson,4,122,6
feign,8,548,54
imglib2,25,1594,149
iri,3,21,15
jdbi,76,5255,436
jetty.project,48,540,181
jgrapht,51,2206,407
jooby,3,21,9
kafka,27,1466,479
logbook,20,475,220
netty,221,23989,5147
objenesis,13,79,32
panda,4,1167,46
protostuff,16,328,62
r2dbc-h2,8,164,67
rdf4j,14,4033,79
tinkerpop,57,4798,800
vert.x,41,402,105
