Project Name,Benchmark Name,Count,Direct Count,Methods,Direct Methods
client_java,io.prometheus.benchmark.CounterBenchmark.codahaleCounterIncBenchmark,6,5,",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Counter.build,io.prometheus.client.Counter.newChild,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.SimpleCollector.labels",",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Counter.build,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.SimpleCollector.labels"
client_java,io.prometheus.benchmark.CounterBenchmark.codahaleMeterMarkBenchmark,6,5,",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Counter.build,io.prometheus.client.Counter.newChild,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.SimpleCollector.labels",",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Counter.build,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.SimpleCollector.labels"
client_java,io.prometheus.benchmark.CounterBenchmark.prometheusCounterChildIncBenchmark,6,5,",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Counter.build,io.prometheus.client.Counter.newChild,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.SimpleCollector.labels",",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Counter.build,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.SimpleCollector.labels"
client_java,io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark,6,5,",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Counter.build,io.prometheus.client.Counter.newChild,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.SimpleCollector.labels",",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Counter.build,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.SimpleCollector.labels"
client_java,io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterChildIncBenchmark,7,5,",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Striped64.casBase,io.prometheus.client.Counter.build,io.prometheus.client.Counter.newChild,io.prometheus.client.DoubleAdder.add,io.prometheus.client.SimpleCollector.labels",",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Counter.build,io.prometheus.client.DoubleAdder.add,io.prometheus.client.SimpleCollector.labels"
client_java,io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterIncBenchmark,4,4,",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Striped64.casBase,io.prometheus.client.Counter.build,io.prometheus.client.Counter.newChild,io.prometheus.client.DoubleAdder.add,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.SimpleCollector.labels",",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Counter.build,io.prometheus.client.DoubleAdder.add,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.SimpleCollector.labels"
client_java,io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterNoLabelsIncBenchmark,9,6,",io.prometheus.client.SimpleCollector.labels,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Striped64.casBase,io.prometheus.client.Counter.build,io.prometheus.client.Counter.newChild,io.prometheus.client.DoubleAdder.add,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Counter.inc",",io.prometheus.client.SimpleCollector.labels,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.Counter.build,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Counter.inc"
client_java,io.prometheus.benchmark.GaugeBenchmark.codahaleCounterDecBenchmark,6,5,",io.prometheus.client.Gauge.newChild,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels",",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels"
client_java,io.prometheus.benchmark.GaugeBenchmark.codahaleCounterIncBenchmark,6,5,",io.prometheus.client.Gauge.newChild,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels",",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels"
client_java,io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildDecBenchmark,6,5,",io.prometheus.client.Gauge.newChild,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels",",io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Collector.checkMetricLabelName,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.build,io.prometheus.client.SimpleCollector.labels"
