Project Name,Benchmark Name,Count,Direct Count,Methods,Direct Methods
jgrapht,org.jgrapht.perf.clique.MaximalCliqueEnumerationPerformanceTest.BronKerboschRandomGraphBenchmark.run,31,1,"org.jgrapht.alg.clique.DegeneracyBronKerboschCliqueFinder.lazyRun,org.jgrapht.graph.AbstractBaseGraph.containsVertex,org.jgrapht.util.TypeUtil.uncheckedCast,org.jgrapht.Graphs.getOppositeVertex,org.jgrapht.graph.DefaultGraphType.isSimple,org.jgrapht.graph.specifics.UndirectedEdgeContainer.getUnmodifiableVertexEdges,org.jgrapht.graph.AbstractBaseGraph.edgesOf,org.jgrapht.graph.BaseIntrusiveEdgesSpecifics.getEdgeTarget,org.jgrapht.GraphTests.isSimple,org.jgrapht.graph.UniformIntrusiveEdgesSpecifics.getIntrusiveEdge,org.jgrapht.traverse.DegeneracyOrderingIterator.hasNext,org.jgrapht.alg.clique.PivotBronKerboschCliqueFinder.lazyRun,org.jgrapht.graph.specifics.UndirectedSpecifics.getVertexSet,org.jgrapht.graph.AbstractGraph.containsEdge,org.jgrapht.alg.util.UnorderedPair.hashCode,org.jgrapht.traverse.DegeneracyOrderingIterator.next,org.jgrapht.graph.AbstractBaseGraph.getEdge,org.jgrapht.graph.AbstractGraph.assertVertexExist,org.jgrapht.traverse.DegeneracyOrderingIterator.advance,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.getEdge,org.jgrapht.alg.clique.BronKerboschCliqueFinder.findCliques,org.jgrapht.graph.specifics.UndirectedSpecifics.edgesOf,org.jgrapht.alg.clique.BronKerboschCliqueFinder.lazyRun,org.jgrapht.alg.clique.BaseBronKerboschCliqueFinder.iterator,org.jgrapht.alg.util.UnorderedPair.equals,org.jgrapht.alg.clique.PivotBronKerboschCliqueFinder.choosePivot,org.jgrapht.graph.BaseIntrusiveEdgesSpecifics.getEdgeSource,org.jgrapht.graph.specifics.UndirectedSpecifics.getEdgeContainer,org.jgrapht.alg.clique.PivotBronKerboschCliqueFinder.findCliques,org.jgrapht.graph.AbstractBaseGraph.getEdgeTarget,org.jgrapht.graph.AbstractBaseGraph.getEdgeSource",org.jgrapht.alg.clique.BaseBronKerboschCliqueFinder.iterator
jgrapht,org.jgrapht.perf.clique.MaximalCliqueEnumerationPerformanceTest.DegeneracyBronKerboschRandomGraphBenchmark.run,0,0,,
jgrapht,org.jgrapht.perf.clique.MaximalCliqueEnumerationPerformanceTest.PivotBronKerboschRandomGraphBenchmark.run,0,0,,
jgrapht,org.jgrapht.perf.connectivity.TreeDynamicConnectivityPerformanceTest.testTreeDynamicConnectivity,50,4,"org.jgrapht.util.AVLTree.balanceNode,org.jgrapht.util.AVLTree.isEmpty,org.jgrapht.util.DoublyLinkedList.unlink,org.jgrapht.util.DoublyLinkedList.get,org.jgrapht.util.AVLTree.mergeAfter,org.jgrapht.util.AVLTree.makeRoot,org.jgrapht.util.AVLTree.removeMin,org.jgrapht.util.AVLTree.mergeBefore,org.jgrapht.util.AVLTree.predecessor,org.jgrapht.alg.connectivity.TreeDynamicConnectivity.addIfAbsent,org.jgrapht.util.AVLTree.removeMax,org.jgrapht.alg.connectivity.TreeDynamicConnectivity.connected,org.jgrapht.alg.connectivity.TreeDynamicConnectivity.getNode,org.jgrapht.util.DoublyLinkedList.addElementBeforeNode,org.jgrapht.util.AVLTree.registerModification,org.jgrapht.util.DoublyLinkedList.size,org.jgrapht.alg.connectivity.TreeDynamicConnectivity.makeRoot,org.jgrapht.util.AVLTree.addMaxNode,org.jgrapht.util.AVLTree.rotateLeft,org.jgrapht.alg.connectivity.TreeDynamicConnectivity.getTree,org.jgrapht.util.AVLTree.swap,org.jgrapht.util.AVLTree.addMinNode,org.jgrapht.util.AVLTree.getMax,org.jgrapht.util.DoublyLinkedList.removeListNode,org.jgrapht.util.AVLTree.getMin,org.jgrapht.util.AVLTree.splitBefore,org.jgrapht.util.AVLTree.clear,org.jgrapht.util.AVLTree.getSize,org.jgrapht.alg.connectivity.TreeDynamicConnectivity.link,org.jgrapht.util.AVLTree.splitAfter,org.jgrapht.alg.connectivity.TreeDynamicConnectivity.contains,org.jgrapht.util.DoublyLinkedList.removeNode,org.jgrapht.util.DoublyLinkedList.isEmpty,org.jgrapht.util.AVLTree.rotateRight,org.jgrapht.util.DoublyLinkedList.tail,org.jgrapht.util.AVLTree.split,org.jgrapht.util.AVLTree.addMax,org.jgrapht.alg.connectivity.TreeDynamicConnectivity.cut,org.jgrapht.util.DoublyLinkedList.getNodeAt,org.jgrapht.util.AVLTree.getRoot,org.jgrapht.util.AVLTree.addMin,org.jgrapht.alg.connectivity.TreeDynamicConnectivity.add,org.jgrapht.util.DoublyLinkedList.addListNode,org.jgrapht.util.AVLTree.balance,org.jgrapht.util.DoublyLinkedList.link,org.jgrapht.util.AVLTree.merge,org.jgrapht.util.DoublyLinkedList.linkBefore,org.jgrapht.alg.connectivity.TreeDynamicConnectivity.makeLastArc,org.jgrapht.util.DoublyLinkedList.addNodeBefore,org.jgrapht.alg.connectivity.TreeDynamicConnectivity.makeFirstArc","org.jgrapht.alg.connectivity.TreeDynamicConnectivity.link,org.jgrapht.alg.connectivity.TreeDynamicConnectivity.cut,org.jgrapht.alg.connectivity.TreeDynamicConnectivity.add,org.jgrapht.alg.connectivity.TreeDynamicConnectivity.connected"
jgrapht,org.jgrapht.perf.connectivity.TreeDynamicConnectivityPerformanceTest.testTreeNaiveConnectivity,0,0,,
jgrapht,org.jgrapht.perf.flow.MaximumFlowAlgorithmPerformanceTest.DinicMaximumFlowRandomGraphBenchmark.run,0,0,,
jgrapht,org.jgrapht.perf.flow.MaximumFlowAlgorithmPerformanceTest.EdmondsKarpMaximumFlowRandomGraphBenchmark.run,0,0,,
jgrapht,org.jgrapht.perf.flow.MaximumFlowAlgorithmPerformanceTest.PushRelabelMaximumFlowRandomGraphBenchmark.run,0,0,,
jgrapht,org.jgrapht.perf.graph.DirectedAcyclicGraphPerformanceTest.ArrayDAGRandomGraphBenchmark.run,0,0,,
jgrapht,org.jgrapht.perf.graph.DirectedAcyclicGraphPerformanceTest.ArrayListDAGRandomGraphBenchmark.run,0,0,,
