Project Name,Benchmark Name,Count,Direct Count,Methods,Direct Methods
rdf4j,org.eclipse.rdf4j.benchmark.ForwardChainingRDFSInferencerBenchmark.initialize,0,0,,
rdf4j,org.eclipse.rdf4j.benchmark.ForwardChainingSchemaCachingRDFSInferencerBenchmark.initialize,0,0,,
rdf4j,org.eclipse.rdf4j.benchmark.NoReasoningBenchmark.initialize,0,0,,
rdf4j,org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectAll,0,0,,
rdf4j,org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct,114,1,"org.eclipse.rdf4j.sail.helpers.DirectoryLockManager.createLock,org.eclipse.rdf4j.model.impl.SimpleIRI.stringValue,org.eclipse.rdf4j.repository.sail.SailRepositoryConnection.isActive,org.eclipse.rdf4j.sail.base.SailSourceBranch.sink,org.eclipse.rdf4j.repository.sail.SailRepository.initializeInternal,org.eclipse.rdf4j.sail.nativerdf.MemoryOverflowModel.getDelegate,org.eclipse.rdf4j.model.base.AbstractStatement.hashCode,org.eclipse.rdf4j.model.impl.LinkedHashModel.addModelStatement,org.eclipse.rdf4j.sail.nativerdf.model.NativeIRI.equals,org.eclipse.rdf4j.sail.nativerdf.NativeSailStore.getValueFactory,org.eclipse.rdf4j.common.io.ByteArrayUtil.putInt,org.eclipse.rdf4j.common.iteration.IterationWrapper.handleClose,org.eclipse.rdf4j.common.iteration.LookAheadIteration.hasNext,org.eclipse.rdf4j.sail.nativerdf.TripleStore.storeProperties,org.eclipse.rdf4j.sail.helpers.AbstractSailConnection.pendingRemovals,org.eclipse.rdf4j.sail.base.SailSourceBranch.derivedFromSerializable,org.eclipse.rdf4j.sail.nativerdf.MemoryOverflowModel.checkMemoryOverflow,org.eclipse.rdf4j.common.iteration.ConvertingIteration.hasNext,org.eclipse.rdf4j.sail.helpers.AbstractSailConnection.getTransactionIsolation,org.eclipse.rdf4j.model.impl.LinkedHashModel.size,org.eclipse.rdf4j.sail.nativerdf.TripleStore.getBestIndex,org.eclipse.rdf4j.sail.helpers.DefaultSailChangedEvent.setStatementsAdded,org.eclipse.rdf4j.sail.nativerdf.NamespaceStore.writeNamespacesToFile,org.eclipse.rdf4j.sail.nativerdf.MemoryOverflowModel.add,org.eclipse.rdf4j.sail.base.SailSourceConnection.add,org.eclipse.rdf4j.model.impl.AbstractValueFactory.initBNodeParams,org.eclipse.rdf4j.repository.base.AbstractRepository.isInitialized,org.eclipse.rdf4j.model.impl.SimpleLiteral.equals,org.eclipse.rdf4j.sail.base.DelegatingSailSource.dataset,org.eclipse.rdf4j.repository.sail.SailRepository.getValueFactory,org.eclipse.rdf4j.sail.helpers.DirectoryLockManager.getLockDir,org.eclipse.rdf4j.sail.nativerdf.btree.RangeIterator.findNext,org.eclipse.rdf4j.repository.base.AbstractRepositoryConnection.startLocalTransaction,org.eclipse.rdf4j.model.impl.LinkedHashModel.add,org.eclipse.rdf4j.sail.base.SailSourceBranch.dataset,org.eclipse.rdf4j.common.iteration.FilterIteration.handleClose,org.eclipse.rdf4j.common.iteration.Iterations.closeCloseable,org.eclipse.rdf4j.repository.base.AbstractRepositoryConnection.getRepository,org.eclipse.rdf4j.sail.nativerdf.NativeStoreConnection.addStatementInternal,org.eclipse.rdf4j.sail.nativerdf.btree.RangeIterator.next,org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.initialize,org.eclipse.rdf4j.common.iteration.IterationWrapper.hasNext,org.eclipse.rdf4j.sail.base.SailSourceConnection.addStatement,org.eclipse.rdf4j.sail.nativerdf.model.NativeLiteral.equals,org.eclipse.rdf4j.repository.sail.SailRepositoryConnection.addWithoutCommit,org.eclipse.rdf4j.sail.helpers.AbstractSailConnection.transactionActive,org.eclipse.rdf4j.common.iteration.ConvertingIteration.handleClose,org.eclipse.rdf4j.common.io.NioFile.open,org.eclipse.rdf4j.sail.nativerdf.ContextStore.readContextsFromFile,org.eclipse.rdf4j.model.impl.AbstractValueFactory.getNextBNodePrefixUid,org.eclipse.rdf4j.sail.nativerdf.TripleStore.initIndexes,org.eclipse.rdf4j.sail.nativerdf.NativeSailStore.createStatementIterator,org.eclipse.rdf4j.common.iteration.FilterIteration.findNextElement,org.eclipse.rdf4j.common.iteration.AbstractCloseableIteration.handleClose,org.eclipse.rdf4j.sail.helpers.DirectoryLockManager.getProcessName,org.eclipse.rdf4j.repository.base.AbstractRepositoryConnection.add,org.eclipse.rdf4j.common.io.NioFile.read,org.eclipse.rdf4j.sail.nativerdf.btree.RangeIterator.close,org.eclipse.rdf4j.model.impl.LinkedHashModel.smallest,org.eclipse.rdf4j.sail.nativerdf.TripleStore.parseIndexSpecList,org.eclipse.rdf4j.common.io.NioFile.size,org.eclipse.rdf4j.sail.base.DelegatingSailSource.sink,org.eclipse.rdf4j.common.iteration.LookAheadIteration.handleClose,org.eclipse.rdf4j.sail.helpers.AbstractSailConnection.isActive,org.eclipse.rdf4j.model.impl.LinkedHashModel.notNull,org.eclipse.rdf4j.sail.nativerdf.ContextStore.writeContextsToFile,org.eclipse.rdf4j.sail.nativerdf.btree.BTree.writeFileHeader,org.eclipse.rdf4j.sail.nativerdf.NativeSailStore.getContexts,org.eclipse.rdf4j.sail.helpers.DirectoryLockManager.lockOrFail,org.eclipse.rdf4j.sail.helpers.AbstractSailConnection.addStatement,org.eclipse.rdf4j.common.io.NioFile.readBytes,org.eclipse.rdf4j.sail.nativerdf.TripleStore.getSearchKey,org.eclipse.rdf4j.repository.base.AbstractRepository.initialize,org.eclipse.rdf4j.sail.helpers.DirectoryLockManager.sign,org.eclipse.rdf4j.common.io.NioFile.readByte,org.eclipse.rdf4j.repository.base.AbstractRepositoryConnection.getValueFactory,org.eclipse.rdf4j.sail.nativerdf.NativeStatementIterator.getNextElement,org.eclipse.rdf4j.common.iteration.AbstractCloseableIteration.close,org.eclipse.rdf4j.sail.base.Changeset.approve,org.eclipse.rdf4j.common.concurrent.locks.Properties.lockTrackingEnabled,org.eclipse.rdf4j.sail.nativerdf.ContextStore.initializeContextCache,org.eclipse.rdf4j.sail.base.SailSourceConnection.branch,org.eclipse.rdf4j.sail.base.SailSourceBranch.derivedFromSnapshot,org.eclipse.rdf4j.sail.nativerdf.TripleStore.getSearchMask,org.eclipse.rdf4j.sail.nativerdf.btree.BTree.readRootNode,org.eclipse.rdf4j.sail.nativerdf.TripleStore.getTriples,org.eclipse.rdf4j.sail.helpers.AbstractSail.getDataDir,org.eclipse.rdf4j.model.base.AbstractIRI.toString,org.eclipse.rdf4j.repository.base.AbstractRepositoryConnection.conditionalCommit,org.eclipse.rdf4j.common.iteration.FilterIteration.hasNext,org.eclipse.rdf4j.model.base.AbstractIRI.hashCode,org.eclipse.rdf4j.sail.helpers.AbstractSail.init,org.eclipse.rdf4j.common.io.NioFile.write,org.eclipse.rdf4j.repository.base.AbstractRepository.init,org.eclipse.rdf4j.sail.nativerdf.NativeStatementIterator.handleClose,org.eclipse.rdf4j.sail.helpers.NotifyingSailConnectionBase.hasConnectionListeners,org.eclipse.rdf4j.OpenRDFUtil.verifyContextNotNull,org.eclipse.rdf4j.sail.nativerdf.NativeStore.initializeInternal,org.eclipse.rdf4j.sail.nativerdf.TripleStore.getTriplesUsingIndex,org.eclipse.rdf4j.sail.nativerdf.btree.RangeIterator.findMinimum,org.eclipse.rdf4j.sail.helpers.AbstractSailConnection.verifyIsActive,org.eclipse.rdf4j.sail.helpers.DirectoryLockManager.tryLock,org.eclipse.rdf4j.sail.nativerdf.TripleStore.getData,org.eclipse.rdf4j.sail.base.SnapshotSailStore.getValueFactory,org.eclipse.rdf4j.sail.nativerdf.TripleStore.getAllTriplesSortedByContext,org.eclipse.rdf4j.sail.nativerdf.MemoryOverflowModel.size,org.eclipse.rdf4j.sail.base.SailSourceConnection.getIsolationLevel,org.eclipse.rdf4j.model.impl.SimpleLiteral.hashCode,org.eclipse.rdf4j.sail.nativerdf.btree.RangeIterator.popStacks,org.eclipse.rdf4j.sail.helpers.AbstractSailConnection.verifyIsOpen,org.eclipse.rdf4j.sail.nativerdf.btree.BTree.iterateValues,org.eclipse.rdf4j.common.iteration.AbstractCloseableIteration.isClosed,org.eclipse.rdf4j.model.impl.LinkedHashModel.asNode,org.eclipse.rdf4j.common.iteration.LookAheadIteration.lookAhead",org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.initialize
rdf4j,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencer,0,0,,
rdf4j,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencerMultipleTransactions,0,0,,
rdf4j,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencer,0,0,,
rdf4j,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactions,0,0,,
rdf4j,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactionsSchema,0,0,,
