Project Name,Benchmark Name,Count,Direct Count,Methods,Direct Methods
vert.x,io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size1,2,2,",io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.gen,io.vertx.core.impl.utils.ConcurrentCyclicSequence.next",",io.vertx.core.impl.utils.ConcurrentCyclicSequence.next,io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.gen"
vert.x,io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size16,0,0,,
vert.x,io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size2,2,2,",io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.gen,io.vertx.core.impl.utils.ConcurrentCyclicSequence.next",",io.vertx.core.impl.utils.ConcurrentCyclicSequence.next,io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.gen"
vert.x,io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size4,2,2,",io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.gen,io.vertx.core.impl.utils.ConcurrentCyclicSequence.next",",io.vertx.core.impl.utils.ConcurrentCyclicSequence.next,io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.gen"
vert.x,io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size8,2,2,",io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.gen,io.vertx.core.impl.utils.ConcurrentCyclicSequence.next",",io.vertx.core.impl.utils.ConcurrentCyclicSequence.next,io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.gen"
vert.x,io.vertx.benchmarks.ContextBenchmark.runOnContext,48,10,",io.vertx.core.impl.BenchmarkContext.runOnContext,io.vertx.core.impl.AbstractContext.beginDispatch,io.vertx.core.impl.AddressResolver.resolvOption,io.vertx.core.impl.VertxFactory.vertx,io.vertx.core.impl.ContextImpl.runOnContext,io.vertx.core.impl.VerticleManager.loadVerticleFactories,io.vertx.core.impl.future.FutureImpl.tryComplete,io.vertx.core.net.TCPSSLOptions.init,io.vertx.core.impl.AbstractContext.endDispatch,io.vertx.core.impl.VertxImpl.init,io.vertx.core.file.FileSystemOptions.getFileCacheDir,io.vertx.core.impl.cpu.CpuCoreSensor.determineProcessors,io.vertx.core.AccessEventBusFromInitVerticleFactory.init,io.vertx.core.logging.LoggerFactory.getLogger,io.vertx.core.file.impl.FileCache.registerShutdownHook,io.vertx.core.impl.AbstractContext.dispatch,io.vertx.core.impl.VertxImpl.getFileSystem,io.vertx.core.impl.logging.LoggerFactory.getLogger,io.vertx.benchmarks.ContextBenchmark.consume,io.vertx.core.ClasspathVerticleFactory.prefix,io.vertx.core.impl.VertxFactory.createFileResolver,io.vertx.core.impl.Utils.isWindows,io.vertx.core.impl.VertxFactory.createMetrics,io.vertx.core.impl.VertxThread.context,io.vertx.core.impl.VertxThread.executeStart,io.vertx.core.VertxOptions.getFileSystemOptions,io.vertx.core.eventbus.impl.CodecManager.codecs,io.vertx.core.impl.AddressResolver.parseRotateOptionFromResolvConf,io.vertx.core.impl.resolver.DnsResolverProvider.resolver,io.vertx.core.impl.cpu.CpuCoreSensor.readCPUMask,io.vertx.core.impl.VerticleManager.registerVerticleFactory,io.vertx.core.impl.VertxFactory.createTransport,io.vertx.core.net.impl.transport.Transport.eventLoopGroup,io.vertx.core.impl.BenchmarkContext.create,io.vertx.core.impl.VertxThread.beginEmission,io.vertx.core.file.impl.FileCache.setupCache,io.vertx.core.impl.launcher.commands.ExecUtils.isLinux,io.vertx.core.ServiceHelper.loadFactories,io.vertx.core.impl.cpu.CpuCoreSensor.availableProcessors,io.vertx.core.dns.AddressResolverOptions.getCacheMinTimeToLive,io.vertx.core.impl.VertxThread.executeEnd,io.vertx.core.file.impl.FileCache.setupCacheDir,io.vertx.core.impl.VertxThread.endEmission,io.vertx.core.impl.ContextImpl.classLoader,io.vertx.core.logging.SLF4JLogDelegateFactory.createDelegate,io.vertx.core.AccessEventBusFromInitVerticleFactory.prefix,io.vertx.core.eventbus.impl.EventBusImpl.start,io.vertx.core.impl.AddressResolver.parseNdotsOptionFromResolvConf",",io.vertx.core.impl.AddressResolver.parseRotateOptionFromResolvConf,io.vertx.core.impl.launcher.commands.ExecUtils.isLinux,io.vertx.core.impl.logging.LoggerFactory.getLogger,io.vertx.core.impl.cpu.CpuCoreSensor.availableProcessors,io.vertx.core.impl.AddressResolver.resolvOption,io.vertx.core.impl.VertxFactory.vertx,io.vertx.core.impl.ContextImpl.runOnContext,io.vertx.core.net.TCPSSLOptions.init,io.vertx.core.impl.BenchmarkContext.create,io.vertx.core.impl.AddressResolver.parseNdotsOptionFromResolvConf"
vert.x,io.vertx.benchmarks.ContextBenchmark.runOnContextNoChecks,0,0,,
vert.x,io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMatch,8,2,",io.vertx.core.http.impl.headers.HeadersMultiMap.httpHeaders,io.vertx.core.http.impl.HttpUtils.validateHeaderName,io.vertx.core.http.impl.headers.HeadersMultiMap.add,io.vertx.core.http.impl.headers.HeadersMultiMap.add0,io.vertx.core.http.impl.HttpUtils.validateValueChar,io.vertx.core.http.impl.HttpUtils.validateHeaderValue,io.vertx.benchmarks.HeadersUtils.setBaseHeaders,io.vertx.core.http.impl.HttpUtils.validateHeader",",io.vertx.core.http.impl.headers.HeadersMultiMap.httpHeaders,io.vertx.benchmarks.HeadersUtils.setBaseHeaders"
vert.x,io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMiss,8,2,",io.vertx.core.http.impl.headers.HeadersMultiMap.httpHeaders,io.vertx.core.http.impl.HttpUtils.validateHeaderName,io.vertx.core.http.impl.headers.HeadersMultiMap.add,io.vertx.core.http.impl.headers.HeadersMultiMap.add0,io.vertx.core.http.impl.HttpUtils.validateValueChar,io.vertx.core.http.impl.HttpUtils.validateHeaderValue,io.vertx.benchmarks.HeadersUtils.setBaseHeaders,io.vertx.core.http.impl.HttpUtils.validateHeader",",io.vertx.core.http.impl.headers.HeadersMultiMap.httpHeaders,io.vertx.benchmarks.HeadersUtils.setBaseHeaders"
vert.x,io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallMatch,7,2,",io.vertx.core.http.impl.headers.HeadersMultiMap.httpHeaders,io.vertx.core.http.impl.HttpUtils.validateHeaderName,io.vertx.core.http.impl.headers.HeadersMultiMap.add,io.vertx.core.http.impl.headers.HeadersMultiMap.add0,io.vertx.core.http.impl.HttpUtils.validateHeaderValue,io.vertx.benchmarks.HeadersUtils.setBaseHeaders,io.vertx.core.http.impl.HttpUtils.validateHeader",",io.vertx.core.http.impl.headers.HeadersMultiMap.httpHeaders,io.vertx.benchmarks.HeadersUtils.setBaseHeaders"
