Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
HdrHistogram,org.HdrHistogram.AbstractHistogram.recordValue,1,1,11,5,"bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,bench.HdrHistogramRecordingBench.doubleRecorderRecordingSpeed,bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,bench.HdrHistogramRecordingBench.rawDoubleRecordingSpeed,bench.HdrHistogramRecordingBench.rawRecordingSpeed,bench.HdrHistogramRecordingBench.rawSynchroniedRecordingSpeed,bench.HdrHistogramRecordingBench.recorderRecordingSpeed,bench.HdrHistogramRecordingBench.singleWriterDoubleRecorderRecordingSpeed,bench.HdrHistogramRecordingBench.singleWriterRecorderRecordingSpeed","bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,bench.HdrHistogramRecordingBench.rawRecordingSpeed"
HdrHistogram,org.HdrHistogram.AtomicHistogram.copy,0,0,0,0,,
HdrHistogram,org.HdrHistogram.IntCountsHistogram.decodeFromByteBuffer,0,0,0,0,,
HdrHistogram,org.HdrHistogram.HistogramLogWriter.outputBaseTime,0,0,0,0,,
HdrHistogram,org.HdrHistogram.SynchronizedDoubleHistogram.getValueAtPercentile,0,0,0,0,,
HdrHistogram,org.HdrHistogram.PackedHistogram.copy,0,0,0,0,,
HdrHistogram,org.HdrHistogram.DoubleHistogram.lowestEquivalentValue,0,0,0,0,,
HdrHistogram,org.HdrHistogram.packedarray.IterationValue.getIndex,0,0,0,0,,
HdrHistogram,org.HdrHistogram.SynchronizedHistogram.getMinNonZeroValue,0,0,0,0,,
HdrHistogram,org.HdrHistogram.SynchronizedHistogram.decodeFromByteBuffer,0,0,0,0,,
HdrHistogram,org.HdrHistogram.packedarray.PackedArrayContext.getAtUnpackedIndex,0,0,0,0,,
HdrHistogram,org.HdrHistogram.packedarray.AbstractPackedArrayContext.NonZeroValuesIterator.remove,0,0,0,0,,
HdrHistogram,org.HdrHistogram.Recorder.recordValueWithCount,0,0,0,0,,
HdrHistogram,org.HdrHistogram.HistogramDataAccessTest.IteratorValueSnapshot.equals,0,0,0,0,,
HdrHistogram,org.HdrHistogram.DoubleLogarithmicIterator.hasNext,0,0,0,0,,
HdrHistogram,org.HdrHistogram.LinearIterator.getValueIteratedTo,0,0,0,0,,
HdrHistogram,org.HdrHistogram.AbstractHistogramBase.nonConcurrentSetIntegerToDoubleValueConversionRatio,0,0,0,0,,
HdrHistogram,org.HdrHistogram.packedarray.PackedArrayRecorder.increment,0,0,0,0,,
HdrHistogram,org.HdrHistogram.packedarray.ConcurrentPackedArrayContext.setAtUnpackedIndex,0,0,0,0,,
HdrHistogram,org.HdrHistogram.AbstractHistogram.numberOfSubbuckets,1,0,9,0,"bench.HdrHistogramRecordingBench.doubleRecorderRecordingSpeed,bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,bench.HdrHistogramRecordingBench.rawDoubleRecordingSpeed,bench.HdrHistogramRecordingBench.rawRecordingSpeed,bench.HdrHistogramRecordingBench.rawSynchroniedRecordingSpeed,bench.HdrHistogramRecordingBench.recorderRecordingSpeed,bench.HdrHistogramRecordingBench.singleWriterDoubleRecorderRecordingSpeed,bench.HdrHistogramRecordingBench.singleWriterRecorderRecordingSpeed",
HdrHistogram,org.HdrHistogram.DoubleHistogram.copyInto,0,0,0,0,,
HdrHistogram,org.HdrHistogram.packedarray.AbstractPackedArrayContext.determineTopLevelShiftForVirtualLength,0,0,0,0,,
HdrHistogram,org.HdrHistogram.DoubleHistogram.subtract,0,0,0,0,,
HdrHistogram,org.HdrHistogram.ShortCountsHistogram.fromString,0,0,0,0,,
HdrHistogram,org.HdrHistogram.HistogramLogWriter.outputLegend,0,0,0,0,,
HdrHistogram,org.HdrHistogram.Histogram.clearCounts,0,0,0,0,,
HdrHistogram,org.HdrHistogram.AbstractHistogram.setAutoResize,1,1,3,3,"bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,bench.HdrHistogramEncodingBench.roundtripCompressed,bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer","bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,bench.HdrHistogramEncodingBench.roundtripCompressed,bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer"
HdrHistogram,org.HdrHistogram.ZigZagEncoding.putLong,1,0,2,0,"bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,bench.HdrHistogramEncodingBench.roundtripCompressed",
HdrHistogram,org.HdrHistogram.SingleWriterDoubleRecorder.getIntervalHistogramInto,0,0,0,0,,
HdrHistogram,org.HdrHistogram.packedarray.AbstractPackedArrayContext.getAtByteIndex,0,0,0,0,,
HdrHistogram,org.HdrHistogram.AbstractHistogram.outputPercentileDistribution,0,0,0,0,,
HdrHistogram,org.HdrHistogram.LinearIterator.reset,0,0,0,0,,
HdrHistogram,org.HdrHistogram.DoubleHistogramIterationValue.toString,0,0,0,0,,
HdrHistogram,org.HdrHistogram.AbstractHistogram.encodeIntoByteBuffer,1,1,2,2,"bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,bench.HdrHistogramEncodingBench.roundtripCompressed","bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,bench.HdrHistogramEncodingBench.roundtripCompressed"
HdrHistogram,org.HdrHistogram.PackedConcurrentHistogram.clearCounts,0,0,0,0,,
HdrHistogram,org.HdrHistogram.AllValuesIterator.incrementIterationLevel,0,0,0,0,,
HdrHistogram,org.HdrHistogram.packedarray.PackedArraySingleWriterRecorder.performIntervalSample,0,0,0,0,,
HdrHistogram,org.HdrHistogram.AbstractHistogram.recordedValuesToString,0,0,0,0,,
