Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
RxJava,io.reactivex.rxjava3.processors.SerializedProcessor.subscribeActual,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.maybe.MaybeNever.subscribeActual,0,0,0,0,,
RxJava,io.reactivex.rxjava3.disposables.CompositeDisposable.addAll,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.observable.ObservableTimerTest.before,0,0,0,0,,
RxJava,io.reactivex.rxjava3.core.Flowable.scanWith,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.observable.ObservableScalarXMapTest.CallablePublisher.get,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.flowable.FlowableDoFinally.DoFinallySubscriber.poll,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.observable.ObservableWindowWithStartEndObservableTest.complete,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.flowable.FlowableMergeWithMaybe.MergeWithObserver.otherSuccess,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.completable.CompletableDelay.Delay.onComplete,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.observable.ObservableCountSingle.CountObserver.dispose,0,0,0,0,,
RxJava,io.reactivex.rxjava3.exceptions.Exceptions.throwIfFatal,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.flowable.FlowableConcatMap.ConcatMapImmediate.innerError,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.observable.ObservableTake.TakeObserver.onSubscribe,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.flowable.FlowableRefCountTest.BadFlowableDispose.connect,0,0,0,0,,
RxJava,io.reactivex.rxjava3.processors.AsyncProcessor.create,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.completable.CompletableFromObservable.CompletableFromObservableObserver.onComplete,0,0,0,0,,
RxJava,io.reactivex.rxjava3.tck.SortedTckTest.createPublisher,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.maybe.MaybeDoAfterSuccess.DoAfterObserver.onSuccess,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.jdk8.CompletionStageConsumer.completeExceptionally,0,0,0,0,,
RxJava,io.reactivex.rxjava3.completable.CompletableTest.CompletableOperatorSwap.apply,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.observable.ObservableInterval.IntervalObserver.dispose,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.flowable.FlowableScan.ScanSubscriber.cancel,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.flowable.FlowableRetryTest.sequenceFrequency,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.queue.SpscLinkedArrayQueue.lpConsumerIndex,1,0,4,0,"io.reactivex.rxjava3.parallel.ParallelPerf.groupBy,io.reactivex.rxjava3.xmapz.ObservableConcatMapMaybeEmptyPerf.observableDedicated,io.reactivex.rxjava3.xmapz.ObservableConcatMapMaybePerf.observableDedicated,io.reactivex.rxjava3.xmapz.ObservableConcatMapSinglePerf.observableDedicated",
RxJava,io.reactivex.rxjava3.internal.operators.maybe.MaybeCount.CountMaybeObserver.onSubscribe,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.single.SingleDelay.Delay.OnSuccess.run,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.observable.ObservableElementAt.ElementAtObserver.onNext,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.observable.ObservableWindowTimed.WindowExactBoundedObserver.run,0,0,0,0,,
RxJava,io.reactivex.rxjava3.processors.ReplayProcessor.hasSubscribers,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.mixed.ObservableConcatMapSingle.subscribeActual,1,0,1,0,io.reactivex.rxjava3.xmapz.ObservableConcatMapSinglePerf.observableDedicated,
RxJava,io.reactivex.rxjava3.internal.operators.maybe.MaybeTimeoutPublisher.TimeoutFallbackMaybeObserver.onSubscribe,0,0,0,0,,
RxJava,io.reactivex.rxjava3.core.Observable.combineLatest,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.observable.ObservableJoin.JoinDisposable.innerCloseError,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.flowable.FlowableOnErrorReturn.OnErrorReturnSubscriber.onComplete,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.util.TestingHelper.addToList,0,0,0,0,,
RxJava,io.reactivex.rxjava3.validators.JavadocForAnnotations.checkSource,0,0,0,0,,
RxJava,io.reactivex.rxjava3.core.Maybe.zip,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.maybe.MaybeFromCompletable.subscribeActual,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.observable.ObservableTakeUntilTest.TestObservable.sendOnNext,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.observable.ObservableAll.AllObserver.onSubscribe,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.subscriptions.DeferredScalarSubscription.request,1,0,14,0,"io.reactivex.rxjava3.core.CallableAsyncPerf.observeOnFlowable,io.reactivex.rxjava3.core.ToFlowablePerf.flowableInner,io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow0,io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow1,io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapSingleAsFlow1,io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableConvert,io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybePerf.flowableConvert,io.reactivex.rxjava3.xmapz.FlowableConcatMapSinglePerf.flowableConvert,io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybeEmptyPerf.flowableConvert,io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybePerf.flowableConvert,io.reactivex.rxjava3.xmapz.FlowableFlatMapSinglePerf.flowableConvert,io.reactivex.rxjava3.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowableConvert,io.reactivex.rxjava3.xmapz.FlowableSwitchMapMaybePerf.flowableConvert,io.reactivex.rxjava3.xmapz.FlowableSwitchMapSinglePerf.flowableConvert",
RxJava,io.reactivex.rxjava3.internal.operators.observable.ObservableSampleTimed.SampleTimedEmitLast.complete,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.single.ZipCoordinator.innerSuccess,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.flowable.FlowableHide.HideSubscriber.onError,0,0,0,0,,
RxJava,io.reactivex.rxjava3.internal.operators.parallel.ParallelJoin.JoinSubscription.onNext,0,0,0,0,,
