Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
SquidLib,squidpony.squidgrid.mapping.ModularMapGenerator.connectLeftRight,0,0,0,0,,
SquidLib,squidpony.squidmath.SobolQRNG.getNextIndex,0,0,0,0,,
SquidLib,squidpony.squidmath.K2.size,0,0,0,0,,
SquidLib,squidpony.squidgrid.mapping.LineKit.transpose4x4,0,0,0,0,,
SquidLib,squidpony.squidmath.MultiArrangement.containsKey,0,0,0,0,,
SquidLib,squidpony.squidmath.IntIntOrderedMap.MapEntrySet.headSet,0,0,0,0,,
SquidLib,squidpony.FakeLanguageGen.alien_o,1,1,76,76,"squidpony.performance.DataStructureBenchmark.insertIntegerGdxOM,squidpony.performance.DataStructureBenchmark.insertIntegerGdxOM2,squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS,squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS2,squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap,squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap2,squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashSet,squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOM,squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOM2,squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOM3,squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS,squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM,squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2,squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM3,squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOS,squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOS2,squidpony.performance.DataStructureBenchmark.insertIntegerSquidOM,squidpony.performance.DataStructureBenchmark.insertIntegerSquidOS,squidpony.performance.DataStructureBenchmark.insertIntegerSquidPrimitiveOM,squidpony.performance.DataStructureBenchmark.insertIntegerSquidPrimitiveOM3,squidpony.performance.DataStructureBenchmark.insertStringGdxOM,squidpony.performance.DataStructureBenchmark.insertStringGdxOS,squidpony.performance.DataStructureBenchmark.insertStringLinkedHashMap,squidpony.performance.DataStructureBenchmark.insertStringLinkedHashMap2,squidpony.performance.DataStructureBenchmark.insertStringLinkedHashSet,squidpony.performance.DataStructureBenchmark.insertStringLinkedHashSet2,squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOM,squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOM3,squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOS,squidpony.performance.DataStructureBenchmark.insertStringSquidMildOM,squidpony.performance.DataStructureBenchmark.insertStringSquidMildOS,squidpony.performance.HashBenchmark.doCharHive32,squidpony.performance.HashBenchmark.doCharHive64,squidpony.performance.HashBenchmark.doCharJDK32,squidpony.performance.HashBenchmark.doCharLightning32,squidpony.performance.HashBenchmark.doCharLightning64,squidpony.performance.HashBenchmark.doCharMist32,squidpony.performance.HashBenchmark.doCharMist64,squidpony.performance.HashBenchmark.doCharWater32,squidpony.performance.HashBenchmark.doCharWater64,squidpony.performance.HashBenchmark.doCharWisp32,squidpony.performance.HashBenchmark.doCharWisp64,squidpony.performance.HashBenchmark.doHive32,squidpony.performance.HashBenchmark.doHive64,squidpony.performance.HashBenchmark.doIntHive32,squidpony.performance.HashBenchmark.doIntHive64,squidpony.performance.HashBenchmark.doIntJDK32,squidpony.performance.HashBenchmark.doIntLightning32,squidpony.performance.HashBenchmark.doIntLightning64,squidpony.performance.HashBenchmark.doIntMist32,squidpony.performance.HashBenchmark.doIntMist64,squidpony.performance.HashBenchmark.doIntWater32,squidpony.performance.HashBenchmark.doIntWater64,squidpony.performance.HashBenchmark.doIntWisp32,squidpony.performance.HashBenchmark.doIntWisp64,squidpony.performance.HashBenchmark.doJDK32,squidpony.performance.HashBenchmark.doJDK32Mixed,squidpony.performance.HashBenchmark.doLightning32,squidpony.performance.HashBenchmark.doLightning64,squidpony.performance.HashBenchmark.doLongHive32,squidpony.performance.HashBenchmark.doLongHive64,squidpony.performance.HashBenchmark.doLongJDK32,squidpony.performance.HashBenchmark.doLongLightning32,squidpony.performance.HashBenchmark.doLongLightning64,squidpony.performance.HashBenchmark.doLongMist32,squidpony.performance.HashBenchmark.doLongMist64,squidpony.performance.HashBenchmark.doLongWater32,squidpony.performance.HashBenchmark.doLongWater64,squidpony.performance.HashBenchmark.doLongWisp32,squidpony.performance.HashBenchmark.doLongWisp64,squidpony.performance.HashBenchmark.doMist32,squidpony.performance.HashBenchmark.doMist64,squidpony.performance.HashBenchmark.doWater32,squidpony.performance.HashBenchmark.doWater64,squidpony.performance.HashBenchmark.doWisp32,squidpony.performance.HashBenchmark.doWisp64","squidpony.performance.DataStructureBenchmark.insertIntegerGdxOM,squidpony.performance.DataStructureBenchmark.insertIntegerGdxOM2,squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS,squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS2,squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap,squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap2,squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashSet,squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOM,squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOM2,squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOM3,squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS,squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM,squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2,squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM3,squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOS,squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOS2,squidpony.performance.DataStructureBenchmark.insertIntegerSquidOM,squidpony.performance.DataStructureBenchmark.insertIntegerSquidOS,squidpony.performance.DataStructureBenchmark.insertIntegerSquidPrimitiveOM,squidpony.performance.DataStructureBenchmark.insertIntegerSquidPrimitiveOM3,squidpony.performance.DataStructureBenchmark.insertStringGdxOM,squidpony.performance.DataStructureBenchmark.insertStringGdxOS,squidpony.performance.DataStructureBenchmark.insertStringLinkedHashMap,squidpony.performance.DataStructureBenchmark.insertStringLinkedHashMap2,squidpony.performance.DataStructureBenchmark.insertStringLinkedHashSet,squidpony.performance.DataStructureBenchmark.insertStringLinkedHashSet2,squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOM,squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOM3,squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOS,squidpony.performance.DataStructureBenchmark.insertStringSquidMildOM,squidpony.performance.DataStructureBenchmark.insertStringSquidMildOS,squidpony.performance.HashBenchmark.doCharHive32,squidpony.performance.HashBenchmark.doCharHive64,squidpony.performance.HashBenchmark.doCharJDK32,squidpony.performance.HashBenchmark.doCharLightning32,squidpony.performance.HashBenchmark.doCharLightning64,squidpony.performance.HashBenchmark.doCharMist32,squidpony.performance.HashBenchmark.doCharMist64,squidpony.performance.HashBenchmark.doCharWater32,squidpony.performance.HashBenchmark.doCharWater64,squidpony.performance.HashBenchmark.doCharWisp32,squidpony.performance.HashBenchmark.doCharWisp64,squidpony.performance.HashBenchmark.doHive32,squidpony.performance.HashBenchmark.doHive64,squidpony.performance.HashBenchmark.doIntHive32,squidpony.performance.HashBenchmark.doIntHive64,squidpony.performance.HashBenchmark.doIntJDK32,squidpony.performance.HashBenchmark.doIntLightning32,squidpony.performance.HashBenchmark.doIntLightning64,squidpony.performance.HashBenchmark.doIntMist32,squidpony.performance.HashBenchmark.doIntMist64,squidpony.performance.HashBenchmark.doIntWater32,squidpony.performance.HashBenchmark.doIntWater64,squidpony.performance.HashBenchmark.doIntWisp32,squidpony.performance.HashBenchmark.doIntWisp64,squidpony.performance.HashBenchmark.doJDK32,squidpony.performance.HashBenchmark.doJDK32Mixed,squidpony.performance.HashBenchmark.doLightning32,squidpony.performance.HashBenchmark.doLightning64,squidpony.performance.HashBenchmark.doLongHive32,squidpony.performance.HashBenchmark.doLongHive64,squidpony.performance.HashBenchmark.doLongJDK32,squidpony.performance.HashBenchmark.doLongLightning32,squidpony.performance.HashBenchmark.doLongLightning64,squidpony.performance.HashBenchmark.doLongMist32,squidpony.performance.HashBenchmark.doLongMist64,squidpony.performance.HashBenchmark.doLongWater32,squidpony.performance.HashBenchmark.doLongWater64,squidpony.performance.HashBenchmark.doLongWisp32,squidpony.performance.HashBenchmark.doLongWisp64,squidpony.performance.HashBenchmark.doMist32,squidpony.performance.HashBenchmark.doMist64,squidpony.performance.HashBenchmark.doWater32,squidpony.performance.HashBenchmark.doWater64,squidpony.performance.HashBenchmark.doWisp32,squidpony.performance.HashBenchmark.doWisp64"
SquidLib,squidpony.squidai.GreasedZOI.setInfluences,0,0,0,0,,
SquidLib,squidpony.squidmath.FastNoise.setCellularNoiseLookup,0,0,0,0,,
SquidLib,squidpony.squidmath.IntIntOrderedMap.realSize,0,0,0,0,,
