Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
byte-buddy,net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget.invokeConstructor,1,0,20,0,"net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool,net.bytebuddy.benchmark.StubInvocationBenchmark.baseline,net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist,net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy",
byte-buddy,net.bytebuddy.asm.AdviceRepeatOnDefaultValueTest.ReferenceDelegatingAdviceWithEnterAdviceAndWithoutArgumentBackupAndExceptionHandler.foo,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceRepeatOnNonDefaultValueTest.ShortAdviceWithEnterAdviceAndWithoutArgumentBackupAndExceptionHandler.foo,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceTest.BoxedArgumentsObjectTypeAdvice.enter,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceRepeatOnDefaultValueTest.ShortDelegatingAdvice.foo,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.FieldAccessor.ForSetter.OfReferenceValue.initialize,0,0,0,0,,
byte-buddy,net.bytebuddy.utility.JavaModule.getDeclaredAnnotations,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.InvokeDynamic.Simple.getLoadedTypes,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.MethodCall.ForValue.Factory.make,0,0,0,0,,
byte-buddy,net.bytebuddy.agent.InstallerTest.tearDown,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.FixedValue.ForThisValue.prepare,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder.of,1,0,15,0,"net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist",
byte-buddy,net.bytebuddy.dynamic.loading.ClassInjectorUsingUnsafeTest.setUp,0,0,0,0,,
byte-buddy,net.bytebuddy.agent.builder.AgentBuilderDefaultApplicationTest.BarAdvice.exit,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceSkipOnDefaultValueTest.BooleanWithOutExitAdvice.enter,0,0,0,0,,
byte-buddy,net.bytebuddy.matcher.ElementMatchers.isHashCode,0,0,0,0,,
