Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
cantaloupe,edu.illinois.library.cantaloupe.operation.OperationListTest.setUp,0,0,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.cache.HeapCacheProtos.Info.writeTo,0,0,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.processor.resample.BSplineFilter.getName,0,0,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.processor.FfmpegProcessor.setSourceFile,1,1,6,6,"edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.processWithMOV,edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.processWithMP4,edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.processWithMPG,edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readInfoWithFLV,edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readInfoWithMOV,edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readInfoWithWebM","edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.processWithMOV,edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.processWithMP4,edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.processWithMPG,edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readInfoWithFLV,edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readInfoWithMOV,edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readInfoWithWebM"
cantaloupe,edu.illinois.library.cantaloupe.operation.redaction.Redaction.toString,0,0,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.resource.iiif.ImageResourceTester.testInvalidOutputFormat,0,0,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.processor.SourceCacheDownload.downloadAsync,0,0,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.http.Client.Builder.followRedirects,0,0,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.cache.HeapCache.initialize,0,0,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.resource.MockHttpServletResponse.encodeUrl,0,0,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.resource.iiif.ImageResourceTester.testCacheWithDerivativeCacheDisabledAndInfoCacheDisabledAndResolveFirstDisabled,0,0,0,0,,
cantaloupe,kdu_jni.Kdu_serve.finalize,0,0,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.script.DelegateProxy.getRedactions,0,0,0,0,,
