Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
crate,io.crate.planner.operators.Collect.accept,0,0,0,0,,
crate,io.crate.sql.tree.QualifiedNameReference.hashCode,0,0,0,0,,
crate,org.elasticsearch.snapshots.SnapshotId.fromXContent,0,0,0,0,,
crate,org.elasticsearch.common.settings.Setting.getRaw,1,1,5,5,"io.crate.analyze.PreExecutionBenchmark.measureAnalyzeSimpleSelect,io.crate.analyze.PreExecutionBenchmark.measureParseAnalyzeAndPlanInsertFromValues,io.crate.analyze.PreExecutionBenchmark.measureParseAndAnalyzeSimpleSelect,io.crate.analyze.PreExecutionBenchmark.measureParseSimpleSelect,io.crate.execution.jobs.NodeOperationCtxBenchmark.measureCreateNodeOperationCtxPlusFindLeafs","io.crate.analyze.PreExecutionBenchmark.measureAnalyzeSimpleSelect,io.crate.analyze.PreExecutionBenchmark.measureParseAnalyzeAndPlanInsertFromValues,io.crate.analyze.PreExecutionBenchmark.measureParseAndAnalyzeSimpleSelect,io.crate.analyze.PreExecutionBenchmark.measureParseSimpleSelect,io.crate.execution.jobs.NodeOperationCtxBenchmark.measureCreateNodeOperationCtxPlusFindLeafs"
crate,io.crate.analyze.AnalyzedTableElements.hasGeneratedColumns,0,0,0,0,,
crate,org.elasticsearch.common.io.stream.StreamOutput.writeFloatArray,0,0,0,0,,
crate,io.crate.protocols.postgres.RetryOnFailureResultReceiverTest.DummyUpdate.onFailure,0,0,0,0,,
crate,io.crate.metadata.pgcatalog.PgConstraintTable.expressions,0,0,0,0,,
crate,org.elasticsearch.index.IndexService.rescheduleRefreshTasks,0,0,0,0,,
crate,org.elasticsearch.index.store.Store.VerifyingIndexInput.readByte,0,0,0,0,,
crate,org.elasticsearch.index.mapper.ParseContext.Document.addWithKey,0,0,0,0,,
crate,org.elasticsearch.common.util.concurrent.CountDown.fastForward,0,0,0,0,,
crate,org.elasticsearch.cluster.ClusterState.isPrivate,0,0,0,0,,
crate,io.crate.exceptions.PartitionUnknownException.getTableIdents,0,0,0,0,,
crate,org.elasticsearch.common.unit.TimeValue.toString,1,0,5,0,"io.crate.analyze.PreExecutionBenchmark.measureAnalyzeSimpleSelect,io.crate.analyze.PreExecutionBenchmark.measureParseAnalyzeAndPlanInsertFromValues,io.crate.analyze.PreExecutionBenchmark.measureParseAndAnalyzeSimpleSelect,io.crate.analyze.PreExecutionBenchmark.measureParseSimpleSelect,io.crate.execution.jobs.NodeOperationCtxBenchmark.measureCreateNodeOperationCtxPlusFindLeafs",
crate,org.elasticsearch.common.io.stream.StreamInput.getVersion,0,0,0,0,,
