Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
eclipse-collections,org.eclipse.collections.impl.lazy.DropWhileIterable.iterator,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.lazy.parallel.set.sorted.ImmutableEmptySortedSetParallelTest.detectIfNone,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.set.mutable.UnifiedSet.forEachWithIndex,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.AbstractRichIterable.toSortedSet,0,0,0,0,,
eclipse-collections,org.eclipse.collections.test.map.mutable.UnifiedMapTest.newWithKeysValues,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.list.fixed.AbstractArrayAdapter.flatCollect,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.math.MutableLong.floatValue,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.utility.internal.IterableIterate.collectIf,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.set.mutable.UnmodifiableMutableSet.selectInstancesOf,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.list.mutable.SynchronizedMutableList.reverseForEach,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.lazy.primitive.LazyIterableTestHelper.take,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.block.predicate.PairPredicate.negate,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.stack.mutable.ArrayStack.flatCollect,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.set.sorted.mutable.TreeSortedSet.addAll,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.stack.mutable.UnmodifiableStack.collectDouble,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.map.mutable.UnifiedMapAcceptanceTest.createMap,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.collection.mutable.AbstractUnmodifiableMutableCollection.toArray,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.map.mutable.primitive.ObjectBooleanHashMapWithHashingStrategy.newMap,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.math.MutableCharacter.multiply,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.utility.internal.SetIterables.cartesianProduct,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.lazy.LazyIterableAdapter.detect,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.set.fixed.DoubletonSet.writeExternal,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.lazy.parallel.AbstractSynchronizedParallelIterable.sumOfFloat,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.utility.internal.InternalArrayIterate.rejectWith,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.collection.mutable.AbstractMultiReaderMutableCollection.UntouchableMutableCollection.getOnly,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.string.immutable.CodePointListTest.toReversed,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.collector.BigDecimalSummaryStatistics.getSum,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.set.AbstractUnifiedSet.intersectInto,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.list.immutable.AbstractImmutableList.ImmutableSubList.toStack,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.map.mutable.ConcurrentHashMap.newMap,1,0,16,0,"org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_eager_ec,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_eager_ec,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByAccount_parallel_eager_ec,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByCategory_parallel_eager_ec,org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByProduct_parallel_eager_ec,org.eclipse.collections.impl.jmh.AnagramBagTest.parallel_eager_ec,org.eclipse.collections.impl.jmh.AnagramBagTest.parallel_eager_forkjoin_ec,org.eclipse.collections.impl.jmh.AnagramListTest.parallel_eager_ec,org.eclipse.collections.impl.jmh.AnagramListTest.parallel_eager_forkjoin_ec,org.eclipse.collections.impl.jmh.AnagramSetTest.parallel_eager_ec,org.eclipse.collections.impl.jmh.AnagramSetTest.parallel_eager_forkjoin_ec,org.eclipse.collections.impl.jmh.AnagramSetTest.parallel_lazy_ec,org.eclipse.collections.impl.jmh.GroupBySetTest.groupBy_10000_keys_parallel_lazy_ec,org.eclipse.collections.impl.jmh.GroupBySetTest.groupBy_100_keys_parallel_lazy_ec,org.eclipse.collections.impl.jmh.GroupBySetTest.groupBy_2_keys_parallel_lazy_ec",
eclipse-collections,org.eclipse.collections.impl.bag.mutable.MultiReaderHashBag.UntouchableMutableBag.collectIf,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.bag.sorted.immutable.ImmutableEmptySortedBag.indexOf,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.bag.immutable.ImmutableArrayBag.toMapOfItemToCount,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.set.mutable.primitive.BooleanHashSet.retainAll,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.set.sorted.immutable.AbstractImmutableSortedSet.groupByEach,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.collection.mutable.AbstractCollectionAdapter.sumByDouble,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.list.mutable.FastList.addAllArrayListAtIndex,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.string.immutable.CodePointAdapter.forEachWithIndex,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.lazy.parallel.bag.AbstractParallelUnsortedBag.selectWith,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.block.factory.Comparators.nullSafeCompare,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.multimap.list.AbstractMutableListMultimap.collectKeysValues,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.collection.mutable.AbstractMultiReaderMutableCollection.UntouchableMutableCollection.forEachWith,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.list.immutable.AbstractImmutableList.detectIndex,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.utility.internal.InternalArrayIterate.forEachWithIndex,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.lazy.AbstractLazyIterable.rejectWith,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.set.sorted.mutable.UnmodifiableSortedSet.reverseForEach,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.block.function.MinFunction.MinIntegerFunction.value,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.set.sorted.immutable.ImmutableTreeSet.forEachWithIndex,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.map.strategy.mutable.UnifiedMapWithHashingStrategy.keySet,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.UnmodifiableRichIterable.flatCollectChar,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.map.sorted.immutable.ImmutableTreeMap.valuesView,0,0,0,0,,
eclipse-collections,org.eclipse.collections.impl.collector.BigDecimalSummaryStatistics.getMax,0,0,0,0,,
