Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
feign,feign.mock.MockClientSequentialTest.AssertionDecoder.decode,0,0,0,0,,
feign,feign.jaxb.JAXBContextFactory.Builder.build,0,0,0,0,,
feign,feign.hystrix.HystrixBuilderTest.FallbackTestInterface.listSingle,0,0,0,0,,
feign,feign.metrics4.MetricSuppliers.histograms,0,0,0,0,,
feign,feign.hystrix.HystrixFeign.Builder.decoder,0,0,0,0,,
feign,feign.gson.examples.GitHubExample.main,0,0,0,0,,
feign,feign.querymap.BeanQueryMapEncoderTest.SubClass.getQuery,0,0,0,0,,
feign,feign.hc5.AsyncApacheHttp5Client.toClassicHttpRequest,0,0,0,0,,
feign,feign.jaxb.JAXBContextFactory.Builder.withMarshallerFragment,0,0,0,0,,
feign,feign.querymap.BeanQueryMapEncoderTest.NormalObjectWithOverriddenParamName.getFoo,0,0,0,0,,
feign,feign.querymap.BeanQueryMapEncoderTest.NormalObject.getFoo,0,0,0,0,,
feign,feign.assertj.RequestTemplateAssert.hasPath,0,0,0,0,,
feign,feign.template.Expression.getName,1,0,3,0,"feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign,feign.benchmark.WhatShouldWeCacheBenchmarks.parseFeignContract",
feign,feign.metrics5.CountingInputStream.skip,0,0,0,0,,
feign,feign.hystrix.HystrixFeign.Builder.requestInterceptor,0,0,0,0,,
feign,feign.optionals.OptionalDecoder.decode,0,0,0,0,,
feign,feign.AsyncInvocation.responseFuture,0,0,0,0,,
feign,feign.metrics4.FeignMetricName.extractHost,0,0,0,0,,
feign,feign.template.Expressions.SimpleExpression.expandIterable,0,0,0,0,,
feign,feign.hystrix.HystrixInvocationHandler.isReturnsCompletableFuture,0,0,0,0,,
feign,feign.template.Literal.create,1,0,7,0,"feign.benchmark.RealRequestBenchmarks.query_baseCaseUsingOkHttp,feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign,feign.benchmark.WhatShouldWeCacheBenchmarks.parseFeignContract",
feign,feign.ReflectiveFeign.BuildTemplateByResolvingArgs.expandIterable,0,0,0,0,,
feign,feign.jackson.JacksonIteratorDecoder.JacksonIterator.close,0,0,0,0,,
feign,feign.client.TrustingSSLSocketFactory.getAcceptedIssuers,0,0,0,0,,
feign,feign.hystrix.HystrixFeign.Builder.logLevel,0,0,0,0,,
feign,feign.hystrix.HystrixInvocationHandler.isReturnsSingle,0,0,0,0,,
feign,feign.hystrix.ObservableCompletableFuture.cancel,0,0,0,0,,
feign,feign.AsyncFeignTest.TestInterfaceAsyncBuilder.decode404,0,0,0,0,,
feign,feign.hc5.AsyncApacheHttp5ClientTest.TestInterfaceAsyncBuilder.queryMapEndcoder,0,0,0,0,,
feign,feign.client.TrustingSSLSocketFactory.getDefaultCipherSuites,0,0,0,0,,
feign,feign.AsyncFeign.AsyncBuilder.invocationHandlerFactory,0,0,0,0,,
feign,feign.Feign.Builder.decode404,0,0,0,0,,
feign,feign.Response.ByteArrayBody.asInputStream,0,0,0,0,,
feign,feign.Logger.JavaLogger.logRequest,0,0,0,0,,
feign,feign.ReflectiveFeign.BuildTemplateByResolvingArgs.addQueryMapQueryParameters,0,0,0,0,,
feign,feign.hc5.ApacheHttp5Client.configureTimeouts,0,0,0,0,,
feign,feign.MultipleLoggerTest.getInnerLogger,0,0,0,0,,
feign,feign.Request.Body.getEncoding,0,0,0,0,,
feign,feign.assertj.RecordedRequestAssert.hasQueryParams,0,0,0,0,,
feign,feign.jackson.JacksonIteratorTest.iterator,0,0,0,0,,
feign,feign.Response.InputStreamBody.orNull,0,0,0,0,,
feign,feign.metrics4.MeteredBody.close,0,0,0,0,,
feign,feign.hc5.AsyncApacheHttp5ClientTest.TestInterfaceAsyncBuilder.encoder,0,0,0,0,,
feign,feign.template.UriUtils.isEncoded,1,0,7,0,"feign.benchmark.RealRequestBenchmarks.query_baseCaseUsingOkHttp,feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign,feign.benchmark.WhatShouldWeCacheBenchmarks.parseFeignContract",
feign,feign.template.UriUtils.isSubDelimiter,0,0,0,0,,
feign,feign.metrics4.MeteredBody.asInputStream,0,0,0,0,,
feign,feign.okhttp.OkHttpClient.toBody,1,0,1,0,feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,
feign,feign.hc5.AsyncApacheHttp5ClientTest.TestInterfaceAsyncBuilder.requestInterceptor,0,0,0,0,,
feign,feign.querymap.BeanQueryMapEncoderTest.SuperClass.getSize,0,0,0,0,,
feign,feign.hystrix.HystrixBuilderTest.FallbackTestInterface.get,0,0,0,0,,
feign,feign.Feign.Builder.forceDecoding,0,0,0,0,,
feign,feign.metrics5.Metrics5Capability.enrich,0,0,0,0,,
feign,feign.AsyncFeignTest.unwrap,0,0,0,0,,
feign,feign.RequestTemplate.body,0,0,0,0,,
feign,feign.FeignUnderAsyncTest.TestInterfaceBuilder.target,0,0,0,0,,
feign,feign.RequestTemplate.request,1,0,5,0,"feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign",
feign,feign.ReflectiveAsyncFeign.AsyncFeignInvocationHandler.equals,0,0,0,0,,
feign,feign.Types.WildcardTypeImpl.getUpperBounds,0,0,0,0,,
feign,feign.googlehttpclient.GoogleHttpClient.execute,0,0,0,0,,
feign,feign.RequestTemplate.path,1,0,5,0,"feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign",
feign,feign.FeignException.contentUTF8,0,0,0,0,,
feign,feign.jackson.JacksonIteratorDecoder.JacksonIterator.next,0,0,0,0,,
feign,feign.soap.SOAPEncoder.Builder.withFormattedOutput,0,0,0,0,,
feign,feign.Feign.ResponseMappingDecoder.decode,0,0,0,0,,
feign,feign.ReflectiveAsyncFeign.wrap,0,0,0,0,,
feign,feign.RequestTemplate.hasRequestVariable,1,0,7,0,"feign.benchmark.RealRequestBenchmarks.query_baseCaseUsingOkHttp,feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign,feign.benchmark.WhatShouldWeCacheBenchmarks.parseFeignContract",
feign,feign.jaxb.examples.AWSSignatureVersion4.apply,0,0,0,0,,
feign,feign.ReflectiveAsyncFeign.getFullMethodName,0,0,0,0,,
feign,feign.hystrix.HystrixBuilderTest.FallbackTestInterface.intObservable,0,0,0,0,,
feign,feign.RequestTemplate.from,1,0,5,0,"feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign",
feign,feign.AsyncFeign.AsyncBuilder.encoder,0,0,0,0,,
feign,feign.mock.RequestHeaders.equals,0,0,0,0,,
feign,feign.soap.SOAPEncoder.Builder.withCharsetEncoding,0,0,0,0,,
feign,feign.soap.SOAPEncoder.Builder.withWriteXmlDeclaration,0,0,0,0,,
feign,feign.ParentPojo.setParentProtectedProperty,0,0,0,0,,
feign,feign.FeignException.clientErrorStatus,0,0,0,0,,
feign,feign.FeignTest.MockRetryer.clone,0,0,0,0,,
feign,feign.jaxrs2.JAXRSClient.toMap,0,0,0,0,,
feign,feign.client.TrustingSSLSocketFactory.get,0,0,0,0,,
feign,feign.FeignException.responseBody,0,0,0,0,,
feign,feign.ribbon.RibbonClient.FeignOptionsClientConfig.loadDefaultValues,0,0,0,0,,
feign,feign.FeignUnderAsyncTest.TestInterfaceBuilder.queryMapEndcoder,0,0,0,0,,
feign,feign.template.Template.toString,1,0,7,0,"feign.benchmark.RealRequestBenchmarks.query_baseCaseUsingOkHttp,feign.benchmark.RealRequestBenchmarks.query_feignUsingOkHttp,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedApi,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedContract,feign.benchmark.WhatShouldWeCacheBenchmarks.buildAndQuery_fake_cachedFeign,feign.benchmark.WhatShouldWeCacheBenchmarks.parseFeignContract",
feign,feign.FeignTest.TestInterfaceBuilder.target,0,0,0,0,,
feign,feign.Response.ByteArrayBody.toString,0,0,0,0,,
feign,feign.template.Template.getLiterals,0,0,0,0,,
feign,feign.template.UriUtils.pctEncode,0,0,0,0,,
feign,feign.FeignUnderAsyncTest.upperCaseResponseMapper,0,0,0,0,,
feign,feign.Logger.logIOException,0,0,0,0,,
feign,feign.FeignUnderAsyncTest.TestInterfaceBuilder.decoder,0,0,0,0,,
feign,feign.Types.GenericArrayTypeImpl.equals,0,0,0,0,,
feign,feign.MethodMetadata.ignoreParamater,0,0,0,0,,
feign,feign.FeignTest.TestInterfaceBuilder.requestInterceptor,0,0,0,0,,
feign,feign.jaxb.examples.AWSSignatureVersion4.sha256,0,0,0,0,,
feign,feign.jaxrs2.JAXRSClientTest.testPatch,0,0,0,0,,
feign,feign.LoggerTest.RetryEmitsTest.data,0,0,0,0,,
feign,feign.AsyncFeign.newInstance,0,0,0,0,,
feign,feign.template.Expression.toString,0,0,0,0,,
feign,feign.metrics5.MeteredBody.count,0,0,0,0,,
feign,feign.AsyncFeignTest.TestInterfaceAsyncBuilder.requestInterceptor,0,0,0,0,,
feign,feign.examples.GitHubExample.GsonDecoder.decode,0,0,0,0,,
feign,feign.hystrix.HystrixBuilderTest.FallbackTestInterface.single,0,0,0,0,,
feign,feign.querymap.BeanQueryMapEncoder.ObjectParamMetadata.parseObjectType,0,0,0,0,,
feign,feign.assertj.RequestTemplateAssert.hasBody,0,0,0,0,,
feign,feign.Request.charset,0,0,0,0,,
feign,feign.jaxb.examples.IAMExample.IAMTarget.name,0,0,0,0,,
feign,example.github.GitHubStub.createIssue,0,0,0,0,,
feign,feign.hystrix.HystrixCapabilityTest.targetWithoutFallback,0,0,0,0,,
feign,feign.metrics4.MetricSuppliers.meters,0,0,0,0,,
feign,feign.Response.ByteArrayBody.length,0,0,0,0,,
feign,example.github.GitHubExample.main,0,0,0,0,,
