Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
imglib2,net.imglib2.PointSampleList.PointSampleListCursor.getDoublePosition,0,0,0,0,,
imglib2,net.imglib2.interpolation.randomaccess.NLinearInterpolator.accumulate,0,0,0,0,,
imglib2,net.imglib2.type.numeric.ARGBType.copy,0,0,0,0,,
imglib2,net.imglib2.type.numeric.integer.AbstractIntegerBitType.setOne,0,0,0,0,,
imglib2,net.imglib2.view.MixedRandomAccess.setPosition,0,0,0,0,,
imglib2,net.imglib2.parallel.ParallelizationBenchmark.main,0,0,0,0,,
imglib2,net.imglib2.parallel.SequentialTaskExecutor.forEach,1,0,1,0,net.imglib2.parallel.ParallelizationBenchmark.singleThreaded,
imglib2,net.imglib2.RealPoint.wrap,0,0,0,0,,
imglib2,net.imglib2.outofbounds.AbstractOutOfBoundsMirror.getFloatPosition,0,0,0,0,,
imglib2,net.imglib2.type.numeric.integer.UnsignedVariableBitLengthType.div,0,0,0,0,,
imglib2,net.imglib2.type.logic.NativeBoolType.setZero,0,0,0,0,,
imglib2,net.imglib2.util.Util.pow,0,0,0,0,,
imglib2,net.imglib2.img.sparse.NtreeRandomAccess.copy,0,0,0,0,,
imglib2,net.imglib2.converter.read.BiConvertedRandomAccess.get,0,0,0,0,,
imglib2,net.imglib2.type.numeric.real.DoubleType.getEntitiesPerPixel,1,0,9,0,"net.imglib2.loops.LoopBuilderVsCursorsBenchmark.flatCopy,net.imglib2.loops.LoopBuilderVsCursorsBenchmark.loopBuilder,net.imglib2.loops.LoopPerformanceBenchmark.copy_flatIterable,net.imglib2.loops.LoopPerformanceBenchmark.copy_loopBuilder,net.imglib2.loops.LoopPerformanceBenchmark.copy_pairedView,net.imglib2.loops.LoopPerformanceBenchmark.gradient_LoopBuilder,net.imglib2.loops.LoopPerformanceBenchmark.gradient_LoopBuilder_MultiThreaded,net.imglib2.loops.LoopPerformanceBenchmark.gradient_better,net.imglib2.loops.LoopPerformanceBenchmark.gradient_niceAndSlow",
imglib2,net.imglib2.test.ImgLib2Assert.intervalToString,0,0,0,0,,
imglib2,net.imglib2.display.AbstractLinearRange.getMax,0,0,0,0,,
imglib2,net.imglib2.RealPointSampleListTest.init,0,0,0,0,,
imglib2,net.imglib2.img.sparse.ShortNtree.setValue,0,0,0,0,,
imglib2,net.imglib2.type.numeric.integer.GenericIntType.set,0,0,0,0,,
imglib2,net.imglib2.interpolation.randomaccess.LanczosInterpolator.createLanczosLUT,0,0,0,0,,
imglib2,net.imglib2.type.numeric.integer.AbstractIntegerBitType.complexConjugate,0,0,0,0,,
imglib2,net.imglib2.img.planar.PlanarCursor1D.hasNext,0,0,0,0,,
imglib2,net.imglib2.view.StackView.DefaultRA.numDimensions,0,0,0,0,,
imglib2,net.imglib2.view.FullSourceMapSlicingRandomAccess.getIntPosition,0,0,0,0,,
imglib2,net.imglib2.converter.read.BiConvertedRealRandomAccessibleRealInterval.getDestinationType,0,0,0,0,,
imglib2,net.imglib2.img.basictypeaccess.volatiles.array.DirtyVolatileShortArray.createArray,0,0,0,0,,
imglib2,net.imglib2.outofbounds.RealOutOfBoundsRealRandomAccess.copy,0,0,0,0,,
imglib2,net.imglib2.type.numeric.integer.GenericLongType.updateIndex,0,0,0,0,,
imglib2,net.imglib2.AbstractWrappedPositionableLocalizable.setPosition,0,0,0,0,,
