Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
jdbi,org.jdbi.v3.testing.JdbiRule.h2,1,1,28,28,"org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbc,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiBean,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiMap,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiNamed,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiPositional,org.jdbi.v3.benchmark.BeanBindingBenchmark.oneJdbc,org.jdbi.v3.benchmark.BeanBindingBenchmark.oneJdbi,org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByExactName,org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByOrdinal,org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByRandomCaseName,org.jdbi.v3.benchmark.QualifiersBenchmark.eq0To0,org.jdbi.v3.benchmark.QualifiersBenchmark.eq1To1,org.jdbi.v3.benchmark.QualifiersBenchmark.eq2To2,org.jdbi.v3.benchmark.QualifiersBenchmark.eq3To3,org.jdbi.v3.benchmark.QualifiersBenchmark.eq4To4,org.jdbi.v3.benchmark.QualifiersBenchmark.mapQualifiedBean,org.jdbi.v3.benchmark.QualifiersBenchmark.mapUnqualifiedBean,org.jdbi.v3.benchmark.QualifiersBenchmark.neq1To0,org.jdbi.v3.benchmark.QualifiersBenchmark.neq1To1,org.jdbi.v3.benchmark.QualifiersBenchmark.neq2To2,org.jdbi.v3.benchmark.QualifiersBenchmark.neq3To3,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType0,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType1,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType2,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType3,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType4,org.jdbi.v3.core.EnumBenchmark.mapEnumCaseInsensitive,org.jdbi.v3.core.EnumBenchmark.mapEnumCaseSensitive","org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbc,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiBean,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiMap,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiNamed,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiPositional,org.jdbi.v3.benchmark.BeanBindingBenchmark.oneJdbc,org.jdbi.v3.benchmark.BeanBindingBenchmark.oneJdbi,org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByExactName,org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByOrdinal,org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByRandomCaseName,org.jdbi.v3.benchmark.QualifiersBenchmark.eq0To0,org.jdbi.v3.benchmark.QualifiersBenchmark.eq1To1,org.jdbi.v3.benchmark.QualifiersBenchmark.eq2To2,org.jdbi.v3.benchmark.QualifiersBenchmark.eq3To3,org.jdbi.v3.benchmark.QualifiersBenchmark.eq4To4,org.jdbi.v3.benchmark.QualifiersBenchmark.mapQualifiedBean,org.jdbi.v3.benchmark.QualifiersBenchmark.mapUnqualifiedBean,org.jdbi.v3.benchmark.QualifiersBenchmark.neq1To0,org.jdbi.v3.benchmark.QualifiersBenchmark.neq1To1,org.jdbi.v3.benchmark.QualifiersBenchmark.neq2To2,org.jdbi.v3.benchmark.QualifiersBenchmark.neq3To3,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType0,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType1,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType2,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType3,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType4,org.jdbi.v3.core.EnumBenchmark.mapEnumCaseInsensitive,org.jdbi.v3.core.EnumBenchmark.mapEnumCaseSensitive"
jdbi,org.jdbi.v3.core.qualifier.Qualifiers.createCopy,1,0,44,0,"org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbc,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiBean,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiMap,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiNamed,org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiPositional,org.jdbi.v3.benchmark.BeanBindingBenchmark.oneJdbc,org.jdbi.v3.benchmark.BeanBindingBenchmark.oneJdbi,org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByExactName,org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByOrdinal,org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByRandomCaseName,org.jdbi.v3.benchmark.QualifiersBenchmark.eq0To0,org.jdbi.v3.benchmark.QualifiersBenchmark.eq1To1,org.jdbi.v3.benchmark.QualifiersBenchmark.eq2To2,org.jdbi.v3.benchmark.QualifiersBenchmark.eq3To3,org.jdbi.v3.benchmark.QualifiersBenchmark.eq4To4,org.jdbi.v3.benchmark.QualifiersBenchmark.mapQualifiedBean,org.jdbi.v3.benchmark.QualifiersBenchmark.mapUnqualifiedBean,org.jdbi.v3.benchmark.QualifiersBenchmark.neq1To1,org.jdbi.v3.benchmark.QualifiersBenchmark.neq2To2,org.jdbi.v3.benchmark.QualifiersBenchmark.neq3To3,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType0,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType1,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType2,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType3,org.jdbi.v3.benchmark.QualifiersBenchmark.qualifiedType4,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.attach,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.fluentInsertGeneratedKeyBindBean,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.fluentInsertGeneratedKeyValues,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.fluentSelectOne,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.sqlobjectInsertGeneratedKeyBindBean,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.sqlobjectInsertGeneratedKeyValues,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.sqlobjectInsertRowCountBindBean,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.sqlobjectInsertRowCountValues,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.attach,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.fluentInsertGeneratedKeyBindBean,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.fluentInsertGeneratedKeyValues,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.fluentSelectOne,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.sqlobjectInsertGeneratedKeyBindBean,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.sqlobjectInsertGeneratedKeyValues,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.sqlobjectInsertRowCountBindBean,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.sqlobjectInsertRowCountValues,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.sqlobjectSelectOne,org.jdbi.v3.core.EnumBenchmark.mapEnumCaseInsensitive,org.jdbi.v3.core.EnumBenchmark.mapEnumCaseSensitive",
jdbi,org.jdbi.v3.core.result.EmptyResultSetMetaData.isWrapperFor,0,0,0,0,,
jdbi,jdbi.doc.ExampleConfig.setNumber,0,0,0,0,,
jdbi,org.jdbi.v3.sqlobject.internal.CreateSqlObjectHandler.invoke,0,0,0,0,,
jdbi,org.jdbi.v3.core.result.RowView.getRow,0,0,0,0,,
jdbi,org.jdbi.v3.json.JsonPluginTest.Foo.toString,0,0,0,0,,
jdbi,org.jdbi.v3.core.mapper.reflect.internal.BeanPropertiesFactory.shouldSeeProperty,1,0,22,0,"org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiBean,org.jdbi.v3.benchmark.BeanBindingBenchmark.oneJdbi,org.jdbi.v3.benchmark.QualifiersBenchmark.mapQualifiedBean,org.jdbi.v3.benchmark.QualifiersBenchmark.mapUnqualifiedBean,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.attach,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.fluentInsertGeneratedKeyBindBean,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.fluentInsertGeneratedKeyValues,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.fluentSelectOne,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.sqlobjectInsertGeneratedKeyBindBean,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.sqlobjectInsertGeneratedKeyValues,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.sqlobjectInsertRowCountBindBean,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.sqlobjectInsertRowCountValues,org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.sqlobjectSelectOne,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.attach,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.fluentInsertGeneratedKeyBindBean,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.fluentInsertGeneratedKeyValues,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.fluentSelectOne,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.sqlobjectInsertGeneratedKeyBindBean,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.sqlobjectInsertGeneratedKeyValues,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.sqlobjectInsertRowCountBindBean,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.sqlobjectInsertRowCountValues,org.jdbi.v3.benchmark.sqlobject.PGSqlObjectV3Benchmark.sqlobjectSelectOne",
jdbi,org.jdbi.v3.core.transaction.DelegatingTransactionHandler.isInTransaction,0,0,0,0,,
jdbi,org.jdbi.v3.core.statement.SqlStatement.bindMethods,0,0,0,0,,
