Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
jgrapht,org.jgrapht.alg.planar.BoyerMyrvoldPlanarityInspector.Node.removeShortCircuitEdges,0,0,0,0,,
jgrapht,org.jgrapht.alg.flow.EdmondsKarpMFImpl.breadthFirstSearch,1,0,3,0,"org.jgrapht.perf.flow.MaximumFlowAlgorithmPerformanceTest.EdmondsKarpMaximumFlowRandomGraphBenchmark.run,org.jgrapht.perf.graph.GraphPerformanceTest.FastLookupDirectedGraphBenchmark.graphPerformanceBenchmark,org.jgrapht.perf.graph.GraphPerformanceTest.MemoryEfficientDirectedGraphBenchmark.graphPerformanceBenchmark",
jgrapht,org.jgrapht.alg.matching.blossom.v5.BlossomVDebugger.getTreeEdge,0,0,0,0,,
jgrapht,org.jgrapht.perf.lca.LowestCommonAncestorAlgorithmPerformanceTest.BinaryLiftingLCARandomForestBenchmark.createSolver,0,0,0,0,,
jgrapht,org.jgrapht.graph.DefaultWeightedEdge.toString,0,0,0,0,,
jgrapht,org.jgrapht.graph.concurrent.AsSynchronizedGraph.Builder.setNonfair,0,0,0,0,,
jgrapht,org.jgrapht.alg.matching.blossom.v5.BlossomVNode.incidentEdgesIterator,0,0,0,0,,
jgrapht,org.jgrapht.alg.cycle.HierholzerEulerianCycle.VertexNode.hashCode,0,0,0,0,,
jgrapht,org.jgrapht.nio.json.JSONEventDrivenImporter.NotifyJsonListener.exitArray,0,0,0,0,,
jgrapht,org.jgrapht.alg.flow.mincost.CapacityScalingMinimumCostFlow.Arc.increaseResidualCapacity,0,0,0,0,,
jgrapht,org.jgrapht.alg.flow.mincost.CapacityScalingMinimumCostFlow.Arc.sendFlow,0,0,0,0,,
jgrapht,org.jgrapht.util.AVLTree.mergeBefore,1,0,2,0,"org.jgrapht.perf.connectivity.TreeDynamicConnectivityPerformanceTest.testTreeDynamicConnectivity,org.jgrapht.perf.connectivity.TreeDynamicConnectivityPerformanceTest.testTreeNaiveConnectivity",
jgrapht,org.jgrapht.graph.EdgeReversedGraph.toString,0,0,0,0,,
jgrapht,org.jgrapht.graph.builder.GraphTypeBuilder.forGraph,0,0,0,0,,
jgrapht,org.jgrapht.opt.graph.sparse.SparseIntDirectedGraph.assertVertexExist,0,0,0,0,,
jgrapht,org.jgrapht.nio.BaseEventDrivenImporter.removeEdgeAttributeConsumer,0,0,0,0,,
jgrapht,org.jgrapht.generate.GnmRandomGraphGeneratorTest.VertexOrdering.init,0,0,0,0,,
jgrapht,org.jgrapht.alg.color.ColorRefinementAlgorithm.getDefaultAlpha,0,0,0,0,,
jgrapht,org.jgrapht.nio.tsplib.TSPLIBImporter.Metadata.getTour,0,0,0,0,,
jgrapht,org.jgrapht.alg.shortestpath.RankingPathElement.getPrevPathElement,0,0,0,0,,
jgrapht,org.jgrapht.nio.tsplib.TSPLIBImporter.getLInfDistance,0,0,0,0,,
jgrapht,org.jgrapht.util.PrefetchIterator.hasNext,0,0,0,0,,
jgrapht,org.jgrapht.traverse.DegeneracyOrderingIterator.hasNext,1,0,1,0,org.jgrapht.perf.clique.MaximalCliqueEnumerationPerformanceTest.BronKerboschRandomGraphBenchmark.run,
jgrapht,org.jgrapht.alg.matching.blossom.v5.BlossomVOptions.isUpdateDualsAfter,0,0,0,0,,
jgrapht,org.jgrapht.alg.matching.blossom.v5.KolmogorovWeightedPerfectMatching.finish,0,0,0,0,,
jgrapht,org.jgrapht.alg.flow.mincost.CapacityScalingMinimumCostFlow.Arc.toString,0,0,0,0,,
jgrapht,org.jgrapht.alg.isomorphism.AHUForestIsomorphismInspector.getMappings,0,0,0,0,,
jgrapht,org.jgrapht.util.SupplierUtil.createRandomUUIDStringSupplier,0,0,0,0,,
jgrapht,org.jgrapht.alg.shortestpath.ALTAdmissibleHeuristic.isConsistent,0,0,0,0,,
jgrapht,org.jgrapht.graph.concurrent.AsSynchronizedGraph.edgesOf,0,0,0,0,,
jgrapht,org.jgrapht.alg.flow.MaximumFlowMinimumCutAlgorithmTestBase.getDirectedN6,0,0,0,0,,
jgrapht,org.jgrapht.alg.shortestpath.KSPPathValidatorTest.buildLineGraph,0,0,0,0,,
jgrapht,org.jgrapht.alg.scoring.BetweennessCentralityTest.createUnweighted1,0,0,0,0,,
jgrapht,org.jgrapht.alg.clique.BaseBronKerboschCliqueFinder.isTimeLimitReached,0,0,0,0,,
jgrapht,org.jgrapht.nio.gexf.GEXFExporter.writeVertexAttributeValues,0,0,0,0,,
