Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
logbook,org.zalando.logbook.Fold.fold,1,1,15,15,"org.zalando.logbook.HeaderBenchmark.autoconfigurationRequest,org.zalando.logbook.HeaderBenchmark.autoconfigurationResponse,org.zalando.logbook.HeaderBenchmark.replace1xRequest,org.zalando.logbook.HeaderBenchmark.replace1xResponse,org.zalando.logbook.HeaderBenchmark.replace2xRequest,org.zalando.logbook.HeaderBenchmark.replace2xResponse,org.zalando.logbook.HttpLogFormatterBenchmark.defaultRequest,org.zalando.logbook.HttpLogFormatterBenchmark.defaultResponse,org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonRequest,org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonResponse,org.zalando.logbook.HttpLogFormatterBenchmark.jsonRequest,org.zalando.logbook.HttpLogFormatterBenchmark.jsonResponse,org.zalando.logbook.LogbookBenchmark.json,org.zalando.logbook.LogbookBenchmark.noop,org.zalando.logbook.LogbookBenchmark.plain","org.zalando.logbook.HeaderBenchmark.autoconfigurationRequest,org.zalando.logbook.HeaderBenchmark.autoconfigurationResponse,org.zalando.logbook.HeaderBenchmark.replace1xRequest,org.zalando.logbook.HeaderBenchmark.replace1xResponse,org.zalando.logbook.HeaderBenchmark.replace2xRequest,org.zalando.logbook.HeaderBenchmark.replace2xResponse,org.zalando.logbook.HttpLogFormatterBenchmark.defaultRequest,org.zalando.logbook.HttpLogFormatterBenchmark.defaultResponse,org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonRequest,org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonResponse,org.zalando.logbook.HttpLogFormatterBenchmark.jsonRequest,org.zalando.logbook.HttpLogFormatterBenchmark.jsonResponse,org.zalando.logbook.LogbookBenchmark.json,org.zalando.logbook.LogbookBenchmark.noop,org.zalando.logbook.LogbookBenchmark.plain"
logbook,org.zalando.logbook.httpclient.RemoteResponse.Ignoring.with,0,0,0,0,,
logbook,org.zalando.logbook.httpclient.LogbookHttpAsyncResponseConsumer.delegate,0,0,0,0,,
logbook,org.zalando.logbook.jaxrs.LocalResponse.getContentType,0,0,0,0,,
logbook,org.zalando.logbook.netty.Offering.without,0,0,0,0,,
logbook,org.zalando.logbook.FilteredHttpResponse.withoutBody,0,0,0,0,,
logbook,org.zalando.logbook.jaxrs.LocalResponse.without,0,0,0,0,,
logbook,org.zalando.logbook.okhttp.LocalRequest.getPort,0,0,0,0,,
logbook,org.zalando.logbook.json.FastJsonHttpLogFormatter.format,1,1,2,2,"org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonRequest,org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonResponse","org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonRequest,org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonResponse"
logbook,org.zalando.logbook.httpclient.RemoteResponse.getCharset,0,0,0,0,,
logbook,org.zalando.logbook.okhttp2.LocalRequest.getPath,0,0,0,0,,
logbook,org.zalando.logbook.jaxrs.RemoteRequest.getPath,0,0,0,0,,
logbook,org.zalando.logbook.httpclient.LocalRequest.getHost,0,0,0,0,,
logbook,org.zalando.logbook.jmh.DefaultPrecorrelation.getStart,0,0,0,0,,
logbook,org.zalando.logbook.CompositeSink.writeBoth,0,0,0,0,,
logbook,org.zalando.logbook.servlet.LocalResponse.TeeServletOutputStream.write,0,0,0,0,,
logbook,org.zalando.logbook.servlet.AsyncDispatchTest.TestConfiguration.logbook,0,0,0,0,,
logbook,org.zalando.logbook.servlet.ExampleController.unauthorized,0,0,0,0,,
logbook,org.zalando.logbook.NoopHttpLogFormatter.format,1,0,1,0,org.zalando.logbook.LogbookBenchmark.noop,
logbook,org.zalando.logbook.httpclient.AbstractHttpTest.defaultBehaviour,0,0,0,0,,
