Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
netty,io.netty.example.worldclock.WorldClockProtocol.Location.initFields,0,0,0,0,,
netty,io.netty.handler.ssl.util.FingerprintTrustManagerFactory.engineInit,0,0,0,0,,
netty,io.netty.buffer.CompositeByteBuf._setByte,1,0,3,0,"io.netty.buffer.CompositeByteBufRandomAccessBenchmark.setGetLong,io.netty.buffer.CompositeByteBufRandomAccessBenchmark.setLong,io.netty.buffer.CompositeByteBufSequentialBenchmark.sequentialWriteAndRead",
netty,io.netty.handler.ssl.JdkOpenSslEngineInteroptTest.testHandshakeSession,0,0,0,0,,
netty,io.netty.handler.ssl.SslHandler.SslTasksRunner.safeExceptionCaught,0,0,0,0,,
netty,io.netty.bootstrap.Bootstrap.validate,1,0,2,0,"io.netty.microbench.channel.epoll.EpollSocketChannelBenchmark.executeMulti,io.netty.microbench.channel.epoll.EpollSocketChannelBenchmark.pingPong",
netty,io.netty.channel.group.VoidChannelGroupFuture.isPartialSuccess,0,0,0,0,,
netty,io.netty.util.internal.PlatformDependent.hashCodeAsciiSanitizeShort,1,0,3,0,"io.netty.microbench.http.HttpRequestDecoderBenchmark.testDecodeWholeRequestInMultipleStepsMixedDelimiters,io.netty.microbench.stomp.StompEncoderBenchmark.writeStompFrame,io.netty.microbenchmark.common.AsciiStringBenchmark.hashCodeBenchCharSequenceNew",
netty,io.netty.channel.kqueue.KQueueEventArray.capacity,0,0,0,0,,
netty,io.netty.channel.AbstractChannel.unsafe,1,0,7,0,"io.netty.handler.codec.http2.Http2FrameWriterDataBenchmark.newWriter,io.netty.microbench.channel.epoll.EpollSocketChannelBenchmark.executeMulti,io.netty.microbench.channel.epoll.EpollSocketChannelBenchmark.pingPong,io.netty.microbench.http.HttpObjectEncoderBenchmark.chunked,io.netty.microbench.http.HttpObjectEncoderBenchmark.fullMessage,io.netty.microbench.redis.RedisEncoderBenchmark.writeArray,io.netty.microbench.stomp.StompEncoderBenchmark.writeStompFrame",
netty,io.netty.handler.codec.http2.DefaultHttp2Connection.DefaultEndpoint.numActiveStreams,0,0,0,0,,
netty,io.netty.buffer.PooledByteBufAllocator.PoolThreadLocalCache.onRemoval,0,0,0,0,,
netty,io.netty.handler.codec.http.CombinedHttpHeaders.CombinedHttpHeadersImpl.commaSeparate,0,0,0,0,,
netty,io.netty.buffer.PooledDuplicatedByteBuf.forEachByteDesc,0,0,0,0,,
netty,io.netty.channel.epoll.AbstractEpollServerChannel.filterOutboundMessage,0,0,0,0,,
netty,io.netty.handler.codec.http2.Http2MultiplexCodec.handlerAdded0,0,0,0,0,,
netty,io.netty.handler.ssl.JdkAlpnSslEngine.AlpnSelector.checkUnsupported,0,0,0,0,,
netty,io.netty.buffer.CompositeByteBuf.newComponent,1,0,14,0,"io.netty.buffer.AbstractByteBufGetCharSequenceBenchmark.getCharSequence,io.netty.buffer.ByteBufAccessBenchmark.readBatch,io.netty.buffer.ByteBufAccessBenchmark.setGetLong,io.netty.buffer.ByteBufAccessBenchmark.setLong,io.netty.buffer.ByteBufUtilDecodeStringBenchmark.decodeString,io.netty.buffer.CompositeByteBufRandomAccessBenchmark.setGetLong,io.netty.buffer.CompositeByteBufRandomAccessBenchmark.setLong,io.netty.buffer.CompositeByteBufSequentialBenchmark.forEachByte,io.netty.buffer.CompositeByteBufSequentialBenchmark.sequentialWriteAndRead,io.netty.buffer.CompositeByteBufWriteOutBenchmark.writeCBB,io.netty.microbench.search.SearchBenchmark.ahoCorasic,io.netty.microbench.search.SearchBenchmark.bitap,io.netty.microbench.search.SearchBenchmark.indexOf,io.netty.microbench.search.SearchBenchmark.kmp",
netty,io.netty.buffer.UnpooledDirectByteBuf.hasMemoryAddress,0,0,0,0,,
netty,io.netty.handler.codec.compression.SnappyFrameEncoderTest.setUp,0,0,0,0,,
netty,io.netty.handler.ssl.OpenSslConscryptSslEngineInteropTest.sslClientProvider,0,0,0,0,,
netty,io.netty.buffer.ByteBufAllocatorTest.testHeapBuffer,0,0,0,0,,
netty,io.netty.channel.group.VoidChannelGroupFuture.removeListener,0,0,0,0,,
netty,io.netty.buffer.PooledByteBufAllocatorMetric.chunkSize,0,0,0,0,,
netty,io.netty.handler.ipfilter.AbstractRemoteAddressFilter.channelAccepted,0,0,0,0,,
netty,io.netty.channel.sctp.DefaultSctpServerChannelConfig.setRecvByteBufAllocator,0,0,0,0,,
netty,io.netty.handler.codec.http.websocketx.WebSocketServerProtocolHandshakeHandler.sendHttpResponse,0,0,0,0,,
netty,io.netty.channel.SingleThreadEventLoop.next,0,0,0,0,,
netty,io.netty.handler.ssl.SslHandlerTest.newHandler,0,0,0,0,,
netty,io.netty.buffer.ByteBufUtil.prettyHexDump,0,0,0,0,,
netty,io.netty.channel.socket.oio.OioServerSocketChannel.localAddress0,0,0,0,0,,
