Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
objenesis,org.objenesis.tck.TextReporterTest.setUp,0,0,0,0,,
objenesis,org.objenesis.tck.TextReporter.lengthOfLongestStringIn,0,0,0,0,,
objenesis,org.objenesis.gae.JspReporter.addResult,0,0,0,0,,
objenesis,org.objenesis.tck.SerializableTest.ReadWriteObject.writeObject,0,0,0,0,,
objenesis,org.objenesis.instantiator.android.Android17Instantiator.newInstance,0,0,0,0,,
objenesis,org.objenesis.benchmark.CreateObject.getConstructor,1,1,6,6,"org.objenesis.benchmark.CreateObject.createObjectWithConstructor,org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException","org.objenesis.benchmark.CreateObject.createObjectWithConstructor,org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException"
objenesis,org.objenesis.instantiator.sun.SunReflectionFactoryInstantiator.newInstance,1,1,1,1,org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor
objenesis,org.objenesis.tck.Candidate.hashCode,0,0,0,0,,
objenesis,org.objenesis.tck.AbstractLoader.loadFrom,0,0,0,0,,
objenesis,org.objenesis.tck.AbstractLoader.handlePropertyEntry,0,0,0,0,,
objenesis,org.objenesis.instantiator.util.DefineClassHelper.defineClass,0,0,0,0,,
objenesis,org.objenesis.instantiator.SerializationInstantiatorHelper.getNonSerializableSuperClass,0,0,0,0,,
objenesis,org.objenesis.instantiator.util.UnsafeUtils.getUnsafe,1,1,3,3,"org.objenesis.benchmark.CreateObject.createObjectWithConstructor,org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,org.objenesis.benchmark.CreateObject.createObjectWithUnsafe","org.objenesis.benchmark.CreateObject.createObjectWithConstructor,org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,org.objenesis.benchmark.CreateObject.createObjectWithUnsafe"
objenesis,org.objenesis.strategy.PlatformDescription.getOldAndroidVersion,0,0,0,0,,
objenesis,org.objenesis.strategy.PlatformDescription.getAndroidVersion0,0,0,0,0,,
objenesis,org.objenesis.tck.android.ObjenesisTest.JUnitReporter.endTests,0,0,0,0,,
objenesis,org.objenesis.tck.ObjenesisTest.JUnitReporter.result,0,0,0,0,,
objenesis,org.objenesis.tck.android.ObjenesisTest.JUnitReporter.exception,0,0,0,0,,
objenesis,org.objenesis.instantiator.basic.ObjectInputStreamInstantiator.newInstance,0,0,0,0,,
objenesis,org.objenesis.instantiator.perc.PercSerializationInstantiator.newInstance,0,0,0,0,,
objenesis,org.objenesis.instantiator.basic.ProxyingInstantiator.writeExtendingClass,0,0,0,0,,
objenesis,org.objenesis.strategy.StdInstantiatorStrategy.newInstantiatorOf,1,1,2,1,"org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,org.objenesis.benchmark.ConcurrentGetInstantiator.std",org.objenesis.benchmark.ConcurrentGetInstantiator.std
objenesis,org.objenesis.tck.features.ReadExternalNotCalled.ReadExternalAndAll.writeExternal,0,0,0,0,,
objenesis,org.objenesis.tck.TCK.describePlatform,0,0,0,0,,
objenesis,org.objenesis.instantiator.android.AndroidSerializationInstantiator.newInstance,0,0,0,0,,
objenesis,org.objenesis.instantiator.sun.SunReflectionFactoryHelper.getReflectionFactoryClass,1,0,10,0,"org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,org.objenesis.benchmark.ConcurrentGetInstantiator.custom,org.objenesis.benchmark.ConcurrentGetInstantiator.single,org.objenesis.benchmark.ConcurrentGetInstantiator.std,org.objenesis.benchmark.CreateObject.createObjectWithConstructor,org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawAndCast,org.objenesis.benchmark.CreateObject.createObjectWithUnsafeRawException",
objenesis,org.objenesis.tck.ObjenesisTest.JUnitReporter.endTests,0,0,0,0,,
objenesis,org.objenesis.tck.Main.run,0,0,0,0,,
objenesis,org.objenesis.ExternalizableTest.A.readExternal,0,0,0,0,,
