Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
r2dbc-h2,io.r2dbc.h2.H2ConnectionConfiguration.Builder.toString,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.PeriodCodec.doDecode,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.H2ColumnMetadata.equals,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.LocalTimeCodec.doEncode,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.util.H2ServerExtension.getUsername,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.H2Row.toRow,1,1,4,4,"io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc,io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc,io.r2dbc.h2.StatementBenchmarks.parametrizedR2dbc,io.r2dbc.h2.StatementBenchmarks.simpleR2dbc","io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc,io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbc,io.r2dbc.h2.StatementBenchmarks.parametrizedR2dbc,io.r2dbc.h2.StatementBenchmarks.simpleR2dbc"
r2dbc-h2,io.r2dbc.h2.codecs.DoubleCodec.doCanDecode,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.MockCodecs.Builder.build,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.util.H2ServerExtension.getUrl,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.LocalDateTimeCodec.doEncode,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.H2Example.JdbcStyle.getIdentifier,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.H2ConnectionConfiguration.Builder.file,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.H2ColumnMetadata.toString,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.IntervalCodec.doDecode,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.ZonedDateTimeCodecTest.setUp,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.IntervalCodecTest.setUp,0,0,0,0,,
