Project Name,Method,is_Benchmarked,is_Directly_Benchmarked,Benchmark_Count,Direct_Benchmark_Count,Benchmarked_by,Directly_Benchmarked_By
rdf4j,org.eclipse.rdf4j.sail.nativerdf.TripleStore.startTransaction,1,0,2,0,"org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectAll,org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct",
rdf4j,org.eclipse.rdf4j.rio.datatypes.GeoSPARQLDatatypeHandler.normalizeDatatype,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.workbench.base.AbstractServlet.getBooleanResultFormat,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.sail.model.SailModel.closeIterator,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.federated.algebra.ExclusiveGroup.addFilterExpr,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.rio.rdfxml.SAXFilter.ElementInfo.setNamespaceMappings,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.sail.shacl.planNodes.TupleLengthFilter.toString,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.sail.nativerdf.MemoryOverflowModel.getDelegate,1,0,2,0,"org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectAll,org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct",
rdf4j,org.eclipse.rdf4j.common.webapp.system.SystemOverviewController.setView,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.sail.elasticsearchstore.ClientWithStats.delete,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.rio.helpers.AbstractRDFWriter.set,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.workbench.util.QueryStorage.isShutdown,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.sail.helpers.AbstractSailConnection.registerIteration,1,0,10,0,"org.eclipse.rdf4j.benchmark.ForwardChainingRDFSInferencerBenchmark.initialize,org.eclipse.rdf4j.benchmark.ForwardChainingSchemaCachingRDFSInferencerBenchmark.initialize,org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectAll,org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencer,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencerMultipleTransactions,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencer,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactionsSchema,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerSchema,org.eclipse.rdf4j.benchmark.ReasoningUpdateBenchmark.forwardChainingSchemaCachingRDFSInferencer",
rdf4j,org.eclipse.rdf4j.model.impl.SimpleBNode.getID,1,0,7,0,"org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencer,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencerMultipleTransactions,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencer,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactionsSchema,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerSchema,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoning,org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoningMultipleTransactions",
rdf4j,org.eclipse.rdf4j.query.parser.serql.SeRQLParserFactory.getParser,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.common.text.StringUtil.concat,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.common.lang.FileFormat.getDefaultFileExtension,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.sail.lucene.LuceneIndex.makeQuery,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.sail.memory.FileIO.read,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.http.server.repository.RepositoryListController.handleRequestInternal,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.query.algebra.evaluation.iterator.OrderIteratorTest.BindingSetSize.getBindingNames,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.query.algebra.ZeroLengthPath.getScope,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.repository.event.util.DebugRepositoryConnectionListener.setPrinting,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.sail.spin.SpinSailConnection.applyRules,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.common.webapp.util.HttpServerUtilTest.ServletRequestStub.getRemoteUser,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.query.algebra.Copy.isSilent,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.model.vocabulary.RSX.create,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.query.algebra.evaluation.impl.ExternalSet.getBindingNames,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.model.datatypes.XMLDatatypeUtil.isValidGYear,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.query.algebra.evaluation.util.TripleSources.getObjectResources,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.sail.federation.evaluation.AlternativeCursor.handleClose,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.workbench.proxy.WorkbenchGateway.getServerPath,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.sail.nativerdf.NamespaceStore.writeNamespacesToFile,1,0,2,0,"org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectAll,org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct",
rdf4j,org.eclipse.rdf4j.federated.monitoring.MonitoringImpl.getAllMonitoringInformation,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.common.lang.FileFormat.getCharset,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.query.algebra.AbstractQueryModelNode.replaceChildNode,0,0,0,0,,
rdf4j,org.eclipse.rdf4j.sparqlbuilder.constraint.Operation.getQueryString,0,0,0,0,,
