Project Name,Method,is_Tested,is_Directly_Tested,Test_Count,Direct_Test_Count,Tested_by,Directly_Tested_By
HdrHistogram,org.HdrHistogram.AbstractHistogram.oneAtATimeHashStep,1,0,3,0,"org.HdrHistogram.DoubleHistogramTest.testSerialization,org.HdrHistogram.DoubleHistogramTest.testSerializationWithInternals,org.HdrHistogram.HistogramTest.testSerialization",
HdrHistogram,org.HdrHistogram.packedarray.ConcurrentPackedLongArray.readObject,1,0,2,0,"org.HdrHistogram.DoubleHistogramTest.testSerialization,org.HdrHistogram.HistogramTest.testSerialization",
HdrHistogram,org.HdrHistogram.IntCountsHistogram.setIntegerToDoubleValueConversionRatio,1,0,4,0,"org.HdrHistogram.DoubleHistogramTest.testCopy,org.HdrHistogram.DoubleHistogramTest.testResize,org.HdrHistogram.DoubleHistogramTest.testSerializationWithInternals,org.HdrHistogram.HistogramEncodingTest.testHistogramEncoding",
HdrHistogram,org.HdrHistogram.PackedHistogram.setCountAtIndex,1,0,8,0,"org.HdrHistogram.DoubleHistogramTest.testDataRange,org.HdrHistogram.DoubleHistogramTest.testResize,org.HdrHistogram.HistogramEncodingTest.testHistogramEncoding,org.HdrHistogram.HistogramEncodingTest.testSimpleDoubleHistogramEncoding,org.HdrHistogram.HistogramEncodingTest.testSimpleIntegerHistogramEncoding,org.HdrHistogram.HistogramShiftTest.testHistogramShift,org.HdrHistogram.HistogramTest.testAdd,org.HdrHistogram.HistogramTest.testRecordValue",
HdrHistogram,org.HdrHistogram.SynchronizedHistogram.addWhileCorrectingForCoordinatedOmission,0,0,0,0,,
HdrHistogram,org.HdrHistogram.ConcurrentHistogram.AtomicLongArrayWithNormalizingOffset.setNormalizingIndexOffset,0,0,0,0,,
HdrHistogram,org.HdrHistogram.AbstractHistogram.recordCountAtValue,1,0,24,0,"org.HdrHistogram.DoubleHistogramTest.testCopy,org.HdrHistogram.DoubleHistogramTest.testCopyInto,org.HdrHistogram.DoubleHistogramTest.testSerialization,org.HdrHistogram.DoubleHistogramTest.testSerializationWithInternals,org.HdrHistogram.HistogramAutosizingTest.testAutoSizingAddDouble,org.HdrHistogram.HistogramDataAccessTest.testVerifyManualAllValuesDuplication,org.HdrHistogram.HistogramEncodingTest.testSimpleIntegerHistogramEncoding,org.HdrHistogram.HistogramLogReaderWriterTest.jHiccupV0Log,org.HdrHistogram.HistogramLogReaderWriterTest.jHiccupV1Log,org.HdrHistogram.HistogramLogReaderWriterTest.jHiccupV2Log,org.HdrHistogram.HistogramLogReaderWriterTest.taggedV2LogTest,org.HdrHistogram.HistogramLogReaderWriterTest.ycsbV1Log,org.HdrHistogram.HistogramShiftTest.testHistogramShift,org.HdrHistogram.HistogramTest.testAdd,org.HdrHistogram.HistogramTest.testCopy,org.HdrHistogram.HistogramTest.testIntCountsHistogramOverflow,org.HdrHistogram.HistogramTest.testRecordValue,org.HdrHistogram.HistogramTest.testScaledCopy,org.HdrHistogram.HistogramTest.testSerialization,org.HdrHistogram.HistogramTest.testSubtractAfterAdd,org.HdrHistogram.HistogramTest.testSubtractSubtrahendValuesInsideMinuendRangeWorks,org.HdrHistogram.HistogramTest.testSubtractToNegativeCountsThrows,org.HdrHistogram.HistogramTest.testSubtractToZeroCounts,org.HdrHistogram.RecorderTest.testIntervalRecording",
HdrHistogram,org.HdrHistogram.DoubleHistogram.subtract,0,0,0,0,,
HdrHistogram,org.HdrHistogram.DoubleHistogram.copy,1,1,2,2,"org.HdrHistogram.DoubleHistogramTest.testCopy,org.HdrHistogram.RecorderTest.testIntervalRecording","org.HdrHistogram.DoubleHistogramTest.testCopy,org.HdrHistogram.RecorderTest.testIntervalRecording"
HdrHistogram,org.HdrHistogram.ShortCountsHistogram.addToTotalCount,1,0,4,0,"org.HdrHistogram.DoubleHistogramTest.testCopy,org.HdrHistogram.DoubleHistogramTest.testCopyInto,org.HdrHistogram.DoubleHistogramTest.testSerializationWithInternals,org.HdrHistogram.HistogramShiftTest.testHistogramShift",
HdrHistogram,org.HdrHistogram.SynchronizedDoubleHistogram.getPercentileAtOrBelowValue,0,0,0,0,,
HdrHistogram,org.HdrHistogram.DoubleHistogram.valuesAreEquivalent,1,1,2,2,"org.HdrHistogram.DoubleHistogramDataAccessTest.testAllValues,org.HdrHistogram.HistogramAutosizingTest.testAutoSizingAddDouble","org.HdrHistogram.DoubleHistogramDataAccessTest.testAllValues,org.HdrHistogram.HistogramAutosizingTest.testAutoSizingAddDouble"
HdrHistogram,org.HdrHistogram.SynchronizedDoubleHistogram.isAutoResize,0,0,0,0,,
HdrHistogram,org.HdrHistogram.DoubleRecorder.validateFitAsReplacementHistogram,1,0,4,0,"org.HdrHistogram.RecorderTest.testDRecycling,org.HdrHistogram.RecorderTest.testDRecyclingContainingClassEnforcement,org.HdrHistogram.RecorderTest.testDRecyclingContainingInstanceEnforcement,org.HdrHistogram.RecorderTest.testIntervalRecording",
