Project Name,Method,is_Tested,is_Directly_Tested,Test_Count,Direct_Test_Count,Tested_by,Directly_Tested_By
byte-buddy,net.bytebuddy.asm.AdviceSkipOnDefaultValueTest.ByteDelegateNoSkipAdvice.foo,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.bind.MethodBindingBuilderTest.Key.equals,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.attribute.MethodAttributeAppenderExplicitTest.setUp,0,0,0,0,,
byte-buddy,net.bytebuddy.test.SimpleEntryPoint.transform,1,0,1,0,net.bytebuddy.build.maven.ByteBuddyMojoTest.testSimpleEntry,
byte-buddy,net.bytebuddy.asm.AdviceFrameTest.data,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceSkipOnTest.InstanceOfNoSkip.foo,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.MethodCall.Simple.resolve,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.InvokeDynamic.withField,1,1,2,2,"net.bytebuddy.implementation.InvokeDynamicTest.testBootstrapWithFieldCreation,net.bytebuddy.implementation.InvokeDynamicTest.testBootstrapWithFieldExplicitType","net.bytebuddy.implementation.InvokeDynamicTest.testBootstrapWithFieldCreation,net.bytebuddy.implementation.InvokeDynamicTest.testBootstrapWithFieldExplicitType"
byte-buddy,net.bytebuddy.asm.Advice.Suppressing.Bound.onEndWithSkip,0,0,0,0,,
byte-buddy,net.bytebuddy.agent.ByteBuddyAgent.Simple.ofJ9,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceRepeatOnNonDefaultValueTest.IntegerDelegatingAdviceWithEnterAdviceAndExceptionHandler.foo,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceRepeatOnDefaultValueTest.LongAdviceWithEnterAdviceAndWithoutArgumentBackup.exit,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.FixedValue.ForPoolValue.withAssigner,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.EqualsMethod.resolve,0,0,0,0,,
byte-buddy,net.bytebuddy.build.maven.ByteBuddyMojo.ForTestTypes.getOutputDirectory,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.Advice.Delegating.Resolved.AdviceMethodWriter.ForMethodExit.isExitAdvice,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.bytecode.assign.primitive.PrimitiveTypeAwareAssignerPrimitiveTest.data,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.Advice.Default.WithPreservedArguments.injectInitializationFrame,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.FieldAccessorTest.ByteInstanceSetter.setFoo,0,0,0,0,,
byte-buddy,net.bytebuddy.test.precompiled.DynamicInvokeBootstrap.baz,1,1,1,1,net.bytebuddy.implementation.InvokeDynamicTest.testBootstrapWithThisValue,net.bytebuddy.implementation.InvokeDynamicTest.testBootstrapWithThisValue
byte-buddy,net.bytebuddy.asm.AdviceRepeatOnDefaultValueTest.CharacterDelegatingAdviceWithEnterAdviceAndWithoutArgumentBackup.enter,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceRepeatOnNonDefaultValueTest.BooleanDelegatingAdviceWithEnterAdviceAndExceptionHandler.exit,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.FieldAccessor.ForSetter.OfFieldValue.prepare,0,0,0,0,,
byte-buddy,net.bytebuddy.TypeCache.clear,1,1,1,1,net.bytebuddy.TypeCacheTest.testCache,net.bytebuddy.TypeCacheTest.testCache
byte-buddy,net.bytebuddy.asm.AdviceTest.EmptyAdviceWithExceptionHandlingAndEntrySuppression.advice,0,0,0,0,,
byte-buddy,net.bytebuddy.ByteBuddyTest.Recorder.instrument,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceSkipOnNonDefaultValueTest.VoidNoSkipAdvice.enter,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.MethodDelegation.ForField.getRecords,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceSkipOnDefaultValueTest.ShortWithOutExitAdvice.foo,0,0,0,0,,
byte-buddy,net.bytebuddy.build.gradle.ByteBuddyTaskExtension.setIncrementalResolver,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.InvokeDynamic.ForInstance.prepare,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.TypeReferenceAdjustment.TypeReferenceClassVisitor.visitInnerClass,0,0,0,0,,
byte-buddy,net.bytebuddy.agent.ByteBuddyAgent.ForJava9CapableVm.make,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceFrameTest.FrameSample.foo,0,0,0,0,,
byte-buddy,net.bytebuddy.matcher.FieldTypeMatcherTest.setUp,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceRepeatOnNonDefaultValueTest.LongDelegatingAdviceWithoutArgumentBackup.foo,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.Advice.withExceptionHandler,1,0,1,0,net.bytebuddy.asm.AdviceTest.testExceptionPrinting,
byte-buddy,net.bytebuddy.implementation.InvokeDynamic.WithImplicitType.OfField.as,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.Advice.Default.WithPreservedArguments.injectExceptionFrame,0,0,0,0,,
byte-buddy,net.bytebuddy.build.gradle.ByteBuddyJarTask.apply,0,0,0,0,,
byte-buddy,net.bytebuddy.description.annotation.AnnotationDescriptionForLoadedAnnotationTest.value,0,0,0,0,,
byte-buddy,net.bytebuddy.build.maven.ByteBuddyMojo.ForTestTypes.getSourceDirectory,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceSuppressionTest.ByteDelegationEnterAdvice.exit,0,0,0,0,,
byte-buddy,net.bytebuddy.matcher.ModifierMatcher.toString,1,1,1,1,net.bytebuddy.matcher.ModifierMatcherTest.testStringRepresentation,net.bytebuddy.matcher.ModifierMatcherTest.testStringRepresentation
byte-buddy,net.bytebuddy.asm.AdviceSuppressionTest.FloatDelegationExitAdvice.enter,0,0,0,0,,
byte-buddy,net.bytebuddy.description.field.FieldDescriptionLatentTest.describe,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.ToStringMethod.Appender.apply,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.MethodCall.withReference,1,1,2,2,"net.bytebuddy.implementation.MethodCallTest.testWithExplicitArgumentFieldNonAssignable,net.bytebuddy.implementation.MethodCallTypeTest.testFieldReference","net.bytebuddy.implementation.MethodCallTest.testWithExplicitArgumentFieldNonAssignable,net.bytebuddy.implementation.MethodCallTypeTest.testFieldReference"
byte-buddy,net.bytebuddy.asm.AdviceTypeTest.IntegerInlineAdvice.exit,0,0,0,0,,
byte-buddy,net.bytebuddy.agent.AttacherTest.PseudoAttacherNoArgument.detach,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceBoxedReturnAssignmentTest.ByteAssignment.foo,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceTest.FieldSample.foo,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.MethodCall.ForElementMatcher.resolve,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.MethodDelegationTest.FloatTarget.bar,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceRepeatOnDefaultValueTest.BooleanDelegatingAdviceWithEnterAdviceAndExceptionHandler.enter,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceTest.IllegalArgumentWritableAdvice.enter,0,0,0,0,,
byte-buddy,net.bytebuddy.implementation.auxiliary.MethodCallProxySingleArgumentTest.IntTarget.foo,0,0,0,0,,
byte-buddy,net.bytebuddy.asm.AdviceBoxedParameterAssignmentTest.LongAssignment.foo,0,0,0,0,,
byte-buddy,net.bytebuddy.ByteBuddyTutorialExamplesTest.ForwardingLoggerInterceptor.log,0,0,0,0,,
byte-buddy,net.bytebuddy.matcher.AnnotationTypeMatcherTest.setUp,0,0,0,0,,
