Project Name,Method,is_Tested,is_Directly_Tested,Test_Count,Direct_Test_Count,Tested_by,Directly_Tested_By
commons-bcel,org.apache.bcel.verifier.structurals.InstConstraintVisitor.visitIALOAD,0,0,0,0,,
commons-bcel,org.apache.bcel.classfile.MethodParameter.isSynthetic,0,0,0,0,,
commons-bcel,org.apache.bcel.generic.InstructionFactory.createFieldAccess,1,0,3,0,"org.apache.bcel.generic.GeneratingAnnotatedClassesTestCase.testGenerateClassLevelAnnotations,org.apache.bcel.generic.GeneratingAnnotatedClassesTestCase.testGenerateMethodLevelAnnotations1,org.apache.bcel.generic.GeneratingAnnotatedClassesTestCase.testGenerateMethodLevelAnnotations2",
commons-bcel,org.apache.bcel.generic.EmptyVisitor.visitIF_ICMPEQ,0,0,0,0,,
commons-bcel,org.apache.bcel.verifier.structurals.InstConstraintVisitor.visitFLOAD,0,0,0,0,,
commons-bcel,org.apache.bcel.classfile.ModuleMainClass.dump,0,0,0,0,,
commons-bcel,org.apache.bcel.generic.EmptyVisitor.visitD2F,0,0,0,0,,
commons-bcel,org.apache.bcel.verifier.statics.StringRepresentation.visitLocalVariableTypeTable,1,0,4,0,"org.apache.bcel.verifier.VerifierArrayAccessTestCase.testValidArrayAccess,org.apache.bcel.verifier.VerifierInvokeTestCase.testLegalInvokeSpecial,org.apache.bcel.verifier.VerifierInvokeTestCase.testLegalInvokeStatic,org.apache.bcel.verifier.VerifierTestCase.testDefaultMethodValidation",
commons-bcel,org.apache.bcel.classfile.EmptyVisitor.visitCodeException,1,0,1,0,org.apache.bcel.verifier.VerifierInvokeTestCase.testLegalInvokeStatic,
commons-bcel,org.apache.bcel.classfile.JavaClass.instanceOf,1,0,7,0,"org.apache.bcel.verifier.VerifierArrayAccessTestCase.testValidArrayAccess,org.apache.bcel.verifier.VerifierInvokeTestCase.testLegalInvokeInterface,org.apache.bcel.verifier.VerifierInvokeTestCase.testLegalInvokeSpecial,org.apache.bcel.verifier.VerifierInvokeTestCase.testLegalInvokeStatic,org.apache.bcel.verifier.VerifierInvokeTestCase.testLegalInvokeVirtual,org.apache.bcel.verifier.VerifierReturnTestCase.testInvalidReturn,org.apache.bcel.verifier.VerifierReturnTestCase.testValidReturn",
commons-bcel,org.apache.bcel.generic.LoadInstruction.accept,1,0,9,0,"org.apache.bcel.util.BCELifierTestCase.testJavapCompare,org.apache.bcel.util.BCELifierTestCase.testStart,org.apache.bcel.verifier.VerifierArrayAccessTestCase.testInvalidArrayAccess,org.apache.bcel.verifier.VerifierArrayAccessTestCase.testValidArrayAccess,org.apache.bcel.verifier.VerifierInvokeTestCase.testLegalInvokeInterface,org.apache.bcel.verifier.VerifierInvokeTestCase.testLegalInvokeSpecial,org.apache.bcel.verifier.VerifierInvokeTestCase.testLegalInvokeStatic,org.apache.bcel.verifier.VerifierInvokeTestCase.testLegalInvokeVirtual,org.apache.bcel.verifier.VerifierReturnTestCase.testValidReturn",
commons-bcel,org.apache.bcel.generic.JdkGenericDumpTestCase.testJar,1,1,2,2,"org.apache.bcel.generic.JdkGenericDumpTestCase.testJdkJars,org.apache.bcel.generic.JdkGenericDumpTestCase.testJdkModules","org.apache.bcel.generic.JdkGenericDumpTestCase.testJdkJars,org.apache.bcel.generic.JdkGenericDumpTestCase.testJdkModules"
commons-bcel,org.apache.bcel.verifier.VerifierAppFrame.jbInit,0,0,0,0,,
commons-bcel,org.apache.bcel.generic.IFGE.accept,0,0,0,0,,
commons-bcel,org.apache.bcel.verifier.structurals.ExecutionVisitor.visitIFNULL,0,0,0,0,,
commons-bcel,org.apache.bcel.classfile.PMGClass.copy,0,0,0,0,,
commons-bcel,Mini.Function.getColumn,0,0,0,0,,
commons-bcel,Mini.ASCII_CharStream.adjustBeginLineColumn,0,0,0,0,,
commons-bcel,org.apache.bcel.classfile.InnerClass.accept,1,0,3,0,"org.apache.bcel.verifier.VerifierArrayAccessTestCase.testValidArrayAccess,org.apache.bcel.verifier.VerifierInvokeTestCase.testLegalInvokeSpecial,org.apache.bcel.verifier.VerifierInvokeTestCase.testLegalInvokeStatic",
commons-bcel,org.apache.bcel.verifier.VerifierReturnTestCase.testInvalidReturn,1,1,1,1,org.apache.bcel.verifier.VerifierReturnTestCase.testInvalidReturn,org.apache.bcel.verifier.VerifierReturnTestCase.testInvalidReturn
commons-bcel,org.apache.bcel.classfile.Unknown.copy,0,0,0,0,,
commons-bcel,org.apache.bcel.generic.IMPDEP2.accept,0,0,0,0,,
commons-bcel,org.apache.bcel.generic.ConstantPoolGen.addFloat,1,0,1,0,org.apache.bcel.ElementValueGenTestCase.testCreateFloatElementValue,
commons-bcel,org.apache.bcel.util.ClassPathTestCase.testGetClassFile,1,1,1,1,org.apache.bcel.util.ClassPathTestCase.testGetClassFile,org.apache.bcel.util.ClassPathTestCase.testGetClassFile
commons-bcel,org.apache.bcel.verifier.structurals.InstConstraintVisitor.visitDUP_X2,0,0,0,0,,
commons-bcel,org.apache.bcel.generic.EmptyVisitor.visitFLOAD,0,0,0,0,,
commons-bcel,org.apache.bcel.verifier.structurals.InstConstraintVisitor.visitISHR,0,0,0,0,,
commons-bcel,org.apache.bcel.verifier.structurals.InstConstraintVisitor.visitPUTSTATIC,0,0,0,0,,
commons-bcel,org.apache.bcel.generic.EmptyVisitor.visitConstantPushInstruction,1,0,2,0,"org.apache.bcel.verifier.VerifierArrayAccessTestCase.testInvalidArrayAccess,org.apache.bcel.verifier.VerifierArrayAccessTestCase.testValidArrayAccess",
commons-bcel,org.apache.bcel.generic.AnnotationEntryGen.toShortString,0,0,0,0,,
commons-bcel,org.apache.bcel.generic.MethodGen.removeLineNumber,0,0,0,0,,
commons-bcel,org.apache.bcel.generic.IINC.initFromFile,1,0,3,0,"org.apache.bcel.PerformanceTest.testPerformance,org.apache.bcel.generic.JdkGenericDumpTestCase.testJdkJars,org.apache.bcel.generic.JdkGenericDumpTestCase.testJdkModules",
commons-bcel,org.apache.bcel.generic.EmptyVisitor.visitLCMP,0,0,0,0,,
commons-bcel,org.apache.bcel.classfile.PMGClass.dump,0,0,0,0,,
commons-bcel,org.apache.bcel.verifier.structurals.InstConstraintVisitor.visitDADD,0,0,0,0,,
commons-bcel,org.apache.bcel.verifier.statics.Pass3aVerifier.InstOperandConstraintVisitor.visitANEWARRAY,0,0,0,0,,
commons-bcel,org.apache.bcel.generic.InstructionFactory.createInstanceOf,0,0,0,0,,
commons-bcel,org.apache.bcel.verifier.VerifyDialog.getPass1Panel,0,0,0,0,,
commons-bcel,org.apache.bcel.generic.ICONST.getValue,1,0,1,0,org.apache.bcel.util.BCELifierTestCase.testJavapCompare,
