Project Name,Method,is_Tested,is_Directly_Tested,Test_Count,Direct_Test_Count,Tested_by,Directly_Tested_By
imglib2,net.imglib2.outofbounds.OutOfBoundsMirrorExpWindowingFactory.getExponent,0,0,0,0,,
imglib2,net.imglib2.img.planar.PlanarPlaneSubsetCursor.copyCursor,0,0,0,0,,
imglib2,net.imglib2.img.cell.ArrayRandomAccessBenchmark.copyWithSourceIteration,0,0,0,0,,
imglib2,net.imglib2.util.LinAlgHelpers.normalize,0,0,0,0,,
imglib2,net.imglib2.type.numeric.ARGBType.div,1,1,1,1,net.imglib2.type.numeric.NumericTypeTest.testDiv,net.imglib2.type.numeric.NumericTypeTest.testDiv
imglib2,net.imglib2.img.basictypeaccess.array.AbstractByteArray.getArrayLength,0,0,0,0,,
imglib2,net.imglib2.type.volatiles.AbstractVolatileRealType.inc,0,0,0,0,,
imglib2,net.imglib2.converter.CompositeChannelConverter.convert,0,0,0,0,,
imglib2,net.imglib2.img.basictypeaccess.volatiles.array.DirtyVolatileBooleanArray.isDirty,0,0,0,0,,
imglib2,net.imglib2.interpolation.randomaccess.NLinearInterpolator1D.fillWeights,0,0,0,0,,
imglib2,net.imglib2.converter.RealARGBConverter.setAlpha,0,0,0,0,,
imglib2,net.imglib2.converter.RealTypeConverterInternals.FloatConverter.convert,0,0,0,0,,
imglib2,net.imglib2.converter.read.ConvertedRandomAccessible.getConverter,0,0,0,0,,
imglib2,net.imglib2.view.ViewTransforms.permute,1,1,1,1,net.imglib2.view.ViewTransformsTest.testPermute,net.imglib2.view.ViewTransformsTest.testPermute
imglib2,net.imglib2.transform.integer.SlicingTransform.setComponentZero,1,0,1,0,net.imglib2.view.StackRandomAccessibleIntervalsTest.testStacking,
imglib2,net.imglib2.iterator.LocalizingZeroMinIntervalIterator.reset,0,0,0,0,,
imglib2,net.imglib2.type.logic.NativeBoolType.getEntitiesPerPixel,0,0,0,0,,
imglib2,net.imglib2.display.screenimage.awt.ArrayImgAWTScreenImage.getBitsPerPixel,0,0,0,0,,
imglib2,net.imglib2.img.planar.PlanarImgs.floats,0,0,0,0,,
imglib2,net.imglib2.RealPointSampleListTest.positionEquals,1,1,2,2,"net.imglib2.RealPointSampleListTest.testCopy,net.imglib2.RealPointSampleListTest.testPosition","net.imglib2.RealPointSampleListTest.testCopy,net.imglib2.RealPointSampleListTest.testPosition"
imglib2,net.imglib2.type.numeric.integer.LongType.getIntegerLong,1,0,5,0,"net.imglib2.converter.RealTypeConverterInternalsTest.testConvertImportantValuesBetweenAllTypes,net.imglib2.test.RandomImgsTest.testRandomImageIntergerTypes,net.imglib2.type.numeric.integer.IntegerTypeTest.testGetReal,net.imglib2.type.numeric.integer.IntegerTypeTest.testSetRealDouble,net.imglib2.type.numeric.integer.IntegerTypeTest.testSetRealFloat",
imglib2,net.imglib2.img.cell.CellGrid.getCellGridPositionFlat,0,0,0,0,,
imglib2,net.imglib2.util.Util.getTypeFromInterval,1,0,37,0,"net.imglib2.converter.BiConvertersTest.testBiConverters,net.imglib2.converter.ConvertersTest.testArgbChannels,net.imglib2.converter.RealTypeConverterInternalsTest.testConvertRandomAccessibleInterval,net.imglib2.converter.RealTypeConvertersTest.testConvert,net.imglib2.converter.RealTypeConvertersTest.testCopy,net.imglib2.img.ImgViewTest.testDefaultWrapping,net.imglib2.img.ImgViewTest.testWrapWithFactory,net.imglib2.interpolation.stack.LinearRealRandomAccessibleStackInterpolatorTest.test,net.imglib2.interpolation.stack.NearestNeighborRealRandomAccessibleStackInterpolatorTest.test,net.imglib2.loops.LoopBuilderTest.testFiveConsumer,net.imglib2.loops.LoopBuilderTest.testFourConsumer,net.imglib2.loops.LoopBuilderTest.testLoopBuilderRun,net.imglib2.loops.LoopBuilderTest.testMultiThreaded,net.imglib2.loops.LoopBuilderTest.testRunUsingCursorWithImagesOfDifferentIterationOrder,net.imglib2.loops.LoopBuilderTest.testSixConsumer,net.imglib2.test.RandomImgsTest.testARGBType,net.imglib2.test.RandomImgsTest.testRandomImageDimensions,net.imglib2.test.RandomImgsTest.testRandomImageIntergerTypes,net.imglib2.test.RandomImgsTest.testRandomImageInterval,net.imglib2.test.RandomImgsTest.testRandomImageRealTypes,net.imglib2.test.RandomImgsTest.testRandomize,net.imglib2.transform.integer.permutation.PermutationTransformTest.test,net.imglib2.transform.integer.shear.ShearTransformTest.testIdentity,net.imglib2.transform.integer.shear.ShearTransformTest.testInverseTransform,net.imglib2.transform.integer.shear.ShearTransformTest.testTransform,net.imglib2.util.ConstantUtilsTest.constantRandomAccessible,net.imglib2.util.FlatCollectionsTest.testBooleanList,net.imglib2.util.FlatCollectionsTest.testDoubleList,net.imglib2.util.FlatCollectionsTest.testFloatList,net.imglib2.util.FlatCollectionsTest.testIntegerList,net.imglib2.util.FlatCollectionsTest.testList,net.imglib2.util.FlatCollectionsTest.testLongList,net.imglib2.util.ImgUtilTest.testCopyRAItoRAI,net.imglib2.util.IntervalIndexerTest.test,net.imglib2.util.UtilTest.testAsDoubleArray,net.imglib2.view.HyperSlicesViewTest.test,net.imglib2.view.ViewsTest.testExtendValue",
imglib2,net.imglib2.display.AbstractArrayColorTable.lookupARGB,0,0,0,0,,
imglib2,net.imglib2.util.Intervals.intersect,0,0,0,0,,
imglib2,net.imglib2.parallel.TaskExecutors.applyTaskExecutorToThreadFactory,0,0,0,0,,
imglib2,net.imglib2.position.PositionRandomAccessible.PositionRandomAccess.copy,0,0,0,0,,
imglib2,net.imglib2.img.basictypeaccess.array.DirtyLongArray.setValue,0,0,0,0,,
imglib2,net.imglib2.nearestneighbor.NearestNeighborSearchOnIterableRealIntervalTest.init,0,0,0,0,,
imglib2,net.imglib2.test.RandomImgsTest.variance,1,0,1,0,net.imglib2.test.RandomImgsTest.testRandomImageRealTypes,
imglib2,net.imglib2.type.logic.BitType.getInteger,1,0,1,0,net.imglib2.converter.RealTypeConverterInternalsTest.testConvertImportantValuesBetweenAllTypes,
imglib2,net.imglib2.interpolation.randomaccess.ClampingNLinearInterpolatorVolatileARGB.graycodeBckRecursive,0,0,0,0,,
imglib2,net.imglib2.util.Intervals.createMinMaxReal,0,0,0,0,,
imglib2,net.imglib2.img.array.ArrayImgs.unsigned12Bits,1,1,2,1,"net.imglib2.img.array.ArrayImgsTest.testInvalidDimensions,net.imglib2.img.array.ArrayImgsTest.testUnsigned12Bits",net.imglib2.img.array.ArrayImgsTest.testUnsigned12Bits
imglib2,net.imglib2.util.FlatCollections.doubleCollection,1,1,1,1,net.imglib2.util.FlatCollectionsTest.testDoubleCollection,net.imglib2.util.FlatCollectionsTest.testDoubleCollection
imglib2,net.imglib2.img.AbstractSubIntervalIterableCursorTest.getIntervalSize,1,0,2,0,"net.imglib2.img.planar.PlanarIterableSubIntervalCursorTest.testIterationSinglePlaneShifted,net.imglib2.img.planar.PlanarIterableSubIntervalCursorTest.testLocalizingIterationSinglePlane",
