Project Name,Method,is_Tested,is_Directly_Tested,Test_Count,Direct_Test_Count,Tested_by,Directly_Tested_By
iri,com.iota.iri.network.pipeline.MultiStagePayload.getLeft,0,0,0,0,,
iri,com.iota.iri.controllers.ApproveeViewModel.first,0,0,0,0,,
iri,com.iota.iri.service.validation.impl.TransactionSolidifierImpl.updateTransactions,1,0,1,0,com.iota.iri.service.validation.impl.TransactionSolidifierImplTest.verifyTxIsSolid,
iri,com.iota.iri.network.neighbor.impl.NeighborImpl.hasDataToSendTo,0,0,0,0,,
iri,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.previous,1,0,1,0,com.iota.iri.controllers.MilestoneViewModelTest.previous,
iri,com.iota.iri.service.validation.impl.TransactionSolidifierImpl.getSolidificationSet,1,1,1,1,com.iota.iri.service.validation.impl.TransactionSolidifierImplTest.addToSolidificationQueue,com.iota.iri.service.validation.impl.TransactionSolidifierImplTest.addToSolidificationQueue
iri,com.iota.iri.service.snapshot.impl.SnapshotMetaDataImpl.setIndex,1,0,1,0,com.iota.iri.service.snapshot.impl.SnapshotProviderImplTest.testPersistSnapshot,
iri,com.iota.iri.service.snapshot.impl.SnapshotImpl.setTimestamp,1,0,1,0,com.iota.iri.service.snapshot.impl.SnapshotServiceImplTest.replayMilestonesSingle,
iri,com.iota.iri.service.transactionpruning.async.AsyncTransactionPruner.shutdown,0,0,0,0,,
iri,com.iota.iri.conf.ConfigFactory.createFromFile,1,1,13,13,"com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithBoolean,com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithFileNotFound,com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithInteger,com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithTestnetFalseAndFalse,com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithTestnetFalseAndTrue,com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithTestnetTrueAndFalse,com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithTestnetTrueAndTrue,com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithTrailingSpaces,com.iota.iri.conf.ConfigTest.pruningSnapshotDelayBelowMin,com.iota.iri.conf.ConfigTest.pruningSnapshotDelayIsMin,com.iota.iri.conf.ConfigTest.testIniParsingMainnet,com.iota.iri.conf.ConfigTest.testIniParsingTestnet,com.iota.iri.conf.ConfigTest.testInvalidIni","com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithBoolean,com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithFileNotFound,com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithInteger,com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithTestnetFalseAndFalse,com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithTestnetFalseAndTrue,com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithTestnetTrueAndFalse,com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithTestnetTrueAndTrue,com.iota.iri.conf.ConfigFactoryTest.createFromFileTestnetWithTrailingSpaces,com.iota.iri.conf.ConfigTest.pruningSnapshotDelayBelowMin,com.iota.iri.conf.ConfigTest.pruningSnapshotDelayIsMin,com.iota.iri.conf.ConfigTest.testIniParsingMainnet,com.iota.iri.conf.ConfigTest.testIniParsingTestnet,com.iota.iri.conf.ConfigTest.testInvalidIni"
