Project Name,Method,is_Tested,is_Directly_Tested,Test_Count,Direct_Test_Count,Tested_by,Directly_Tested_By
jooby,io.jooby.Jooby.mvcReflectionFallback,0,0,0,0,,
jooby,io.jooby.internal.HeadResponseHandler.apply,0,0,0,0,,
jooby,io.jooby.internal.hibernate.UnitOfWorkImpl.bind,0,0,0,0,,
jooby,io.jooby.internal.apt.asm.ParamLookupWriter.pushInt,1,0,1,0,tests.ModuleCompilerTest.routesWithParamLookup,
jooby,io.jooby.internal.handler.reactive.ReactiveSubscriber.onComplete,0,0,0,0,,
jooby,io.jooby.internal.netty.NettyWebSocket.onConnect,0,0,0,0,,
jooby,io.jooby.internal.netty.NettyContext.toString,0,0,0,0,,
jooby,io.jooby.ByteCodePrinter.main,0,0,0,0,,
jooby,io.jooby.redis.RedisModule.install,0,0,0,0,,
jooby,io.jooby.internal.openapi.OperationExt.apiResponses,0,0,0,0,,
jooby,io.jooby.MockContext.getScheme,0,0,0,0,,
jooby,io.jooby.Environment.hasPath,1,0,14,0,"io.jooby.EnvironmentTest.flattenProperties,io.jooby.FeaturedTest.accessToFlashScopeFromTemplateEngine,io.jooby.FeaturedTest.custom404WithTemplateEngine,io.jooby.TemplateEngineTest.freemarkerShouldReadFromFileSystem,io.jooby.TemplateEngineTest.handlebarsShouldReadFromFileSystem,io.jooby.TemplateEngineTest.templateEngines,io.jooby.TemplateEngineTest.thymeleafShouldReadFromFileSystem,io.jooby.freemarker.FreemarkerModuleTest.customTemplatePath,io.jooby.freemarker.FreemarkerModuleTest.publicField,io.jooby.freemarker.FreemarkerModuleTest.render,io.jooby.handlebars.HandlebarsModuleTest.render,io.jooby.jasypt.JasyptModuleTest.shouldCreatePooledEncryptor,io.jooby.jasypt.JasyptModuleTest.shouldDecryptProperties,io.jooby.jasypt.JasyptModuleTest.shouldIgnoreWhenNothingToDecrypt",
jooby,source.Controller1552Base.pathAttributeWork,0,0,0,0,,
jooby,io.jooby.internal.handler.reactive.ReactiveSubscription.request,0,0,0,0,,
