Project Name,Method,is_Tested,is_Directly_Tested,Test_Count,Direct_Test_Count,Tested_by,Directly_Tested_By
logbook,org.zalando.logbook.okhttp.RemoteResponse.getProtocolVersion,1,0,1,0,org.zalando.logbook.okhttp.GzipInterceptorTest.shouldLogResponseWithBody,
logbook,org.zalando.logbook.DefaultSink.write,1,1,74,20,"org.zalando.logbook.ChunkingSinkTest.ignoresEmptyBodies,org.zalando.logbook.ChunkingSinkTest.shouldWriteRequestInChunksIfLengthExceeded,org.zalando.logbook.ChunkingSinkTest.shouldWriteResponseInChunksIfLengthExceeded,org.zalando.logbook.ChunkingSinkTest.shouldWriteSingleRequestIfLengthNotExceeded,org.zalando.logbook.ChunkingSinkTest.shouldWriteSingleResponseIfLengthNotExceeded,org.zalando.logbook.DefaultLogbookFactoryTest.shouldCreateWithDefaults,org.zalando.logbook.DefaultSinkTest.writeBoth,org.zalando.logbook.DefaultSinkTest.writeRequest,org.zalando.logbook.DefaultSinkTest.writeResponse,org.zalando.logbook.autoconfigure.FormatStyleCurlTest.shouldUseHttpFormatter,org.zalando.logbook.autoconfigure.FormatStyleDefaultTest.shouldUseJsonFormatter,org.zalando.logbook.autoconfigure.FormatStyleHttpTest.shouldUseHttpFormatter,org.zalando.logbook.autoconfigure.FormatStyleSplunkTest.shouldUseSplunkFormatter,org.zalando.logbook.autoconfigure.IncludeTest.shouldNotExcludeApi,org.zalando.logbook.autoconfigure.IncludeTest.shouldNotExcludeApiWithParameter,org.zalando.logbook.autoconfigure.IncludeTest.shouldNotExcludeApiWithPath,org.zalando.logbook.autoconfigure.ObfuscateBodyCustomTest.shouldFilterRequestBody,org.zalando.logbook.autoconfigure.ObfuscateHeadersCustomTest.shouldFilterHeaders,org.zalando.logbook.autoconfigure.ObfuscateHeadersDefaultTest.shouldFilterAuthorizationByDefault,org.zalando.logbook.autoconfigure.ObfuscateParametersCustomTest.shouldFilterParameters,org.zalando.logbook.autoconfigure.ObfuscateParametersDefaultTest.shouldFilterAccessTokenByDefault,org.zalando.logbook.autoconfigure.ObfuscatePathCustomTest.shouldFilterParameters,org.zalando.logbook.autoconfigure.ObfuscatePathDefaultTest.shouldNotFilterByDefault,org.zalando.logbook.autoconfigure.ObfuscateRequestCustomTest.shouldFilterRequestBody,org.zalando.logbook.autoconfigure.ObfuscateResponseCustomTest.shouldFilterResponseBody,org.zalando.logbook.httpclient.LogbookHttpInterceptorsPutTest.shouldLogRequestWithoutBody,org.zalando.logbook.okhttp.GzipInterceptorTest.shouldLogResponseWithBody,org.zalando.logbook.okhttp.GzipInterceptorTest.shouldLogUncompressedResponseBodyAsIs,org.zalando.logbook.okhttp.LogbookInterceptorTest.shouldIgnoreBodies,org.zalando.logbook.okhttp.LogbookInterceptorTest.shouldLogRequestWithBody,org.zalando.logbook.okhttp.LogbookInterceptorTest.shouldLogRequestWithoutBody,org.zalando.logbook.okhttp.LogbookInterceptorTest.shouldLogResponseForHeadRequest,org.zalando.logbook.okhttp.LogbookInterceptorTest.shouldLogResponseForNotModified,org.zalando.logbook.okhttp.LogbookInterceptorTest.shouldLogResponseWithBody,org.zalando.logbook.okhttp.LogbookInterceptorTest.shouldLogResponseWithoutBody,org.zalando.logbook.okhttp2.GzipInterceptorTest.shouldLogUncompressedResponseBodyAsIs,org.zalando.logbook.okhttp2.LogbookInterceptorTest.shouldLogRequestWithBody,org.zalando.logbook.okhttp2.LogbookInterceptorTest.shouldLogRequestWithoutBody,org.zalando.logbook.okhttp2.LogbookInterceptorTest.shouldLogResponseForHeadRequest,org.zalando.logbook.okhttp2.LogbookInterceptorTest.shouldLogResponseWithBody,org.zalando.logbook.servlet.FormRequestTest.shouldLogFormRequestBody,org.zalando.logbook.servlet.FormRequestTest.shouldLogFormRequestParameter,org.zalando.logbook.servlet.FormRequestTest.shouldLogNonFormRequest,org.zalando.logbook.servlet.FormRequestTest.shouldNotLogFormRequestOff,org.zalando.logbook.servlet.FormattingTest.shouldFormatPostParameterRequest,org.zalando.logbook.servlet.FormattingTest.shouldFormatRequest,org.zalando.logbook.servlet.FormattingTest.shouldFormatResponse,org.zalando.logbook.servlet.FormattingTest.shouldFormatResponseWithoutBody,org.zalando.logbook.servlet.FormattingTest.shouldIgnoreBodies,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldEcho,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldFormatAuthorizedRequestOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldFormatAuthorizedResponseOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldFormatUnauthorizedRequestOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldFormatUnauthorizedResponseOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldHandleUnauthorizedAsyncDispatchRequest,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldLogAuthorizedRequestOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldLogAuthorizedResponseOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldLogUnauthorizedRequestOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldLogUnauthorizedResponseOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldNotLogRequestBodyForUnauthorizedRequests,org.zalando.logbook.servlet.MultiFilterTest.shouldBufferRequestTwice,org.zalando.logbook.servlet.MultiFilterTest.shouldBufferResponseTwice,org.zalando.logbook.servlet.MultiFilterTest.shouldFormatRequestTwice,org.zalando.logbook.servlet.MultiFilterTest.shouldFormatResponseTwice,org.zalando.logbook.servlet.MultiFilterTest.shouldLogRequestTwice,org.zalando.logbook.servlet.MultiFilterTest.shouldLogResponseTwice,org.zalando.logbook.servlet.TeeTest.shouldSupportReadByte,org.zalando.logbook.servlet.TeeTest.shouldSupportReadBytes,org.zalando.logbook.servlet.TeeTest.shouldSupportReadSingleByte,org.zalando.logbook.servlet.TeeTest.shouldSupportReader,org.zalando.logbook.servlet.TeeTest.shouldSupportStream,org.zalando.logbook.servlet.TeeTest.shouldWriteResponse,org.zalando.logbook.servlet.WritingTest.shouldLogRequest,org.zalando.logbook.servlet.WritingTest.shouldLogResponse","org.zalando.logbook.DefaultLogbookFactoryTest.shouldCreateWithDefaults,org.zalando.logbook.DefaultSinkTest.writeBoth,org.zalando.logbook.DefaultSinkTest.writeRequest,org.zalando.logbook.DefaultSinkTest.writeResponse,org.zalando.logbook.autoconfigure.FormatStyleCurlTest.shouldUseHttpFormatter,org.zalando.logbook.autoconfigure.FormatStyleDefaultTest.shouldUseJsonFormatter,org.zalando.logbook.autoconfigure.FormatStyleHttpTest.shouldUseHttpFormatter,org.zalando.logbook.autoconfigure.FormatStyleSplunkTest.shouldUseSplunkFormatter,org.zalando.logbook.autoconfigure.IncludeTest.shouldNotExcludeApi,org.zalando.logbook.autoconfigure.IncludeTest.shouldNotExcludeApiWithParameter,org.zalando.logbook.autoconfigure.IncludeTest.shouldNotExcludeApiWithPath,org.zalando.logbook.autoconfigure.ObfuscateBodyCustomTest.shouldFilterRequestBody,org.zalando.logbook.autoconfigure.ObfuscateHeadersCustomTest.shouldFilterHeaders,org.zalando.logbook.autoconfigure.ObfuscateHeadersDefaultTest.shouldFilterAuthorizationByDefault,org.zalando.logbook.autoconfigure.ObfuscateParametersCustomTest.shouldFilterParameters,org.zalando.logbook.autoconfigure.ObfuscateParametersDefaultTest.shouldFilterAccessTokenByDefault,org.zalando.logbook.autoconfigure.ObfuscatePathCustomTest.shouldFilterParameters,org.zalando.logbook.autoconfigure.ObfuscatePathDefaultTest.shouldNotFilterByDefault,org.zalando.logbook.autoconfigure.ObfuscateRequestCustomTest.shouldFilterRequestBody,org.zalando.logbook.autoconfigure.ObfuscateResponseCustomTest.shouldFilterResponseBody"
logbook,org.zalando.logbook.CompactingXmlBodyFilter.parseDocument,1,0,3,0,"org.zalando.logbook.CompactingXmlBodyFilterTest.shouldIgnoreInvalidContent,org.zalando.logbook.CompactingXmlBodyFilterTest.shouldTransformValidXmlRequestWithCompatibleContentType,org.zalando.logbook.CompactingXmlBodyFilterTest.shouldTransformValidXmlRequestWithSimpleContentType",
logbook,org.zalando.logbook.jaxrs.LocalResponse.expose,1,0,1,0,org.zalando.logbook.jaxrs.LogbookServerFilterTest.filterShouldDoNothingIfCorrelatorIsNotPresent,
logbook,org.zalando.logbook.BodyReplacementHttpResponse.delegate,1,1,2,1,"org.zalando.logbook.ResponseFiltersTest.shouldReplaceImageBodyByDefault,org.zalando.logbook.servlet.FormattingTest.shouldFormatResponse",org.zalando.logbook.ResponseFiltersTest.shouldReplaceImageBodyByDefault
logbook,org.zalando.logbook.servlet.SecureLogbookFilter.doFilter,1,0,13,0,"org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldEcho,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldFormatAuthorizedRequestOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldFormatAuthorizedResponseOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldFormatUnauthorizedRequestOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldFormatUnauthorizedResponseOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldHandleUnauthorizedAsyncDispatchRequest,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldLogAuthorizedRequestOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldLogAuthorizedResponseOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldLogUnauthorizedRequestOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldLogUnauthorizedResponseOnce,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldNotLogEmpty,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldNotLogRequestBodyForUnauthorizedRequests,org.zalando.logbook.servlet.MultiFilterSecurityTest.shouldNotLogUnauthorizedRequest",
logbook,org.zalando.logbook.okhttp2.GzipInterceptorTest.captureResponse,1,0,2,0,"org.zalando.logbook.okhttp.GzipInterceptorTest.shouldLogResponseWithBody,org.zalando.logbook.okhttp2.GzipInterceptorTest.shouldLogUncompressedResponseBodyAsIs",
logbook,org.zalando.logbook.netty.LogbookServerHandlerTest.tearDown,0,0,0,0,,
logbook,org.zalando.logbook.RequestURITest.setUp,0,0,0,0,,
logbook,org.zalando.logbook.logstash.LogbackLogstashSinkTest.tearDown,0,0,0,0,,
