Project Name,Method,is_Tested,is_Directly_Tested,Test_Count,Direct_Test_Count,Tested_by,Directly_Tested_By
r2dbc-h2,io.r2dbc.h2.codecs.ClobCodec.AggregateCharArrayReader.read,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.H2ConnectionConfiguration.Builder.inMemory,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.FloatCodec.doCanDecode,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.client.SessionClient.update,1,1,11,8,"io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.closedDatabaseFailsToCreateConnections,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.databaseClosedAfterFactoryClose,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.retainsStateAfterRunningCommand,io.r2dbc.h2.H2LobIntegrationTest.testBigBlob,io.r2dbc.h2.H2LobIntegrationTest.testBigClob,io.r2dbc.h2.H2LobIntegrationTest.testNullBlob,io.r2dbc.h2.H2LobIntegrationTest.testNullClob,io.r2dbc.h2.H2LobIntegrationTest.testSmallBlob,io.r2dbc.h2.H2LobIntegrationTest.testSmallClob,io.r2dbc.h2.H2StatementTest.returnGenerateValuesNoArguments,io.r2dbc.h2.H2StatementTest.returnGeneratedValues","io.r2dbc.h2.H2LobIntegrationTest.testBigBlob,io.r2dbc.h2.H2LobIntegrationTest.testBigClob,io.r2dbc.h2.H2LobIntegrationTest.testNullBlob,io.r2dbc.h2.H2LobIntegrationTest.testNullClob,io.r2dbc.h2.H2LobIntegrationTest.testSmallBlob,io.r2dbc.h2.H2LobIntegrationTest.testSmallClob,io.r2dbc.h2.H2StatementTest.returnGenerateValuesNoArguments,io.r2dbc.h2.H2StatementTest.returnGeneratedValues"
r2dbc-h2,io.r2dbc.h2.H2DatabaseExceptionFactory.convert,1,1,6,2,"io.r2dbc.h2.H2BatchTest.executeErrorResponse,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.closedDatabaseShutsDownClientSessions,io.r2dbc.h2.H2ConnectionFactoryProviderTest.supportsKnownOptions,io.r2dbc.h2.H2LobIntegrationTest.testNullBlob,io.r2dbc.h2.H2ResultTest.toResultErrorResponse,io.r2dbc.h2.H2StatementTest.executeErrorResponse","io.r2dbc.h2.H2BatchTest.executeErrorResponse,io.r2dbc.h2.H2ResultTest.toResultErrorResponse"
r2dbc-h2,io.r2dbc.h2.util.ChangeLogReportGenerator.main,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.UuidCodec.doDecode,1,0,1,0,io.r2dbc.h2.codecs.UuidCodecTest.decode,
r2dbc-h2,io.r2dbc.h2.codecs.InstantCodec.doDecode,1,0,1,0,io.r2dbc.h2.codecs.InstantCodecTest.decode,
r2dbc-h2,io.r2dbc.h2.H2Connection.rollbackTransactionToSavepoint,1,1,1,1,io.r2dbc.h2.H2ConnectionTest.rollbackTransactionToSavepoint,io.r2dbc.h2.H2ConnectionTest.rollbackTransactionToSavepoint
r2dbc-h2,io.r2dbc.h2.H2Connection.createSavepoint,1,1,2,2,"io.r2dbc.h2.H2ConnectionTest.createSavepoint,io.r2dbc.h2.H2ConnectionTest.createSavepointNoName","io.r2dbc.h2.H2ConnectionTest.createSavepoint,io.r2dbc.h2.H2ConnectionTest.createSavepointNoName"
r2dbc-h2,io.r2dbc.h2.H2ConnectionConfiguration.Builder.property,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.client.SessionClient.getSession,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.H2Row.getColumns,1,0,8,0,"io.r2dbc.h2.H2LobIntegrationTest.testBigBlob,io.r2dbc.h2.H2LobIntegrationTest.testNullBlob,io.r2dbc.h2.H2LobIntegrationTest.testSmallBlob,io.r2dbc.h2.H2LobIntegrationTest.testSmallClob,io.r2dbc.h2.H2ResultTest.toResultRowDescription,io.r2dbc.h2.H2RowTest.selectWithAliases,io.r2dbc.h2.H2StatementTest.returnGenerateValuesNoArguments,io.r2dbc.h2.H2StatementTest.returnGeneratedValues",
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactory.getSessionClient,1,1,16,13,"io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.closedDatabaseFailsToCreateConnections,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.closedDatabaseShutsDownClientSessions,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.databaseClosedAfterFactoryClose,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.retainsStateAfterRunningCommand,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.shouldCreateInMemoryDatabase,io.r2dbc.h2.H2ConnectionFactoryProviderTest.supportsKnownOptions,io.r2dbc.h2.H2ConnectionFactoryTest.create,io.r2dbc.h2.H2ConnectionFactoryTest.createInMemoryDatabase,io.r2dbc.h2.H2RemoteAccessTest.tcpByUrlWorks,io.r2dbc.h2.H2RemoteAccessTest.tcpWithHostnameAndPortWorks,io.r2dbc.h2.H2RemoteAccessTest.tcpWithHostnameButNoPortWorks,io.r2dbc.h2.H2RowTest.selectWithAliases,io.r2dbc.h2.H2RowTest.selectWithoutAliases,io.r2dbc.h2.H2StatementTest.executeErrorResponse,io.r2dbc.h2.H2StatementTest.returnGenerateValuesNoArguments,io.r2dbc.h2.H2StatementTest.returnGeneratedValues","io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.closedDatabaseShutsDownClientSessions,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.shouldCreateInMemoryDatabase,io.r2dbc.h2.H2ConnectionFactoryProviderTest.supportsKnownOptions,io.r2dbc.h2.H2ConnectionFactoryTest.create,io.r2dbc.h2.H2ConnectionFactoryTest.createInMemoryDatabase,io.r2dbc.h2.H2RemoteAccessTest.tcpByUrlWorks,io.r2dbc.h2.H2RemoteAccessTest.tcpWithHostnameAndPortWorks,io.r2dbc.h2.H2RemoteAccessTest.tcpWithHostnameButNoPortWorks,io.r2dbc.h2.H2RowTest.selectWithAliases,io.r2dbc.h2.H2RowTest.selectWithoutAliases,io.r2dbc.h2.H2StatementTest.executeErrorResponse,io.r2dbc.h2.H2StatementTest.returnGenerateValuesNoArguments,io.r2dbc.h2.H2StatementTest.returnGeneratedValues"
r2dbc-h2,io.r2dbc.h2.codecs.LocalDateTimeCodec.doEncode,1,1,1,1,io.r2dbc.h2.codecs.LocalDateTimeCodecTest.doEncode,io.r2dbc.h2.codecs.LocalDateTimeCodecTest.doEncode
r2dbc-h2,io.r2dbc.h2.client.Binding.add,1,1,9,3,"io.r2dbc.h2.H2LobIntegrationTest.testNullBlob,io.r2dbc.h2.H2LobIntegrationTest.testSmallBlob,io.r2dbc.h2.H2LobIntegrationTest.testSmallClob,io.r2dbc.h2.H2StatementTest.bindIndex,io.r2dbc.h2.H2StatementTest.bindNull,io.r2dbc.h2.H2StatementTest.bindWithQuestionMark,io.r2dbc.h2.H2StatementTest.execute,io.r2dbc.h2.client.BindingTest.addNoIndex,io.r2dbc.h2.client.BindingTest.addNoValue","io.r2dbc.h2.H2StatementTest.execute,io.r2dbc.h2.client.BindingTest.addNoIndex,io.r2dbc.h2.client.BindingTest.addNoValue"
r2dbc-h2,io.r2dbc.h2.codecs.DoubleCodec.doDecode,1,0,1,0,io.r2dbc.h2.codecs.DoubleCodecTest.decode,
r2dbc-h2,io.r2dbc.h2.ColumnSource.getColumn,1,0,3,0,"io.r2dbc.h2.H2RowMetadataTest.getColumnMetadataInvalidIndex,io.r2dbc.h2.H2RowMetadataTest.getColumnMetadataInvalidName,io.r2dbc.h2.H2RowMetadataTest.getColumnMetadataNoIdentifier",
r2dbc-h2,io.r2dbc.h2.codecs.DefaultCodecs.preferredType,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.MockCodecs.Builder.encoding,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.ValueLobBlob.wrap,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.ArrayCodec.doEncode,1,1,2,2,"io.r2dbc.h2.codecs.ArrayCodecTest.doEncodeNoValue,io.r2dbc.h2.codecs.ArrayCodecTest.encode","io.r2dbc.h2.codecs.ArrayCodecTest.doEncodeNoValue,io.r2dbc.h2.codecs.ArrayCodecTest.encode"
r2dbc-h2,io.r2dbc.h2.codecs.ByteBufferInputStream.mark,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.DurationCodec.doEncode,1,1,2,2,"io.r2dbc.h2.codecs.DurationCodecTest.doEncode,io.r2dbc.h2.codecs.DurationCodecTest.doEncodeNoValue","io.r2dbc.h2.codecs.DurationCodecTest.doEncode,io.r2dbc.h2.codecs.DurationCodecTest.doEncodeNoValue"
r2dbc-h2,io.r2dbc.h2.codecs.MockCodecs.Builder.decoding,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.OffsetDateTimeCodec.doDecode,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.H2RowMetadata.contains,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.ByteCodec.doCanDecode,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.LocalDateTimeCodecTest.setUp,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.H2Result.map,1,1,11,11,"io.r2dbc.h2.H2LobIntegrationTest.testBigBlob,io.r2dbc.h2.H2LobIntegrationTest.testBigClob,io.r2dbc.h2.H2LobIntegrationTest.testNullBlob,io.r2dbc.h2.H2LobIntegrationTest.testNullClob,io.r2dbc.h2.H2LobIntegrationTest.testSmallBlob,io.r2dbc.h2.H2LobIntegrationTest.testSmallClob,io.r2dbc.h2.H2ResultTest.toResultRowDescription,io.r2dbc.h2.H2RowTest.selectWithAliases,io.r2dbc.h2.H2RowTest.selectWithoutAliases,io.r2dbc.h2.H2StatementTest.returnGenerateValuesNoArguments,io.r2dbc.h2.H2StatementTest.returnGeneratedValues","io.r2dbc.h2.H2LobIntegrationTest.testBigBlob,io.r2dbc.h2.H2LobIntegrationTest.testBigClob,io.r2dbc.h2.H2LobIntegrationTest.testNullBlob,io.r2dbc.h2.H2LobIntegrationTest.testNullClob,io.r2dbc.h2.H2LobIntegrationTest.testSmallBlob,io.r2dbc.h2.H2LobIntegrationTest.testSmallClob,io.r2dbc.h2.H2ResultTest.toResultRowDescription,io.r2dbc.h2.H2RowTest.selectWithAliases,io.r2dbc.h2.H2RowTest.selectWithoutAliases,io.r2dbc.h2.H2StatementTest.returnGenerateValuesNoArguments,io.r2dbc.h2.H2StatementTest.returnGeneratedValues"
r2dbc-h2,io.r2dbc.h2.H2RowMetadata.addAll,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.H2Statement.add,1,1,1,1,io.r2dbc.h2.H2StatementTest.execute,io.r2dbc.h2.H2StatementTest.execute
r2dbc-h2,io.r2dbc.h2.codecs.BytesCodec.doCanDecode,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.DoubleCodec.doCanDecode,0,0,0,0,,
r2dbc-h2,io.r2dbc.h2.codecs.BooleanCodec.doEncode,1,1,2,2,"io.r2dbc.h2.codecs.BooleanCodecTest.doEncode,io.r2dbc.h2.codecs.BooleanCodecTest.doEncodeNoValue","io.r2dbc.h2.codecs.BooleanCodecTest.doEncode,io.r2dbc.h2.codecs.BooleanCodecTest.doEncodeNoValue"
r2dbc-h2,io.r2dbc.h2.codecs.BlobToByteBufferCodec.BlobInputStreamEnumeration.hasMoreElements,0,0,0,0,,
