Project Name,Test Name,Count,Direct Count,Methods,Direct Methods
SquidLib,squidpony.examples.FOVTest.testAngles,0,0,,
SquidLib,squidpony.examples.FOVTest.testSymmetry,0,0,,
SquidLib,squidpony.examples.HashQualityTest.squidpony.examples.HashQualityTest,0,0,,
SquidLib,squidpony.examples.LanguageGenTest.squidpony.examples.LanguageGenTest,0,0,,
SquidLib,squidpony.examples.ObTextTest.basicTest,15,5,"squidpony.squidmath.IntVLA.incr,squidpony.examples.TestConfiguration.print,squidpony.ObText.randomChars,squidpony.examples.TestConfiguration.println,squidpony.ObText.appendQuoted,squidpony.ObText.iterate,squidpony.StringKit.containsPart,squidpony.ObText.serializeToString,squidpony.ObText.parse,squidpony.ObText.deserializeFromString,squidpony.squidmath.IntVLA.pop,squidpony.squidmath.CrossHash.hash64,squidpony.ObText.appendQuotedObText,squidpony.examples.ObTextTest.iterate,squidpony.ObText.toString","squidpony.examples.TestConfiguration.println,squidpony.ObText.parse,squidpony.ObText.deserializeFromString,squidpony.examples.ObTextTest.iterate,squidpony.ObText.toString"
SquidLib,squidpony.examples.ObTextTest.complexTest,7,4,"squidpony.squidmath.IntVLA.add,squidpony.examples.TestConfiguration.println,squidpony.squidmath.IntVLA.get,squidpony.ObText.iterate,squidpony.ObText.parse,squidpony.StringKit.join,squidpony.squidmath.IntVLA.resize","squidpony.ObText.parse,squidpony.examples.TestConfiguration.println,squidpony.StringKit.join,squidpony.ObText.iterate"
SquidLib,squidpony.examples.ProbabilityTableTest.squidpony.examples.ProbabilityTableTest,0,0,,
SquidLib,squidpony.examples.RNGFeatureTest.testCriticalHits,0,0,,
SquidLib,squidpony.examples.RNGFeatureTest.testHasty,0,0,,
SquidLib,squidpony.examples.RNGFeatureTest.testOrdering,3,2,"squidpony.StringKit.join,squidpony.squidmath.RNG.randomOrdering,squidpony.squidmath.RNG.nextIntHasty","squidpony.StringKit.join,squidpony.squidmath.RNG.randomOrdering"
SquidLib,squidpony.examples.RNGFeatureTest.testUniqueCells,12,6,"squidpony.squidmath.IntVLA.add,squidpony.squidmath.OrderedSet.add,squidpony.squidmath.RNG.nextIntHasty,squidpony.squidmath.OrderedSet.maxFill,squidpony.squidmath.Coord.toString,squidpony.squidmath.Coord.isWithin,squidpony.squidmath.ThrustAltRNG.nextLong,squidpony.squidmath.RNG.randomOrdering,squidpony.squidmath.OrderedSet.arraySize,squidpony.squidmath.Coord.get,squidpony.squidmath.RNG.getRandomUniqueCells,squidpony.squidmath.Coord.hashCode","squidpony.squidmath.OrderedSet.add,squidpony.squidmath.OrderedSet.maxFill,squidpony.squidmath.Coord.isWithin,squidpony.squidmath.Coord.toString,squidpony.squidmath.OrderedSet.arraySize,squidpony.squidmath.RNG.getRandomUniqueCells"
SquidLib,squidpony.examples.RangedRandomTest.squidpony.examples.RangedRandomTest,0,0,,
SquidLib,squidpony.examples.ShufflerTest.squidpony.examples.ShufflerTest,0,0,,
SquidLib,squidpony.examples.StringKitTest.testArrays,4,3,"squidpony.StringKit.appendHex,squidpony.StringKit.hex,squidpony.squidgrid.mapping.DungeonUtility.debugPrint,squidpony.ArrayTools.randomFill","squidpony.StringKit.hex,squidpony.squidgrid.mapping.DungeonUtility.debugPrint,squidpony.ArrayTools.randomFill"
SquidLib,squidpony.examples.StringKitTest.testDec,2,2,"squidpony.StringKit.longFromDec,squidpony.StringKit.intFromDec","squidpony.StringKit.longFromDec,squidpony.StringKit.intFromDec"
SquidLib,squidpony.examples.StringKitTest.testHex,2,2,"squidpony.StringKit.longFromHex,squidpony.StringKit.intFromHex","squidpony.StringKit.longFromHex,squidpony.StringKit.intFromHex"
SquidLib,squidpony.examples.StringKitTest.testJoin,9,2,"squidpony.squidmath.IntVLA.add,squidpony.squidmath.Arrangement.iterator,squidpony.squidmath.HashCommon.nextPowerOfTwo,squidpony.Maker.makeArrange,squidpony.squidmath.Arrangement.arraySize,squidpony.squidmath.Arrangement.maxFill,squidpony.StringKit.join,squidpony.squidmath.Arrangement.put,squidpony.squidmath.Arrangement.insert","squidpony.StringKit.join,squidpony.Maker.makeArrange"
SquidLib,squidpony.examples.StringKitTest.testWrapping,2,2,"squidpony.StringKit.join,squidpony.StringKit.wrap","squidpony.StringKit.wrap,squidpony.StringKit.join"
SquidLib,squidpony.squidmath.BinaryHeapTest.testGDXIssue5984,6,4,"squidpony.squidmath.BinaryHeap.up,squidpony.Maker.makeHM,squidpony.squidmath.BinaryHeap.pop,squidpony.squidmath.BinaryHeap.remove,squidpony.squidmath.BinaryHeap.down,squidpony.squidmath.BinaryHeap.add","squidpony.squidmath.BinaryHeap.pop,squidpony.squidmath.BinaryHeap.remove,squidpony.squidmath.BinaryHeap.add,squidpony.Maker.makeHM"
SquidLib,squidpony.squidmath.CoordPackerTest.testBasics,7,3,"squidpony.squidmath.ShortVLA.add,squidpony.squidmath.CoordPacker.negatePacked,squidpony.squidmath.ShortVLA.toArray,squidpony.squidmath.CoordPacker.rectangle,squidpony.squidmath.CoordPacker.covered,squidpony.squidmath.CoordPacker.unionPacked,squidpony.squidmath.CoordPacker.pack","squidpony.squidmath.CoordPacker.rectangle,squidpony.squidmath.CoordPacker.negatePacked,squidpony.squidmath.CoordPacker.unionPacked"
