Project Name,Test Name,Count,Direct Count,Methods,Direct Methods
byte-buddy,net.bytebuddy.ByteBuddyTest.testAnnotation,8,3,",net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.make,net.bytebuddy.matcher.MethodSortMatcher.matches,net.bytebuddy.matcher.NegatingMatcher.matches,net.bytebuddy.matcher.ElementMatchers.isSynthetic,net.bytebuddy.matcher.ErasureMatcher.matches,net.bytebuddy.ByteBuddy.makeAnnotation,net.bytebuddy.matcher.MethodReturnTypeMatcher.matches,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.load,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.findClass,net.bytebuddy.matcher.VisibilityMatcher.matches,net.bytebuddy.matcher.EqualityMatcher.matches",",net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.make,net.bytebuddy.matcher.ElementMatchers.isSynthetic,net.bytebuddy.ByteBuddy.makeAnnotation,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.load"
byte-buddy,net.bytebuddy.ByteBuddyTest.testClassCompiledToJsr14,14,3,",net.bytebuddy.matcher.ErasureMatcher.matches,net.bytebuddy.matcher.MethodParameterTypeMatcher.matches,net.bytebuddy.matcher.CollectionItemMatcher.matches,net.bytebuddy.matcher.ElementMatchers.is,net.bytebuddy.matcher.VisibilityMatcher.matches,net.bytebuddy.utility.StreamDrainer.drain,net.bytebuddy.matcher.MethodSortMatcher.matches,net.bytebuddy.matcher.NegatingMatcher.matches,net.bytebuddy.utility.visitor.MetadataAwareClassVisitor.visitMethod,net.bytebuddy.utility.visitor.MetadataAwareClassVisitor.visitField,net.bytebuddy.matcher.NameMatcher.matches,net.bytebuddy.utility.visitor.MetadataAwareClassVisitor.considerTriggerAfterPermittedSubclasses,net.bytebuddy.utility.RandomString.make,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.findClass,net.bytebuddy.dynamic.scaffold.inline.AbstractInliningDynamicTypeBuilder.make,net.bytebuddy.ClassFileVersion.compareTo,net.bytebuddy.ByteBuddy.redefine,net.bytebuddy.utility.visitor.MetadataAwareClassVisitor.considerTriggerAfterAttributes,net.bytebuddy.matcher.ElementMatchers.takesArguments,net.bytebuddy.matcher.ElementMatchers.anyOf,net.bytebuddy.matcher.MethodReturnTypeMatcher.matches,net.bytebuddy.utility.CompoundList.of,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.load,net.bytebuddy.matcher.DeclaringTypeMatcher.matches,net.bytebuddy.matcher.ModifierMatcher.matches,net.bytebuddy.utility.visitor.MetadataAwareClassVisitor.considerTriggerAfterRecordComponents,net.bytebuddy.utility.visitor.MetadataAwareClassVisitor.visitEnd,net.bytebuddy.dynamic.scaffold.inline.InliningImplementationMatcher.of,net.bytebuddy.ClassFileVersion.isAtLeast,net.bytebuddy.matcher.MethodParametersMatcher.matches,net.bytebuddy.matcher.EqualityMatcher.matches,net.bytebuddy.dynamic.scaffold.inline.RedefinitionDynamicTypeBuilder.make",",net.bytebuddy.dynamic.scaffold.inline.AbstractInliningDynamicTypeBuilder.make,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.load,net.bytebuddy.ByteBuddy.redefine"
byte-buddy,net.bytebuddy.ByteBuddyTest.testClassWithManyMethods,26,7,",net.bytebuddy.matcher.ErasureMatcher.matches,net.bytebuddy.matcher.MethodParameterTypeMatcher.matches,net.bytebuddy.matcher.ElementMatchers.not,net.bytebuddy.matcher.CollectionItemMatcher.matches,net.bytebuddy.matcher.ElementMatchers.is,net.bytebuddy.ClassFileVersion.getMajorVersion,net.bytebuddy.matcher.ElementMatchers.erasure,net.bytebuddy.ClassFileVersion.ofMinorMajor,net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget.invokeConstructor,net.bytebuddy.matcher.VisibilityMatcher.matches,net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.materialize,net.bytebuddy.matcher.MethodSortMatcher.matches,net.bytebuddy.matcher.NegatingMatcher.matches,net.bytebuddy.matcher.ElementMatchers.nameStartsWith,net.bytebuddy.matcher.NameMatcher.matches,net.bytebuddy.matcher.StringMatcher.matches,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.findClass,net.bytebuddy.ClassFileVersion.compareTo,net.bytebuddy.matcher.SignatureTokenMatcher.matches,net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.applyConstructorStrategy,net.bytebuddy.matcher.ElementMatchers.isMethod,net.bytebuddy.matcher.ElementMatchers.anyOf,net.bytebuddy.dynamic.TargetType.resolve,net.bytebuddy.matcher.ElementMatchers.ofSort,net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget.invokeSuper,net.bytebuddy.matcher.MethodReturnTypeMatcher.matches,net.bytebuddy.utility.CompoundList.of,net.bytebuddy.matcher.DefinedShapeMatcher.matches,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.load,net.bytebuddy.matcher.ElementMatchers.annotationType,net.bytebuddy.matcher.DeclaringTypeMatcher.matches,net.bytebuddy.matcher.ModifierMatcher.matches,net.bytebuddy.matcher.BooleanMatcher.matches,net.bytebuddy.ByteBuddy.subclass,net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget.invokeMethod,net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.make,net.bytebuddy.matcher.ElementMatchers.hasType,net.bytebuddy.ClassFileVersion.isAtLeast,net.bytebuddy.matcher.MethodParametersMatcher.matches,net.bytebuddy.matcher.EqualityMatcher.matches",",net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.make,net.bytebuddy.matcher.ElementMatchers.is,net.bytebuddy.utility.CompoundList.of,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.load,net.bytebuddy.matcher.EqualityMatcher.matches,net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.materialize,net.bytebuddy.matcher.ElementMatchers.isMethod,net.bytebuddy.ByteBuddy.subclass"
byte-buddy,net.bytebuddy.ByteBuddyTest.testEnumWithoutValuesIsIllegal,1,1,",net.bytebuddy.ByteBuddy.makeEnumeration",",net.bytebuddy.ByteBuddy.makeEnumeration"
byte-buddy,net.bytebuddy.ByteBuddyTest.testEnumeration,17,3,",net.bytebuddy.implementation.bytecode.TypeCreation.apply,net.bytebuddy.matcher.ErasureMatcher.matches,net.bytebuddy.matcher.MethodParameterTypeMatcher.matches,net.bytebuddy.matcher.CollectionItemMatcher.matches,net.bytebuddy.implementation.MethodCall.withArgument,net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget.invokeConstructor,net.bytebuddy.matcher.VisibilityMatcher.matches,net.bytebuddy.matcher.MethodSortMatcher.matches,net.bytebuddy.matcher.NegatingMatcher.matches,net.bytebuddy.ByteBuddy.makeEnumeration,net.bytebuddy.matcher.ElementMatchers.erasures,net.bytebuddy.matcher.NameMatcher.matches,net.bytebuddy.utility.RandomString.make,net.bytebuddy.implementation.bytecode.assign.TypeCasting.to,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.findClass,net.bytebuddy.implementation.bytecode.assign.TypeCasting.apply,net.bytebuddy.implementation.bytecode.collection.ArrayFactory.makeArrayCreatorFor,net.bytebuddy.matcher.SignatureTokenMatcher.matches,net.bytebuddy.matcher.ElementMatchers.takesArguments,net.bytebuddy.implementation.bytecode.assign.primitive.PrimitiveTypeAwareAssigner.assign,net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.applyConstructorStrategy,net.bytebuddy.dynamic.TargetType.resolve,net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget.invokeSuper,net.bytebuddy.matcher.MethodReturnTypeMatcher.matches,net.bytebuddy.utility.CompoundList.of,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.load,net.bytebuddy.implementation.bytecode.TypeCreation.of,net.bytebuddy.implementation.MethodCall.appender,net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.make,net.bytebuddy.implementation.bytecode.collection.ArrayFactory.forType,net.bytebuddy.matcher.MethodParameterTypesMatcher.matches,net.bytebuddy.matcher.MethodParametersMatcher.matches,net.bytebuddy.matcher.CollectionErasureMatcher.matches,net.bytebuddy.implementation.MethodCall.prepare,net.bytebuddy.implementation.bytecode.constant.TextConstant.apply,net.bytebuddy.implementation.bytecode.assign.primitive.VoidAwareAssigner.assign",",net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.make,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.load,net.bytebuddy.ByteBuddy.makeEnumeration"
byte-buddy,net.bytebuddy.ByteBuddyTest.testImplicitStrategyBootstrap,8,3,",net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.make,net.bytebuddy.matcher.MethodSortMatcher.matches,net.bytebuddy.matcher.NegatingMatcher.matches,net.bytebuddy.matcher.ErasureMatcher.matches,net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget.invokeSuper,net.bytebuddy.matcher.MethodParametersMatcher.matches,net.bytebuddy.matcher.MethodReturnTypeMatcher.matches,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.findClass,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.load,net.bytebuddy.matcher.DeclaringTypeMatcher.matches,net.bytebuddy.matcher.VisibilityMatcher.matches,net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget.invokeConstructor,net.bytebuddy.matcher.SignatureTokenMatcher.matches,net.bytebuddy.matcher.EqualityMatcher.matches,net.bytebuddy.ByteBuddy.subclass,net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.applyConstructorStrategy",",net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.make,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.load,net.bytebuddy.ByteBuddy.subclass"
byte-buddy,net.bytebuddy.ByteBuddyTest.testImplicitStrategyInjectable,8,2,",net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.make,net.bytebuddy.matcher.NegatingMatcher.matches,net.bytebuddy.matcher.EqualityMatcher.matches,net.bytebuddy.matcher.ErasureMatcher.matches,net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget.invokeSuper,net.bytebuddy.matcher.MethodReturnTypeMatcher.matches,net.bytebuddy.utility.CompoundList.of,net.bytebuddy.matcher.NameMatcher.matches,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.findClass,net.bytebuddy.matcher.DeclaringTypeMatcher.matches,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.doDefineClasses,net.bytebuddy.dynamic.loading.InjectionClassLoader.defineClasses,net.bytebuddy.matcher.VisibilityMatcher.matches,net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget.invokeConstructor,net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.applyConstructorStrategy,net.bytebuddy.matcher.SignatureTokenMatcher.matches",",net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.make,net.bytebuddy.dynamic.loading.InjectionClassLoader.defineClasses"
byte-buddy,net.bytebuddy.ByteBuddyTest.testImplicitStrategyNonBootstrap,7,3,",net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.make,net.bytebuddy.matcher.MethodSortMatcher.matches,net.bytebuddy.matcher.NegatingMatcher.matches,net.bytebuddy.matcher.EqualityMatcher.matches,net.bytebuddy.matcher.ErasureMatcher.matches,net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget.invokeSuper,net.bytebuddy.matcher.MethodParametersMatcher.matches,net.bytebuddy.matcher.CollectionItemMatcher.matches,net.bytebuddy.matcher.MethodReturnTypeMatcher.matches,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.load,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.findClass,net.bytebuddy.matcher.DeclaringTypeMatcher.matches,net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget.invokeConstructor,net.bytebuddy.matcher.SignatureTokenMatcher.matches,net.bytebuddy.matcher.VisibilityMatcher.matches,net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.applyConstructorStrategy,net.bytebuddy.ByteBuddy.subclass",",net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.make,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.load,net.bytebuddy.ByteBuddy.subclass"
byte-buddy,net.bytebuddy.ByteBuddyTest.testInterface,6,3,",net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.make,net.bytebuddy.matcher.MethodSortMatcher.matches,net.bytebuddy.matcher.NegatingMatcher.matches,net.bytebuddy.ByteBuddy.makeInterface,net.bytebuddy.matcher.ErasureMatcher.matches,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.findClass,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.load,net.bytebuddy.matcher.DeclaringTypeMatcher.matches,net.bytebuddy.matcher.ModifierMatcher.matches,net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.materialize,net.bytebuddy.ByteBuddy.subclass",",net.bytebuddy.dynamic.scaffold.subclass.SubclassDynamicTypeBuilder.make,net.bytebuddy.dynamic.loading.ByteArrayClassLoader.load,net.bytebuddy.ByteBuddy.makeInterface"
byte-buddy,net.bytebuddy.ByteBuddyTest.testRecordWithMember,0,0,,
