Project Name,Test Name,Count,Direct Count,Methods,Direct Methods
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.getAcceptQueueLimit,1,1,",edu.illinois.library.cantaloupe.ApplicationServer.setAcceptQueueLimit",",edu.illinois.library.cantaloupe.ApplicationServer.setAcceptQueueLimit"
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.getHTTPHost,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.getHTTPPort,2,2,",edu.illinois.library.cantaloupe.ApplicationServer.setHTTPPort,edu.illinois.library.cantaloupe.ApplicationServer.getHTTPPort",",edu.illinois.library.cantaloupe.ApplicationServer.setHTTPPort,edu.illinois.library.cantaloupe.ApplicationServer.getHTTPPort"
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.getHTTPSHost,1,1,",edu.illinois.library.cantaloupe.ApplicationServer.setHTTPSHost",",edu.illinois.library.cantaloupe.ApplicationServer.setHTTPSHost"
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.getHTTPSKeyPassword,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.getHTTPSKeyStorePassword,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.getHTTPSKeyStorePath,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.getHTTPSKeyStoreType,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.getHTTPSPort,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.isHTTPEnabled,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.isHTTPSEnabled,1,1,",edu.illinois.library.cantaloupe.ApplicationServer.isHTTPSEnabled",",edu.illinois.library.cantaloupe.ApplicationServer.isHTTPSEnabled"
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.isInsecureHTTP2Enabled,1,1,",edu.illinois.library.cantaloupe.ApplicationServer.setInsecureHTTP2Enabled",",edu.illinois.library.cantaloupe.ApplicationServer.setInsecureHTTP2Enabled"
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.isSecureHTTP2Enabled,0,0,,
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.isStarted,23,2,",edu.illinois.library.cantaloupe.config.MapConfiguration.getKeys,edu.illinois.library.cantaloupe.script.DelegateProxyService.startWatching,edu.illinois.library.cantaloupe.ApplicationServer.createServer,edu.illinois.library.cantaloupe.config.ConfigurationProvider.getString,edu.illinois.library.cantaloupe.Application.isUsingSystemTempPath,edu.illinois.library.cantaloupe.image.MediaType.toString,edu.illinois.library.cantaloupe.ApplicationServer.start,edu.illinois.library.cantaloupe.ApplicationContextListener.contextInitialized,edu.illinois.library.cantaloupe.script.DelegateProxyService.getInstance,edu.illinois.library.cantaloupe.config.ConfigurationFileWatcher.startWatching,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.logImageIOWriters,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.logImageIOReaders,edu.illinois.library.cantaloupe.Application.getVersion,edu.illinois.library.cantaloupe.config.MapConfiguration.getBoolean,edu.illinois.library.cantaloupe.logging.LoggerUtil.reloadConfiguration,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.contextInitialized,edu.illinois.library.cantaloupe.ApplicationContextListener.logSystemInfo,edu.illinois.library.cantaloupe.StandaloneEntry.getWARFile,edu.illinois.library.cantaloupe.script.DelegateProxyService.getScriptFile,edu.illinois.library.cantaloupe.config.ConfigurationProvider.getBoolean,edu.illinois.library.cantaloupe.ApplicationServer.isStarted,edu.illinois.library.cantaloupe.Application.getTempPath,edu.illinois.library.cantaloupe.config.ConfigurationProvider.getKeys",",edu.illinois.library.cantaloupe.ApplicationServer.isStarted,edu.illinois.library.cantaloupe.ApplicationServer.start"
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.isStopped,18,1,",edu.illinois.library.cantaloupe.script.DelegateProxyService.startWatching,edu.illinois.library.cantaloupe.ApplicationServer.createServer,edu.illinois.library.cantaloupe.Application.isUsingSystemTempPath,edu.illinois.library.cantaloupe.image.MediaType.toString,edu.illinois.library.cantaloupe.ApplicationServer.start,edu.illinois.library.cantaloupe.ApplicationContextListener.contextInitialized,edu.illinois.library.cantaloupe.script.DelegateProxyService.getInstance,edu.illinois.library.cantaloupe.config.ConfigurationFileWatcher.startWatching,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.logImageIOWriters,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.logImageIOReaders,edu.illinois.library.cantaloupe.config.MapConfiguration.getBoolean,edu.illinois.library.cantaloupe.logging.LoggerUtil.reloadConfiguration,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.contextInitialized,edu.illinois.library.cantaloupe.ApplicationContextListener.logSystemInfo,edu.illinois.library.cantaloupe.StandaloneEntry.getWARFile,edu.illinois.library.cantaloupe.config.ConfigurationProvider.getBoolean,edu.illinois.library.cantaloupe.Application.getTempPath,edu.illinois.library.cantaloupe.config.ConfigurationProvider.getKeys",",edu.illinois.library.cantaloupe.ApplicationServer.start"
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.startStartsHTTPSServer,37,3,",edu.illinois.library.cantaloupe.test.Assert.HTTPAssert.assertStatus,edu.illinois.library.cantaloupe.ApplicationServer.getHTTPSPort,edu.illinois.library.cantaloupe.script.DelegateProxyService.startWatching,edu.illinois.library.cantaloupe.test.TestUtil.getFixture,edu.illinois.library.cantaloupe.ApplicationServer.createServer,edu.illinois.library.cantaloupe.config.MapConfiguration.getString,edu.illinois.library.cantaloupe.config.ConfigurationProvider.getString,edu.illinois.library.cantaloupe.Application.isUsingSystemTempPath,edu.illinois.library.cantaloupe.image.MediaType.toString,edu.illinois.library.cantaloupe.http.Client.stop,edu.illinois.library.cantaloupe.ApplicationServer.start,edu.illinois.library.cantaloupe.ApplicationContextListener.contextInitialized,edu.illinois.library.cantaloupe.script.DelegateProxyService.getInstance,edu.illinois.library.cantaloupe.config.ConfigurationFileWatcher.startWatching,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.logImageIOWriters,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.logImageIOReaders,edu.illinois.library.cantaloupe.http.Response.setBody,edu.illinois.library.cantaloupe.http.Response.setStatus,edu.illinois.library.cantaloupe.test.Assert.HTTPAssert.newClient,edu.illinois.library.cantaloupe.config.MapConfiguration.getBoolean,edu.illinois.library.cantaloupe.ApplicationServerTest.initializeHTTPS,edu.illinois.library.cantaloupe.logging.LoggerUtil.reloadConfiguration,edu.illinois.library.cantaloupe.http.Client.getJettyTransport,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.contextInitialized,edu.illinois.library.cantaloupe.http.Response.fromJettyResponse,edu.illinois.library.cantaloupe.test.TestUtil.getCurrentWorkingDirectory,edu.illinois.library.cantaloupe.ApplicationContextListener.logSystemInfo,edu.illinois.library.cantaloupe.StandaloneEntry.getWARFile,edu.illinois.library.cantaloupe.script.DelegateProxyService.getScriptFile,edu.illinois.library.cantaloupe.config.ConfigurationProvider.getBoolean,edu.illinois.library.cantaloupe.http.Headers.add,edu.illinois.library.cantaloupe.http.Client.newSSLContextFactory,edu.illinois.library.cantaloupe.Application.getTempPath,edu.illinois.library.cantaloupe.test.TestUtil.getFixturePath,edu.illinois.library.cantaloupe.config.ConfigurationProvider.getKeys,edu.illinois.library.cantaloupe.http.Client.send,edu.illinois.library.cantaloupe.test.Assert.HTTPAssert.stopQuietly",",edu.illinois.library.cantaloupe.ApplicationServerTest.initializeHTTPS,edu.illinois.library.cantaloupe.test.Assert.HTTPAssert.assertStatus,edu.illinois.library.cantaloupe.ApplicationServer.start"
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.startStartsHTTPServer,28,2,",edu.illinois.library.cantaloupe.test.Assert.HTTPAssert.assertStatus,edu.illinois.library.cantaloupe.config.MapConfiguration.getKeys,edu.illinois.library.cantaloupe.script.DelegateProxyService.startWatching,edu.illinois.library.cantaloupe.ApplicationServer.createServer,edu.illinois.library.cantaloupe.config.ConfigurationProvider.getString,edu.illinois.library.cantaloupe.Application.isUsingSystemTempPath,edu.illinois.library.cantaloupe.image.MediaType.toString,edu.illinois.library.cantaloupe.http.Client.stop,edu.illinois.library.cantaloupe.ApplicationServer.start,edu.illinois.library.cantaloupe.ApplicationContextListener.contextInitialized,edu.illinois.library.cantaloupe.script.DelegateProxyService.getInstance,edu.illinois.library.cantaloupe.config.ConfigurationFileWatcher.startWatching,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.logImageIOWriters,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.logImageIOReaders,edu.illinois.library.cantaloupe.test.Assert.HTTPAssert.newClient,edu.illinois.library.cantaloupe.config.MapConfiguration.getBoolean,edu.illinois.library.cantaloupe.logging.LoggerUtil.reloadConfiguration,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.contextInitialized,edu.illinois.library.cantaloupe.http.Response.fromJettyResponse,edu.illinois.library.cantaloupe.ApplicationContextListener.logSystemInfo,edu.illinois.library.cantaloupe.StandaloneEntry.getWARFile,edu.illinois.library.cantaloupe.script.DelegateProxyService.getScriptFile,edu.illinois.library.cantaloupe.config.ConfigurationProvider.getBoolean,edu.illinois.library.cantaloupe.http.Client.newSSLContextFactory,edu.illinois.library.cantaloupe.Application.getTempPath,edu.illinois.library.cantaloupe.config.ConfigurationProvider.getKeys,edu.illinois.library.cantaloupe.http.Client.send,edu.illinois.library.cantaloupe.test.Assert.HTTPAssert.stopQuietly",",edu.illinois.library.cantaloupe.test.Assert.HTTPAssert.assertStatus,edu.illinois.library.cantaloupe.ApplicationServer.start"
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.startStartsInsecureHTTP2Server,3,1,",edu.illinois.library.cantaloupe.util.SystemUtils.parseJavaMajorVersion,edu.illinois.library.cantaloupe.util.SystemUtils.getJavaMajorVersion,edu.illinois.library.cantaloupe.util.SystemUtils.isALPNAvailable",",edu.illinois.library.cantaloupe.util.SystemUtils.isALPNAvailable"
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.startStartsSecureHTTP2Server,3,1,",edu.illinois.library.cantaloupe.util.SystemUtils.parseJavaMajorVersion,edu.illinois.library.cantaloupe.util.SystemUtils.getJavaMajorVersion,edu.illinois.library.cantaloupe.util.SystemUtils.isALPNAvailable",",edu.illinois.library.cantaloupe.util.SystemUtils.isALPNAvailable"
cantaloupe,edu.illinois.library.cantaloupe.ApplicationServerTest.stopStopsHTTPSServer,41,4,",edu.illinois.library.cantaloupe.source.SourceFactory.getAllSources,edu.illinois.library.cantaloupe.config.MapConfiguration.getKeys,edu.illinois.library.cantaloupe.script.DelegateProxyService.startWatching,edu.illinois.library.cantaloupe.test.TestUtil.getFixture,edu.illinois.library.cantaloupe.ApplicationServer.createServer,edu.illinois.library.cantaloupe.config.ConfigurationProvider.getString,edu.illinois.library.cantaloupe.cache.CacheFactory.shutdownCaches,edu.illinois.library.cantaloupe.Application.isUsingSystemTempPath,edu.illinois.library.cantaloupe.image.MediaType.toString,edu.illinois.library.cantaloupe.http.Client.stop,edu.illinois.library.cantaloupe.ApplicationServer.start,edu.illinois.library.cantaloupe.ApplicationContextListener.contextInitialized,edu.illinois.library.cantaloupe.script.DelegateProxyService.getInstance,edu.illinois.library.cantaloupe.config.ConfigurationFileWatcher.startWatching,edu.illinois.library.cantaloupe.test.Assert.HTTPAssert.assertConnectionRefused,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.logImageIOWriters,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.logImageIOReaders,edu.illinois.library.cantaloupe.ApplicationServer.stop,edu.illinois.library.cantaloupe.test.Assert.HTTPAssert.newClient,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.contextDestroyed,edu.illinois.library.cantaloupe.script.DelegateProxyService.stopWatching,edu.illinois.library.cantaloupe.config.MapConfiguration.getBoolean,edu.illinois.library.cantaloupe.ApplicationServerTest.initializeHTTPS,edu.illinois.library.cantaloupe.logging.LoggerUtil.reloadConfiguration,edu.illinois.library.cantaloupe.source.HttpSource2.shutdown,edu.illinois.library.cantaloupe.async.ThreadPool.shutdown,edu.illinois.library.cantaloupe.ApplicationContextListener.contextDestroyed,edu.illinois.library.cantaloupe.http.Client.getJettyTransport,edu.illinois.library.cantaloupe.processor.codec.IIOProviderContextListener.contextInitialized,edu.illinois.library.cantaloupe.ApplicationServer.setHTTPSKeyPassword,edu.illinois.library.cantaloupe.test.TestUtil.getCurrentWorkingDirectory,edu.illinois.library.cantaloupe.ApplicationContextListener.logSystemInfo,edu.illinois.library.cantaloupe.http.Headers.iterator,edu.illinois.library.cantaloupe.StandaloneEntry.getWARFile,edu.illinois.library.cantaloupe.cache.CacheFactory.shutdownDerivativeCache,edu.illinois.library.cantaloupe.config.ConfigurationProvider.getBoolean,edu.illinois.library.cantaloupe.http.Client.newSSLContextFactory,edu.illinois.library.cantaloupe.Application.getTempPath,edu.illinois.library.cantaloupe.async.ThreadPool.getInstance,edu.illinois.library.cantaloupe.test.TestUtil.getFixturePath,edu.illinois.library.cantaloupe.config.ConfigurationProvider.getKeys,edu.illinois.library.cantaloupe.http.Client.send,edu.illinois.library.cantaloupe.test.Assert.HTTPAssert.stopQuietly",",edu.illinois.library.cantaloupe.test.Assert.HTTPAssert.assertConnectionRefused,edu.illinois.library.cantaloupe.ApplicationServer.stop,edu.illinois.library.cantaloupe.ApplicationServerTest.initializeHTTPS,edu.illinois.library.cantaloupe.ApplicationServer.start"
