Project Name,Test Name,Count,Direct Count,Methods,Direct Methods
client_java,io.prometheus.client.CollectorRegistryTest.testAutoDescribeDisabledByDefault,3,1,",io.prometheus.client.CollectorRegistry.register,io.prometheus.client.CollectorRegistry.collectorNames,io.prometheus.client.Collector.register",",io.prometheus.client.Collector.register"
client_java,io.prometheus.client.CollectorRegistryTest.testAutoDescribeThrowsOnReregisteringCustomCollector,3,1,",io.prometheus.client.CollectorRegistry.register,io.prometheus.client.CollectorRegistry.collectorNames,io.prometheus.client.Collector.register",",io.prometheus.client.Collector.register"
client_java,io.prometheus.client.CollectorRegistryTest.testCanUnAndReregister,4,3,",io.prometheus.client.CollectorRegistry.register,io.prometheus.client.CollectorRegistry.unregister,io.prometheus.client.Histogram.build,io.prometheus.client.CollectorRegistry.collectorNames",",io.prometheus.client.CollectorRegistry.unregister,io.prometheus.client.Histogram.build,io.prometheus.client.CollectorRegistry.register"
client_java,io.prometheus.client.CollectorRegistryTest.testClear,12,7,",io.prometheus.client.CollectorRegistry.collectors,io.prometheus.client.SimpleCollector.labels,io.prometheus.client.Counter.build,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.CollectorRegistry.register,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Counter.collect,io.prometheus.client.CollectorRegistry.clear,io.prometheus.client.Gauge.collect,io.prometheus.client.CollectorRegistry.metricFamilySamples,io.prometheus.client.CollectorRegistry.collectorNames,io.prometheus.client.SimpleCollector.familySamplesList",",io.prometheus.client.Counter.build,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.CollectorRegistry.register,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.collect,io.prometheus.client.CollectorRegistry.clear,io.prometheus.client.CollectorRegistry.metricFamilySamples"
client_java,io.prometheus.client.CollectorRegistryTest.testCounterAndGaugeWithSameNameThrows,5,3,",io.prometheus.client.SimpleCollector.labels,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.CollectorRegistry.register,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.CollectorRegistry.collectorNames",",io.prometheus.client.CollectorRegistry.register,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Collector.checkMetricName"
client_java,io.prometheus.client.CollectorRegistryTest.testCounterAndSummaryWithSameNameThrows,8,4,",io.prometheus.client.Counter.newChild,io.prometheus.client.SimpleCollector.labels,io.prometheus.client.Counter.describe,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.Counter.build,io.prometheus.client.CollectorRegistry.register,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.CollectorRegistry.collectorNames",",io.prometheus.client.Counter.build,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.CollectorRegistry.register,io.prometheus.client.SimpleCollector.initializeNoLabelsChild"
client_java,io.prometheus.client.CollectorRegistryTest.testCounterSumAndSummaryWithSameNameThrows,4,2,",io.prometheus.client.SimpleCollector.labels,io.prometheus.client.CollectorRegistry.register,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.CollectorRegistry.collectorNames",",io.prometheus.client.CollectorRegistry.register,io.prometheus.client.SimpleCollector.initializeNoLabelsChild"
client_java,io.prometheus.client.CollectorRegistryTest.testEmptyRegistryHasNoMoreElements,2,1,",io.prometheus.client.CollectorRegistry.metricFamilySamples,io.prometheus.client.CollectorRegistry.collectors",",io.prometheus.client.CollectorRegistry.metricFamilySamples"
client_java,io.prometheus.client.CollectorRegistryTest.testHistogramAndSummaryWithSameNameThrows,7,3,",io.prometheus.client.SimpleCollector.labels,io.prometheus.client.Histogram.newChild,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.CollectorRegistry.register,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Histogram.describe,io.prometheus.client.CollectorRegistry.collectorNames",",io.prometheus.client.CollectorRegistry.register,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Collector.checkMetricName"
client_java,io.prometheus.client.CollectorRegistryTest.testMetricFamilySamples,18,9,",io.prometheus.client.Counter.newChild,io.prometheus.client.Summary.newChild,io.prometheus.client.Counter.describe,io.prometheus.client.CollectorRegistry.filteredMetricFamilySamples,io.prometheus.client.CollectorRegistry.register,io.prometheus.client.Counter.collect,io.prometheus.client.Gauge.collect,io.prometheus.client.Collector.register,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.SimpleCollector.familySamplesList,io.prometheus.client.Gauge.newChild,io.prometheus.client.CollectorRegistry.metricFamilySamples,io.prometheus.client.CollectorRegistry.collectors,io.prometheus.client.SimpleCollector.labels,io.prometheus.client.Summary.build,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Summary.collect,io.prometheus.client.CollectorRegistry.collectorNames",",io.prometheus.client.Collector.register,io.prometheus.client.Summary.build,io.prometheus.client.Collector.checkMetricName,io.prometheus.client.CollectorRegistry.filteredMetricFamilySamples,io.prometheus.client.CollectorRegistry.register,io.prometheus.client.SimpleCollector.initializeNoLabelsChild,io.prometheus.client.Gauge.collect,io.prometheus.client.Summary.collect,io.prometheus.client.CollectorRegistry.metricFamilySamples"
