Project Name,Test Name,Count,Direct Count,Methods,Direct Methods
commons-bcel,org.apache.bcel.AnnotationAccessFlagTestCase.testAnnotationClassSaysItIs,10,1,",org.apache.bcel.classfile.ClassParser.readID,org.apache.bcel.classfile.ConstantUtf8.getInstance,org.apache.bcel.classfile.ClassParser.parse,org.apache.bcel.util.ClassPath.getInputStream,org.apache.bcel.util.AbstractClassPathRepository.loadClass,org.apache.bcel.classfile.Constant.readConstant,org.apache.bcel.classfile.ClassParser.readConstantPool,org.apache.bcel.AbstractTestCase.getTestClass,org.apache.bcel.classfile.AccessFlags.isAnnotation,org.apache.bcel.AnnotationAccessFlagTestCase.testAnnotationClassSaysItIs",",org.apache.bcel.AnnotationAccessFlagTestCase.testAnnotationClassSaysItIs"
commons-bcel,org.apache.bcel.AnnotationDefaultAttributeTestCase.testMethodAnnotations,8,1,",org.apache.bcel.util.AbstractClassPathRepository.loadClass,org.apache.bcel.util.MemorySensitiveClassPathRepository.findClass,org.apache.bcel.AbstractTestCase.getTestClass,org.apache.bcel.AbstractTestCase.findAttribute,org.apache.bcel.AbstractTestCase.getMethod,org.apache.bcel.AnnotationDefaultAttributeTestCase.testMethodAnnotations,org.apache.bcel.classfile.ConstantUtf8.getBytes,org.apache.bcel.classfile.SimpleElementValue.getValueString",",org.apache.bcel.AnnotationDefaultAttributeTestCase.testMethodAnnotations"
commons-bcel,org.apache.bcel.AnonymousClassTestCase.testAnonymousInnerClassIsAnonymous,11,1,",org.apache.bcel.classfile.ClassParser.readID,org.apache.bcel.classfile.ClassParser.parse,org.apache.bcel.util.ClassPath.getInputStream,org.apache.bcel.classfile.JavaClass.isAnonymous,org.apache.bcel.util.AbstractClassPathRepository.loadClass,org.apache.bcel.AbstractTestCase.getTestClass,org.apache.bcel.util.MemorySensitiveClassPathRepository.storeClass,org.apache.bcel.AnonymousClassTestCase.testAnonymousInnerClassIsAnonymous,org.apache.bcel.classfile.JavaClass.computeNestedTypeStatus,org.apache.bcel.classfile.Attribute.readAttribute,org.apache.bcel.classfile.ClassParser.readMethods",",org.apache.bcel.AnonymousClassTestCase.testAnonymousInnerClassIsAnonymous"
commons-bcel,org.apache.bcel.AnonymousClassTestCase.testNamedInnerClassIsNotAnonymous,10,1,",org.apache.bcel.classfile.ConstantUtf8.getInstance,org.apache.bcel.classfile.ClassParser.parse,org.apache.bcel.util.ClassPath.getInputStream,org.apache.bcel.util.AbstractClassPathRepository.loadClass,org.apache.bcel.classfile.Constant.readConstant,org.apache.bcel.AnonymousClassTestCase.testNamedInnerClassIsNotAnonymous,org.apache.bcel.classfile.ClassParser.readConstantPool,org.apache.bcel.AbstractTestCase.getTestClass,org.apache.bcel.classfile.ClassParser.readAttributes,org.apache.bcel.classfile.Attribute.readAttribute","org.apache.bcel.AnonymousClassTestCase.testNamedInnerClassIsNotAnonymous,"
commons-bcel,org.apache.bcel.AnonymousClassTestCase.testRegularClassIsNotAnonymous,13,1,",org.apache.bcel.classfile.ClassParser.readID,org.apache.bcel.classfile.ClassParser.parse,org.apache.bcel.util.ClassPath.getInputStream,org.apache.bcel.util.AbstractClassPathRepository.loadClass,org.apache.bcel.classfile.ClassParser.readMethods,org.apache.bcel.classfile.ClassParser.readConstantPool,org.apache.bcel.AbstractTestCase.getTestClass,org.apache.bcel.util.MemorySensitiveClassPathRepository.storeClass,org.apache.bcel.classfile.JavaClass.computeNestedTypeStatus,org.apache.bcel.classfile.Attribute.readAttribute,org.apache.bcel.util.SyntheticRepository.getInstance,org.apache.bcel.classfile.JavaClass.isAnonymous,org.apache.bcel.AnonymousClassTestCase.testRegularClassIsNotAnonymous",",org.apache.bcel.AnonymousClassTestCase.testRegularClassIsNotAnonymous"
commons-bcel,org.apache.bcel.AnonymousClassTestCase.testStaticInnerClassIsNotAnonymous,10,1,",org.apache.bcel.classfile.ClassParser.readID,org.apache.bcel.classfile.ClassParser.parse,org.apache.bcel.util.ClassPath.getInputStream,org.apache.bcel.classfile.JavaClass.isAnonymous,org.apache.bcel.AnonymousClassTestCase.testStaticInnerClassIsNotAnonymous,org.apache.bcel.util.AbstractClassPathRepository.loadClass,org.apache.bcel.AbstractTestCase.getTestClass,org.apache.bcel.classfile.JavaClass.computeNestedTypeStatus,org.apache.bcel.classfile.Attribute.readAttribute,org.apache.bcel.classfile.ClassParser.readMethods",",org.apache.bcel.AnonymousClassTestCase.testStaticInnerClassIsNotAnonymous"
commons-bcel,org.apache.bcel.CounterVisitorTestCase.testAnnotationDefaultCount,1,1,",org.apache.bcel.CounterVisitorTestCase.testAnnotationDefaultCount",",org.apache.bcel.CounterVisitorTestCase.testAnnotationDefaultCount"
commons-bcel,org.apache.bcel.CounterVisitorTestCase.testAnnotationEntryCount,1,1,",org.apache.bcel.CounterVisitorTestCase.testAnnotationEntryCount",",org.apache.bcel.CounterVisitorTestCase.testAnnotationEntryCount"
commons-bcel,org.apache.bcel.CounterVisitorTestCase.testAnnotationsCount,0,0,,
commons-bcel,org.apache.bcel.CounterVisitorTestCase.testCodeCount,1,1,",org.apache.bcel.CounterVisitorTestCase.testCodeCount",",org.apache.bcel.CounterVisitorTestCase.testCodeCount"
commons-bcel,org.apache.bcel.CounterVisitorTestCase.testCodeExceptionCount,1,1,",org.apache.bcel.CounterVisitorTestCase.testCodeExceptionCount",",org.apache.bcel.CounterVisitorTestCase.testCodeExceptionCount"
commons-bcel,org.apache.bcel.CounterVisitorTestCase.testConstantClassCount,1,1,",org.apache.bcel.CounterVisitorTestCase.testConstantClassCount",",org.apache.bcel.CounterVisitorTestCase.testConstantClassCount"
commons-bcel,org.apache.bcel.CounterVisitorTestCase.testConstantDoubleCount,1,1,",org.apache.bcel.CounterVisitorTestCase.testConstantDoubleCount",",org.apache.bcel.CounterVisitorTestCase.testConstantDoubleCount"
