Project Name,Test Name,Count,Direct Count,Methods,Direct Methods
feign,feign.AsyncFeignTest.beanQueryMapEncoderWithEmptyParams,0,0,,
feign,feign.AsyncFeignTest.beanQueryMapEncoderWithNullValueIgnored,69,6,",feign.SynchronousMethodHandler.invoke,feign.assertj.RecordedRequestAssert.hasQueryParams,feign.AsyncInvocation.isAsyncReturnType,feign.ReflectiveFeign.newInstance,feign.Util.isBlank,feign.RequestTemplate.from,feign.RequestTemplate.request,feign.Response.toBuilder,feign.DeclarativeContract.registerMethodAnnotation,feign.RequestTemplate.path,feign.template.UriUtils.encodeInternal,feign.template.QueryTemplate.toString,feign.template.Template.parseFragment,feign.template.UriTemplate.create,feign.assertj.RecordedRequestAssert.getQueryParams,feign.template.Expressions.stripBraces,feign.template.QueryTemplate.queryString,feign.AsyncFeign.asyncBuilder,feign.RequestTemplate.header,feign.template.UriUtils.isGenericDelimiter,feign.template.Expressions.create,feign.Util.emptyToNull,feign.AsyncFeign.setInvocationContext,feign.Types.resolve,feign.MethodMetadata.headerMapIndex,feign.RequestTemplate.getRequestVariables,feign.MethodMetadata.bodyType,feign.RequestTemplate.queries,feign.template.QueryTemplate.create,feign.AsyncFeign.newInstance,feign.SynchronousMethodHandler.executeAndDecode,feign.AsyncFeign.stageDecode,feign.RequestTemplate.splitQueryParameter,feign.SynchronousMethodHandler.targetRequest,feign.MethodMetadata.template,feign.Feign.configKey,feign.DeclarativeContract.registerClassAnnotation,feign.RequestTemplate.method,feign.SynchronousMethodHandler.findOptions,feign.template.UriUtils.encodeChunk,feign.DeclarativeContract.parseAndValidateMetadata,feign.querymap.BeanQueryMapEncoder.encode,feign.RequestTemplate.target,feign.Feign.builder,feign.RequestTemplate.resolve,feign.RequestTemplate.bodyTemplate,feign.RequestTemplate.queryLine,feign.template.QueryTemplate.getValues,feign.template.Template.getVariables,feign.AsyncFeign.clearInvocationContext,feign.AsyncFeign.stageExecution,feign.MethodMetadata.urlIndex,feign.Util.isDefault,feign.template.UriUtils.encode,feign.template.Template.parseTemplate,feign.template.UriUtils.isReserved,feign.template.UriUtils.isAbsolute,feign.template.Expression.getValue,feign.Types.getRawType,feign.RequestTemplate.methodMetadata,feign.MethodMetadata.isAlreadyProcessed,feign.RequestTemplate.appendHeader,feign.ReflectiveAsyncFeign.wrap,feign.RequestTemplate.query,feign.RequestTemplate.url,feign.assertj.MockWebServerAssertions.assertThat,feign.template.BodyTemplate.create,feign.AsyncFeignTest.unwrap,feign.RequestTemplate.headers,feign.Util.checkState,feign.MethodMetadata.configKey,feign.MethodMetadata.warnings,feign.Util.checkNotNull,feign.DeclarativeContract.processAnnotationsOnParameter,feign.template.Template.encodeLiteral,feign.template.QueryTemplate.getName,feign.template.UriUtils.isEncoded,feign.template.Template.expand,feign.template.Template.toString,feign.DeclarativeContract.processAnnotationOnClass,feign.RequestTemplate.appendQuery,feign.RequestTemplate.extractQueryTemplates,feign.MethodMetadata.addWarning,feign.RequestTemplate.uri,feign.Response.caseInsensitiveCopyOf,feign.template.QueryTemplate.getVariables,feign.RequestTemplate.decodeSlash,feign.DeclarativeContract.processAnnotationOnMethod,feign.AsyncFeignTest.checkCFCompletedSoon,feign.MethodMetadata.formParams,feign.Request.create,feign.template.HeaderTemplate.create,feign.querymap.BeanQueryMapEncoder.getMetadata,feign.RequestTemplate.hasRequestVariable",",feign.AsyncFeignTest.checkCFCompletedSoon,feign.assertj.MockWebServerAssertions.assertThat,feign.assertj.RecordedRequestAssert.hasQueryParams,feign.Feign.configKey,feign.AsyncFeign.clearInvocationContext,feign.AsyncFeign.setInvocationContext,feign.AsyncFeign.asyncBuilder,feign.SynchronousMethodHandler.invoke,feign.AsyncFeign.newInstance"
feign,feign.AsyncFeignTest.beanQueryMapEncoderWithPrivateGetterIgnored,0,0,,
feign,feign.AsyncFeignTest.bodyTypeCorrespondsWithParameterType,0,0,,
feign,feign.AsyncFeignTest.canOverrideErrorDecoder,0,0,,
feign,feign.AsyncFeignTest.configKeyFormatsAsExpected,0,0,,
feign,feign.AsyncFeignTest.configKeyUsesChildType,1,1,",feign.Feign.configKey",",feign.Feign.configKey"
feign,feign.AsyncFeignTest.customExpander,87,9,",feign.template.Expression.matches,feign.SynchronousMethodHandler.invoke,feign.MethodMetadata.targetType,feign.template.Literal.getValue,feign.template.UriUtils.isAlpha,feign.ReflectiveFeign.newInstance,feign.RequestTemplate.from,feign.RequestTemplate.request,feign.Response.toBuilder,feign.DeclarativeContract.registerMethodAnnotation,feign.template.QueryTemplate.expand,feign.RequestTemplate.path,feign.template.UriUtils.encodeInternal,feign.MethodMetadata.queryMapIndex,feign.template.QueryTemplate.toString,feign.template.Template.parseFragment,feign.template.UriTemplate.create,feign.template.Expressions.stripBraces,feign.template.QueryTemplate.queryString,feign.RequestTemplate.header,feign.AsyncFeign.asyncBuilder,feign.template.UriUtils.isGenericDelimiter,feign.template.Expressions.create,feign.Util.emptyToNull,feign.AsyncFeign.setInvocationContext,feign.Types.resolve,feign.MethodMetadata.headerMapIndex,feign.RequestTemplate.getRequestVariables,feign.MethodMetadata.bodyType,feign.RequestTemplate.queries,feign.template.QueryTemplate.create,feign.AsyncFeign.newInstance,feign.SynchronousMethodHandler.executeAndDecode,feign.AsyncFeign.stageDecode,feign.RequestTemplate.splitQueryParameter,feign.MethodMetadata.returnType,feign.SynchronousMethodHandler.targetRequest,feign.MethodMetadata.template,feign.Feign.configKey,feign.DeclarativeContract.registerClassAnnotation,feign.RequestTemplate.method,feign.SynchronousMethodHandler.findOptions,feign.template.UriUtils.encodeChunk,feign.DeclarativeContract.parseAndValidateMetadata,feign.template.UriUtils.isUnreserved,feign.RequestTemplate.target,feign.template.Literal.create,feign.Feign.builder,feign.RequestTemplate.resolve,feign.RequestTemplate.bodyTemplate,feign.RequestTemplate.queryLine,feign.template.QueryTemplate.getValues,feign.template.Template.getVariables,feign.Response.builder,feign.AsyncFeign.clearInvocationContext,feign.AsyncFeign.stageExecution,feign.Util.isDefault,feign.template.Template.resolveExpression,feign.template.UriUtils.encode,feign.template.Template.parseTemplate,feign.template.UriUtils.isReserved,feign.template.UriUtils.isAbsolute,feign.template.Expression.getValue,feign.Types.getRawType,feign.RequestTemplate.methodMetadata,feign.Util.isNotBlank,feign.MethodMetadata.isAlreadyProcessed,feign.RequestTemplate.appendHeader,feign.ReflectiveAsyncFeign.wrap,feign.RequestTemplate.query,feign.RequestTemplate.url,feign.assertj.MockWebServerAssertions.assertThat,feign.template.BodyTemplate.create,feign.AsyncFeignTest.unwrap,feign.RequestTemplate.headers,feign.Util.checkState,feign.MethodMetadata.configKey,feign.MethodMetadata.warnings,feign.Util.checkNotNull,feign.MethodMetadata.method,feign.assertj.RecordedRequestAssert.hasPath,feign.DeclarativeContract.processAnnotationsOnParameter,feign.template.Template.encodeLiteral,feign.template.Template.expand,feign.template.QueryTemplate.getName,feign.template.UriUtils.isEncoded,feign.template.Template.toString,feign.DeclarativeContract.processAnnotationOnClass,feign.RequestTemplate.appendQuery,feign.RequestTemplate.extractQueryTemplates,feign.MethodMetadata.addWarning,feign.RequestTemplate.uri,feign.Response.caseInsensitiveCopyOf,feign.template.QueryTemplate.getVariables,feign.DeclarativeContract.registerParameterAnnotation,feign.template.UriUtils.isDigit,feign.RequestTemplate.feignTarget,feign.RequestTemplate.decodeSlash,feign.DeclarativeContract.processAnnotationOnMethod,feign.AsyncFeignTest.checkCFCompletedSoon,feign.Request.create,feign.template.HeaderTemplate.create,feign.RequestTemplate.hasRequestVariable",",feign.assertj.RecordedRequestAssert.hasPath,feign.AsyncFeignTest.checkCFCompletedSoon,feign.assertj.MockWebServerAssertions.assertThat,feign.Feign.configKey,feign.AsyncFeign.clearInvocationContext,feign.AsyncFeign.setInvocationContext,feign.AsyncFeign.asyncBuilder,feign.SynchronousMethodHandler.invoke,feign.AsyncFeign.newInstance"
feign,feign.AsyncFeignTest.customExpanderListParam,0,0,,
feign,feign.AsyncFeignTest.customExpanderNullParam,0,0,,
