Project Name,Test Name,Count,Direct Count,Methods,Direct Methods
imglib2,net.imglib2.BinningTest.testCenterValuesArray,3,2,"net.imglib2.util.Binning.edgeValuesPerBin,net.imglib2.util.Binning.exclusiveValueToBin,net.imglib2.util.Binning.centerValuesPerBin,","net.imglib2.util.Binning.centerValuesPerBin,,net.imglib2.util.Binning.exclusiveValueToBin"
imglib2,net.imglib2.BinningTest.testDistribution,3,1,",net.imglib2.BinningTest.testHistogram,net.imglib2.util.Binning.valueToBin,net.imglib2.util.Binning.exclusiveValueToBin",",net.imglib2.BinningTest.testHistogram"
imglib2,net.imglib2.BinningTest.testEdgeValuesArray,5,3,"net.imglib2.util.Binning.edgeValuesPerBin,net.imglib2.DoubleUtil.nextDouble,net.imglib2.DoubleUtil.nextDoubleHexString,net.imglib2.DoubleUtil.padWithZeros,net.imglib2.util.Binning.exclusiveValueToBin","net.imglib2.util.Binning.edgeValuesPerBin,net.imglib2.DoubleUtil.nextDouble,net.imglib2.util.Binning.exclusiveValueToBin"
imglib2,net.imglib2.BinningTest.testEdges,6,1,"net.imglib2.util.Binning.valueToBin,net.imglib2.DoubleUtil.nextDouble,net.imglib2.DoubleUtil.nextDoubleHexString,net.imglib2.DoubleUtil.padWithZeros,net.imglib2.util.Binning.exclusiveValueToBin,net.imglib2.BinningTest.testSomeEdges",net.imglib2.BinningTest.testSomeEdges
imglib2,net.imglib2.BinningTest.testInternal,0,0,,
imglib2,net.imglib2.BinningTest.testValues,3,1,",net.imglib2.util.Binning.valueToBin,net.imglib2.BinningTest.testSomeValues,net.imglib2.util.Binning.exclusiveValueToBin",",net.imglib2.BinningTest.testSomeValues"
imglib2,net.imglib2.DimensionsTest.testDimensionsWithLongs,0,0,,
imglib2,net.imglib2.FinalDimensionsTest.testEquals,2,1,",net.imglib2.FinalDimensions.equals,net.imglib2.util.Intervals.equalDimensions",",net.imglib2.FinalDimensions.equals"
imglib2,net.imglib2.FinalDimensionsTest.testHashCode,1,1,",net.imglib2.FinalDimensions.hashCode",",net.imglib2.FinalDimensions.hashCode"
imglib2,net.imglib2.FinalDimensionsTest.testToString,2,1,",net.imglib2.FinalDimensions.toString,net.imglib2.util.Intervals.toString",",net.imglib2.FinalDimensions.toString"
imglib2,net.imglib2.FinalIntervalTest.testCreateMinMaxOneArray,1,1,",net.imglib2.FinalIntervalTest.assertInterval",",net.imglib2.FinalIntervalTest.assertInterval"
imglib2,net.imglib2.FinalIntervalTest.testCreateMinSizeOneArray,1,1,",net.imglib2.FinalIntervalTest.assertInterval",",net.imglib2.FinalIntervalTest.assertInterval"
imglib2,net.imglib2.FinalIntervalTest.testCreateMinSizeTwoArrays,2,2,",net.imglib2.FinalIntervalTest.assertInterval,net.imglib2.FinalInterval.createMinSize",",net.imglib2.FinalIntervalTest.assertInterval,net.imglib2.FinalInterval.createMinSize"
imglib2,net.imglib2.FinalIntervalTest.testCtorDimensions,1,1,",net.imglib2.FinalIntervalTest.assertInterval",",net.imglib2.FinalIntervalTest.assertInterval"
imglib2,net.imglib2.FinalIntervalTest.testCtorInterval,1,1,"net.imglib2.AbstractInterval.min,","net.imglib2.AbstractInterval.min,"
imglib2,net.imglib2.FinalIntervalTest.testCtorLongArray,0,0,,
imglib2,net.imglib2.FinalIntervalTest.testCtorMinMax,1,1,",net.imglib2.FinalIntervalTest.assertInterval",",net.imglib2.FinalIntervalTest.assertInterval"
imglib2,net.imglib2.FinalIntervalTest.testEquals,1,1,",net.imglib2.FinalInterval.equals",",net.imglib2.FinalInterval.equals"
imglib2,net.imglib2.FinalIntervalTest.testHashCode,1,1,net.imglib2.FinalInterval.hashCode,net.imglib2.FinalInterval.hashCode
imglib2,net.imglib2.FinalIntervalTest.testToString,2,1,",net.imglib2.util.Intervals.toString,net.imglib2.AbstractInterval.toString",",net.imglib2.AbstractInterval.toString"
imglib2,net.imglib2.FinalRealIntervalTest.testEquals,3,2,"net.imglib2.FinalRealInterval.equals,,net.imglib2.FinalRealInterval.createMinMax,net.imglib2.util.Intervals.equals","net.imglib2.FinalRealInterval.equals,,net.imglib2.FinalRealInterval.createMinMax"
imglib2,net.imglib2.FinalRealIntervalTest.testHashCode,2,2,",net.imglib2.FinalRealInterval.hashCode,net.imglib2.FinalRealInterval.createMinMax",",net.imglib2.FinalRealInterval.hashCode,net.imglib2.FinalRealInterval.createMinMax"
imglib2,net.imglib2.FinalRealIntervalTest.testToString,3,2,"net.imglib2.AbstractRealInterval.toString,,net.imglib2.util.Intervals.toString,net.imglib2.FinalRealInterval.createMinMax","net.imglib2.AbstractRealInterval.toString,,net.imglib2.FinalRealInterval.createMinMax"
imglib2,net.imglib2.IntervalTest.testDimension,0,0,,
imglib2,net.imglib2.IntervalTest.testMaxWithLongs,0,0,,
imglib2,net.imglib2.IntervalTest.testMaxWithPositionable,1,1,",net.imglib2.Point.setPosition",",net.imglib2.Point.setPosition"
imglib2,net.imglib2.IntervalTest.testMinWithLongs,0,0,,
imglib2,net.imglib2.IntervalTest.testMinWithPositionable,1,1,",net.imglib2.Point.setPosition",",net.imglib2.Point.setPosition"
imglib2,net.imglib2.IntervalTest.testRealMax,0,0,,
imglib2,net.imglib2.IntervalTest.testRealMin,1,1,",net.imglib2.RealPoint.wrap",",net.imglib2.RealPoint.wrap"
imglib2,net.imglib2.LocalizableTest.testGetDoublePosition,0,0,,
imglib2,net.imglib2.LocalizableTest.testGetFloatPosition,0,0,,
imglib2,net.imglib2.LocalizableTest.testGetIntPosition,0,0,,
imglib2,net.imglib2.LocalizableTest.testLocalizeWithInts,0,0,,
imglib2,net.imglib2.LocalizableTest.testLocalizeWithLongs,0,0,,
imglib2,net.imglib2.PointTest.testBck,0,0,,
imglib2,net.imglib2.PointTest.testEquals,3,2,"net.imglib2.util.Localizables.equals,,net.imglib2.RealPoint.equals,net.imglib2.Point.equals",",net.imglib2.RealPoint.equals,net.imglib2.Point.equals"
imglib2,net.imglib2.PointTest.testFwd,0,0,,
imglib2,net.imglib2.PointTest.testGetDoublePosition,0,0,,
imglib2,net.imglib2.PointTest.testGetFloatPosition,0,0,,
imglib2,net.imglib2.PointTest.testGetIntPosition,0,0,,
imglib2,net.imglib2.PointTest.testGetLongPosition,0,0,,
imglib2,net.imglib2.PointTest.testHashCode,1,1,",net.imglib2.Point.hashCode",",net.imglib2.Point.hashCode"
imglib2,net.imglib2.PointTest.testLocalizeDoubleArray,0,0,,
imglib2,net.imglib2.PointTest.testLocalizeFloatArray,0,0,,
imglib2,net.imglib2.PointTest.testLocalizeIntArray,0,0,,
imglib2,net.imglib2.PointTest.testLocalizeLongArray,0,0,,
imglib2,net.imglib2.PointTest.testMoveIntArray,0,0,,
imglib2,net.imglib2.PointTest.testMoveIntInt,1,1,",net.imglib2.Point.move",",net.imglib2.Point.move"
imglib2,net.imglib2.PointTest.testMoveLocalizable,0,0,,
imglib2,net.imglib2.PointTest.testMoveLongArray,1,1,",net.imglib2.Point.move",",net.imglib2.Point.move"
imglib2,net.imglib2.PointTest.testMoveLongInt,0,0,,
imglib2,net.imglib2.PointTest.testNumDimensions,0,0,,
imglib2,net.imglib2.PointTest.testPointInt,0,0,,
imglib2,net.imglib2.PointTest.testPointIntArray,0,0,,
imglib2,net.imglib2.PointTest.testPointLocalizable,0,0,,
imglib2,net.imglib2.PointTest.testPointLongArray,0,0,,
imglib2,net.imglib2.PointTest.testSetPositionIntArray,0,0,,
imglib2,net.imglib2.PointTest.testSetPositionIntInt,0,0,,
imglib2,net.imglib2.PointTest.testSetPositionLocalizable,2,2,",net.imglib2.RealPoint.setPosition,net.imglib2.Point.setPosition",",net.imglib2.RealPoint.setPosition,net.imglib2.Point.setPosition"
imglib2,net.imglib2.PointTest.testSetPositionLongArray,0,0,,
imglib2,net.imglib2.PointTest.testSetPositionLongInt,1,1,",net.imglib2.AbstractLocalizable.getLongPosition",",net.imglib2.AbstractLocalizable.getLongPosition"
imglib2,net.imglib2.PointTest.testToString,3,2,",net.imglib2.Point.toString,net.imglib2.RealPoint.toString,net.imglib2.util.Localizables.toString",",net.imglib2.Point.toString,net.imglib2.RealPoint.toString"
