Project Name,Test Name,Count,Direct Count,Methods,Direct Methods
iri,com.iota.iri.BundleValidatorTest.checkBundleNonTailApproval,14,2,",com.iota.iri.BundleValidator.validateBundleTailApproval,com.iota.iri.storage.Tangle.saveBatch,com.iota.iri.storage.Tangle.exists,com.iota.iri.controllers.TransactionViewModel.getBranchTransaction,com.iota.iri.controllers.TransactionViewModel.getTrunkTransaction,com.iota.iri.crypto.SpongeFactory.create,com.iota.iri.controllers.TransactionViewModel.getSaveBatch,com.iota.iri.utils.Converter.bytes,com.iota.iri.utils.Converter.allocateTritsForTrytes,com.iota.iri.model.persistables.Transaction.metadata,com.iota.iri.crypto.Curl.transform,com.iota.iri.model.AbstractHash.trailingZeros,com.iota.iri.controllers.TransactionViewModel.getAddressHash,com.iota.iri.controllers.TransactionViewModel.getMetadataSaveBatch,com.iota.iri.controllers.TransactionViewModel.fromHash,com.iota.iri.model.persistables.Hashes.bytes,com.iota.iri.BundleValidatorTest.persistAndMapTxs,com.iota.iri.utils.Converter.trits,com.iota.iri.model.AbstractHash.bytes,com.iota.iri.crypto.Curl.squeeze,com.iota.iri.storage.Tangle.load,com.iota.iri.utils.Converter.allocatingTritsFromTrytes,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.mayExist,com.iota.iri.controllers.TransactionViewModel.store,com.iota.iri.model.safe.SafeObject.getData,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.get,com.iota.iri.model.TransactionHash.calculate,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.exists,com.iota.iri.controllers.TransactionViewModel.exists,com.iota.iri.crypto.Curl.absorb,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.saveBatch",",com.iota.iri.BundleValidatorTest.persistAndMapTxs,com.iota.iri.BundleValidator.validateBundleTailApproval"
iri,com.iota.iri.BundleValidatorTest.checkBundleTailApproval,16,2,",com.iota.iri.BundleValidator.validateBundleTailApproval,com.iota.iri.storage.Tangle.saveBatch,com.iota.iri.storage.Tangle.exists,com.iota.iri.controllers.TransactionViewModel.getTrunkTransaction,com.iota.iri.controllers.TransactionViewModel.getBranchTransaction,com.iota.iri.crypto.SpongeFactory.create,com.iota.iri.controllers.TransactionViewModel.getSaveBatch,com.iota.iri.utils.Converter.bytes,com.iota.iri.utils.Converter.allocateTritsForTrytes,com.iota.iri.model.AbstractHash.hashCode,com.iota.iri.model.persistables.Transaction.readMetadata,com.iota.iri.crypto.Curl.transform,com.iota.iri.controllers.TransactionViewModel.getMetadataSaveBatch,com.iota.iri.controllers.TransactionViewModel.fromHash,com.iota.iri.model.persistables.Hashes.bytes,com.iota.iri.BundleValidatorTest.persistAndMapTxs,com.iota.iri.utils.Converter.trits,com.iota.iri.model.AbstractHash.bytes,com.iota.iri.crypto.Curl.squeeze,com.iota.iri.storage.Tangle.load,com.iota.iri.utils.Converter.allocatingTritsFromTrytes,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.mayExist,com.iota.iri.controllers.TransactionViewModel.store,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.get,com.iota.iri.model.TransactionHash.calculate,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.exists,com.iota.iri.utils.Converter.allocateBytesForTrits,com.iota.iri.controllers.TransactionViewModel.exists,com.iota.iri.crypto.Curl.absorb,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.saveBatch",",com.iota.iri.BundleValidatorTest.persistAndMapTxs,com.iota.iri.BundleValidator.validateBundleTailApproval"
iri,com.iota.iri.BundleValidatorTest.checkBundleTransactionsApproval,15,1,",com.iota.iri.storage.Tangle.saveBatch,com.iota.iri.storage.Tangle.exists,com.iota.iri.crypto.SpongeFactory.create,com.iota.iri.utils.Converter.bytes,com.iota.iri.controllers.TransactionViewModel.getSaveBatch,com.iota.iri.utils.Converter.allocateTritsForTrytes,com.iota.iri.model.persistables.Transaction.metadata,com.iota.iri.crypto.Curl.transform,com.iota.iri.controllers.TransactionViewModel.getMetadataSaveBatch,com.iota.iri.model.persistables.Hashes.bytes,com.iota.iri.controllers.TransactionViewModel.getObsoleteTagValue,com.iota.iri.BundleValidatorTest.persistAndMapTxs,com.iota.iri.crypto.Curl.reset,com.iota.iri.utils.Converter.trits,com.iota.iri.model.AbstractHash.bytes,com.iota.iri.crypto.Curl.squeeze,com.iota.iri.utils.Converter.allocatingTritsFromTrytes,com.iota.iri.controllers.TransactionViewModel.store,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.mayExist,com.iota.iri.utils.Serializer.serialize,com.iota.iri.model.TransactionHash.calculate,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.exists,com.iota.iri.controllers.TransactionViewModel.exists,com.iota.iri.crypto.Curl.absorb,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.saveBatch",",com.iota.iri.BundleValidatorTest.persistAndMapTxs"
iri,com.iota.iri.BundleValidatorTest.checkBundleTransactionsApprovalFailure,12,2,",com.iota.iri.storage.Tangle.saveBatch,com.iota.iri.storage.Tangle.exists,com.iota.iri.crypto.SpongeFactory.create,com.iota.iri.controllers.TransactionViewModel.getSaveBatch,com.iota.iri.utils.Converter.bytes,com.iota.iri.model.persistables.Transaction.metadata,com.iota.iri.crypto.Curl.transform,com.iota.iri.controllers.TransactionViewModel.getMetadataSaveBatch,com.iota.iri.model.persistables.Hashes.bytes,com.iota.iri.controllers.TransactionViewModel.getObsoleteTagValue,com.iota.iri.BundleValidatorTest.persistAndMapTxs,com.iota.iri.utils.Converter.trits,com.iota.iri.model.AbstractHash.bytes,com.iota.iri.BundleValidator.validateBundleTransactionsApproval,com.iota.iri.crypto.Curl.squeeze,com.iota.iri.utils.Converter.allocatingTritsFromTrytes,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.mayExist,com.iota.iri.controllers.TransactionViewModel.store,com.iota.iri.model.TransactionHash.calculate,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.exists,com.iota.iri.controllers.TransactionViewModel.exists,com.iota.iri.crypto.Curl.absorb,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.saveBatch",",com.iota.iri.BundleValidator.validateBundleTransactionsApproval,com.iota.iri.BundleValidatorTest.persistAndMapTxs"
iri,com.iota.iri.BundleValidatorTest.checkInconsistencyOfConsistentBundle,14,2,",com.iota.iri.storage.Tangle.saveBatch,com.iota.iri.storage.Tangle.exists,com.iota.iri.crypto.SpongeFactory.create,com.iota.iri.controllers.TransactionViewModel.getSaveBatch,com.iota.iri.utils.Converter.bytes,com.iota.iri.utils.Converter.allocateTritsForTrytes,com.iota.iri.crypto.Curl.transform,com.iota.iri.controllers.TransactionViewModel.getMetadataSaveBatch,com.iota.iri.controllers.TransactionViewModel.getObsoleteTagValue,com.iota.iri.BundleValidatorTest.persistAndMapTxs,com.iota.iri.utils.Converter.trits,com.iota.iri.model.AbstractHash.bytes,com.iota.iri.crypto.Curl.squeeze,com.iota.iri.utils.Converter.allocatingTritsFromTrytes,com.iota.iri.controllers.TransactionViewModel.store,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.mayExist,com.iota.iri.BundleValidator.isInconsistent,com.iota.iri.model.TransactionHash.calculate,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.exists,com.iota.iri.controllers.TransactionViewModel.exists,com.iota.iri.crypto.Curl.absorb,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.saveBatch",",com.iota.iri.BundleValidator.isInconsistent,com.iota.iri.BundleValidatorTest.persistAndMapTxs"
iri,com.iota.iri.BundleValidatorTest.checkInconsistencyOfInconsistentBundle,20,2,",com.iota.iri.storage.Tangle.saveBatch,com.iota.iri.storage.Tangle.exists,com.iota.iri.utils.Converter.bytes,com.iota.iri.controllers.TransactionViewModel.getSaveBatch,com.iota.iri.crypto.SpongeFactory.create,com.iota.iri.utils.Converter.allocateTritsForTrytes,com.iota.iri.model.AbstractHash.hashCode,com.iota.iri.model.persistables.Transaction.metadata,com.iota.iri.crypto.Curl.transform,com.iota.iri.controllers.TransactionViewModel.getMetadataSaveBatch,com.iota.iri.model.persistables.Hashes.bytes,com.iota.iri.controllers.TransactionViewModel.getObsoleteTagValue,com.iota.iri.BundleValidatorTest.persistAndMapTxs,com.iota.iri.utils.Converter.trits,com.iota.iri.model.AbstractHash.bytes,com.iota.iri.service.snapshot.impl.SnapshotImpl.hasSolidEntryPoint,com.iota.iri.crypto.Curl.squeeze,com.iota.iri.utils.Converter.allocatingTritsFromTrytes,com.iota.iri.controllers.TransactionViewModel.store,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.mayExist,com.iota.iri.BundleValidator.isInconsistent,com.iota.iri.model.TransactionHash.calculate,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.exists,com.iota.iri.service.snapshot.impl.SnapshotMetaDataImpl.hasSolidEntryPoint,com.iota.iri.controllers.TransactionViewModel.exists,com.iota.iri.crypto.Curl.absorb,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.saveBatch",",com.iota.iri.BundleValidator.isInconsistent,com.iota.iri.BundleValidatorTest.persistAndMapTxs"
iri,com.iota.iri.BundleValidatorTest.validateBiggerValidBundle,38,2,"com.iota.iri.utils.Converter.getTrits,com.iota.iri.controllers.TransactionViewModel.update,,com.iota.iri.BundleValidator.validateBundleTailApproval,com.iota.iri.storage.Tangle.saveBatch,com.iota.iri.controllers.TransactionViewModel.setMetadata,com.iota.iri.storage.Tangle.exists,com.iota.iri.controllers.TransactionViewModel.getTrunkTransaction,com.iota.iri.crypto.Kerl.bigIntFromTrits,com.iota.iri.controllers.TransactionViewModel.getBranchTransaction,com.iota.iri.storage.Tangle.update,com.iota.iri.utils.Converter.bytes,com.iota.iri.crypto.SpongeFactory.create,com.iota.iri.controllers.TransactionViewModel.getSaveBatch,com.iota.iri.crypto.Kerl.tritsFromBigInt,com.iota.iri.utils.Converter.longValue,com.iota.iri.utils.Converter.allocateTritsForTrytes,com.iota.iri.model.AbstractHash.hashCode,com.iota.iri.model.persistables.Transaction.readMetadata,com.iota.iri.model.persistables.Transaction.metadata,com.iota.iri.utils.Converter.allocateBytesForTrits,com.iota.iri.crypto.Curl.transform,com.iota.iri.crypto.Kerl.squeeze,com.iota.iri.model.AbstractHash.trailingZeros,com.iota.iri.model.AbstractHash.trits,com.iota.iri.controllers.TransactionViewModel.fromHash,com.iota.iri.controllers.TransactionViewModel.getMetadataSaveBatch,com.iota.iri.model.persistables.Hashes.bytes,com.iota.iri.crypto.Kerl.absorb,com.iota.iri.BundleValidatorTest.persistAndMapTxs,com.iota.iri.controllers.TransactionViewModel.exists,com.iota.iri.utils.Converter.trits,com.iota.iri.controllers.TransactionViewModel.setValidity,com.iota.iri.model.AbstractHash.bytes,com.iota.iri.service.snapshot.impl.SnapshotImpl.hasSolidEntryPoint,com.iota.iri.BundleValidator.validateBundleTransactionsApproval,com.iota.iri.utils.TransactionTruncator.expandTransaction,com.iota.iri.crypto.Curl.squeeze,com.iota.iri.controllers.TransactionViewModel.getTrunkTransactionHash,com.iota.iri.storage.Tangle.load,com.iota.iri.storage.Tangle.updatePersistenceProvider,com.iota.iri.BundleValidator.loadTransactionsFromTangle,com.iota.iri.controllers.TransactionViewModel.trits,com.iota.iri.model.persistables.Transaction.read,com.iota.iri.crypto.ISSInPlace.digest,com.iota.iri.utils.Converter.allocatingTritsFromTrytes,com.iota.iri.crypto.Kerl.reset,com.iota.iri.BundleValidator.validateBundleHash,com.iota.iri.controllers.TransactionViewModel.store,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.mayExist,com.iota.iri.controllers.TransactionViewModel.getTagValue,com.iota.iri.utils.Serializer.serialize,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.get,com.iota.iri.crypto.Kerl.bytesFromBigInt,com.iota.iri.BundleValidator.validateSignatures,com.iota.iri.crypto.ISSInPlace.normalizedBundle,com.iota.iri.model.TransactionHash.calculate,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.update,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.exists,com.iota.iri.BundleValidator.validateBundleSemantics,com.iota.iri.service.snapshot.impl.SnapshotMetaDataImpl.hasSolidEntryPoint,com.iota.iri.BundleValidator.validate,com.iota.iri.crypto.Curl.absorb,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.saveBatch",",com.iota.iri.BundleValidatorTest.persistAndMapTxs,com.iota.iri.BundleValidator.validate"
iri,com.iota.iri.BundleValidatorTest.validateBundleHashOfBundleWithInvalidBundleHash,16,2,",com.iota.iri.storage.Tangle.saveBatch,com.iota.iri.storage.Tangle.exists,com.iota.iri.crypto.Kerl.bigIntFromTrits,com.iota.iri.utils.Converter.bytes,com.iota.iri.controllers.TransactionViewModel.getSaveBatch,com.iota.iri.crypto.SpongeFactory.create,com.iota.iri.crypto.Kerl.tritsFromBigInt,com.iota.iri.utils.Converter.allocateTritsForTrytes,com.iota.iri.crypto.Curl.transform,com.iota.iri.crypto.Kerl.squeeze,com.iota.iri.controllers.TransactionViewModel.getMetadataSaveBatch,com.iota.iri.model.persistables.Hashes.bytes,com.iota.iri.crypto.Kerl.absorb,com.iota.iri.BundleValidatorTest.persistAndMapTxs,com.iota.iri.utils.Converter.trits,com.iota.iri.crypto.Curl.squeeze,com.iota.iri.utils.Converter.allocatingTritsFromTrytes,com.iota.iri.BundleValidator.validateBundleHash,com.iota.iri.controllers.TransactionViewModel.store,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.mayExist,com.iota.iri.controllers.TransactionViewModel.getTagValue,com.iota.iri.model.TransactionHash.calculate,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.exists,com.iota.iri.controllers.TransactionViewModel.exists,com.iota.iri.crypto.Curl.absorb,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.saveBatch",",com.iota.iri.BundleValidator.validateBundleHash,com.iota.iri.BundleValidatorTest.persistAndMapTxs"
iri,com.iota.iri.BundleValidatorTest.validateBundleHashOfValidBundle,22,2,",com.iota.iri.storage.Tangle.saveBatch,com.iota.iri.storage.Tangle.exists,com.iota.iri.crypto.Kerl.bigIntFromTrits,com.iota.iri.utils.Converter.bytes,com.iota.iri.crypto.SpongeFactory.create,com.iota.iri.controllers.TransactionViewModel.getSaveBatch,com.iota.iri.crypto.Kerl.tritsFromBigInt,com.iota.iri.utils.Converter.allocateTritsForTrytes,com.iota.iri.model.AbstractHash.hashCode,com.iota.iri.model.persistables.Transaction.metadata,com.iota.iri.crypto.Curl.transform,com.iota.iri.crypto.Kerl.squeeze,com.iota.iri.controllers.TransactionViewModel.getMetadataSaveBatch,com.iota.iri.model.persistables.Hashes.bytes,com.iota.iri.crypto.Kerl.absorb,com.iota.iri.BundleValidatorTest.persistAndMapTxs,com.iota.iri.utils.Converter.trits,com.iota.iri.model.AbstractHash.bytes,com.iota.iri.service.snapshot.impl.SnapshotImpl.hasSolidEntryPoint,com.iota.iri.crypto.Curl.squeeze,com.iota.iri.utils.Converter.allocatingTritsFromTrytes,com.iota.iri.BundleValidator.validateBundleHash,com.iota.iri.controllers.TransactionViewModel.store,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.mayExist,com.iota.iri.controllers.TransactionViewModel.getTagValue,com.iota.iri.crypto.ISSInPlace.normalizedBundle,com.iota.iri.model.TransactionHash.calculate,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.exists,com.iota.iri.service.snapshot.impl.SnapshotMetaDataImpl.hasSolidEntryPoint,com.iota.iri.controllers.TransactionViewModel.exists,com.iota.iri.crypto.Curl.absorb,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.saveBatch",",com.iota.iri.BundleValidator.validateBundleHash,com.iota.iri.BundleValidatorTest.persistAndMapTxs"
iri,com.iota.iri.BundleValidatorTest.validateBundleNonTailApprovalFailure,36,5,"com.iota.iri.utils.Converter.getTrits,com.iota.iri.controllers.TransactionViewModel.update,,com.iota.iri.BundleValidator.validateBundleTailApproval,com.iota.iri.storage.Tangle.saveBatch,com.iota.iri.storage.Tangle.exists,com.iota.iri.controllers.TransactionViewModel.setMetadata,com.iota.iri.controllers.TransactionViewModel.getTrunkTransaction,com.iota.iri.storage.Tangle.update,com.iota.iri.controllers.TransactionViewModel.getBranchTransaction,com.iota.iri.crypto.Kerl.bigIntFromTrits,com.iota.iri.utils.Converter.bytes,com.iota.iri.crypto.SpongeFactory.create,com.iota.iri.controllers.TransactionViewModel.getSaveBatch,com.iota.iri.crypto.Kerl.tritsFromBigInt,com.iota.iri.utils.Converter.allocateTritsForTrytes,com.iota.iri.utils.Converter.longValue,com.iota.iri.TransactionTestUtils.getTransactionTrits,com.iota.iri.model.persistables.Transaction.readMetadata,com.iota.iri.crypto.Curl.transform,com.iota.iri.crypto.Kerl.squeeze,com.iota.iri.controllers.TransactionViewModel.fromHash,com.iota.iri.controllers.TransactionViewModel.getMetadataSaveBatch,com.iota.iri.model.persistables.Hashes.bytes,com.iota.iri.TransactionTestUtils.getTrits,com.iota.iri.storage.Tangle.updateMessageQueueProvider,com.iota.iri.crypto.Kerl.absorb,com.iota.iri.BundleValidatorTest.persistAndMapTxs,com.iota.iri.crypto.Curl.reset,com.iota.iri.controllers.TransactionViewModel.exists,com.iota.iri.TransactionTestUtils.createBundleHead,com.iota.iri.controllers.TransactionViewModel.setValidity,com.iota.iri.utils.Converter.trits,com.iota.iri.utils.TransactionTruncator.expandTransaction,com.iota.iri.crypto.Curl.squeeze,com.iota.iri.controllers.TransactionViewModel.setAttachmentData,com.iota.iri.storage.Tangle.load,com.iota.iri.controllers.TransactionViewModel.getBundleHash,com.iota.iri.storage.Tangle.updatePersistenceProvider,com.iota.iri.BundleValidator.loadTransactionsFromTangle,com.iota.iri.controllers.TransactionViewModel.trits,com.iota.iri.model.persistables.Transaction.read,com.iota.iri.utils.Converter.allocatingTritsFromTrytes,com.iota.iri.controllers.TransactionViewModel.getValidity,com.iota.iri.BundleValidator.validateBundleHash,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.mayExist,com.iota.iri.controllers.TransactionViewModel.store,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.get,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.update,com.iota.iri.crypto.ISSInPlace.normalizedBundle,com.iota.iri.model.TransactionHash.calculate,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.exists,com.iota.iri.BundleValidator.validateBundleSemantics,com.iota.iri.BundleValidator.validate,com.iota.iri.crypto.Curl.absorb,com.iota.iri.storage.rocksDB.RocksDBPersistenceProvider.saveBatch",",com.iota.iri.BundleValidatorTest.persistAndMapTxs,com.iota.iri.TransactionTestUtils.createBundleHead,com.iota.iri.utils.Converter.trits,com.iota.iri.BundleValidator.validate,com.iota.iri.controllers.TransactionViewModel.store"
