Project Name,Test Name,Count,Direct Count,Methods,Direct Methods
logbook,org.zalando.logbook.BodyFilterMergeTest.mergesConsecutiveMergeableFilters,1,1,",org.zalando.logbook.BodyFilterMergeTest.merge",",org.zalando.logbook.BodyFilterMergeTest.merge"
logbook,org.zalando.logbook.BodyFilterMergeTest.nonMergeablePairMergesRightSide,2,1,",org.zalando.logbook.NonMergeableBodyFilterPair.tryMerge,org.zalando.logbook.BodyFilterMergeTest.merge",",org.zalando.logbook.BodyFilterMergeTest.merge"
logbook,org.zalando.logbook.BodyFilterMergeTest.noneMergesWithAnything,0,0,,
logbook,org.zalando.logbook.BodyFilterTest.noneShouldDefaultToNoOp,0,0,,
logbook,org.zalando.logbook.BodyFiltersTest.filtersClientSecretByOauthRequestFilterByDefault,7,1,",org.zalando.logbook.QueryFilters.replaceQuery,org.zalando.logbook.BodyFilters.replaceFormUrlEncodedProperty,org.zalando.logbook.DefaultFilters.defaultValues,org.zalando.logbook.BodyFilters.oauthRequest,org.zalando.logbook.common.MediaTypeQuery.compile,org.zalando.logbook.common.PatternLike.toPattern,org.zalando.logbook.BodyFilters.defaultValue",",org.zalando.logbook.BodyFilters.defaultValue"
logbook,org.zalando.logbook.BodyFiltersTest.shouldFilterFormUrlEncodedBodyIfValidRequest,5,1,",org.zalando.logbook.QueryFilters.replaceQuery,org.zalando.logbook.BodyFilters.replaceFormUrlEncodedProperty,org.zalando.logbook.common.MediaTypeQuery.compile,org.zalando.logbook.common.PatternLike.toPattern,org.zalando.logbook.common.PatternLike.quote",",org.zalando.logbook.BodyFilters.replaceFormUrlEncodedProperty"
logbook,org.zalando.logbook.BodyFiltersTest.shouldNotFilterFormUrlEncodedBodyIfNotValidContent,3,1,",org.zalando.logbook.common.MediaTypeQuery.compile,org.zalando.logbook.QueryFilters.replaceQuery,org.zalando.logbook.BodyFilters.replaceFormUrlEncodedProperty",",org.zalando.logbook.BodyFilters.replaceFormUrlEncodedProperty"
logbook,org.zalando.logbook.BodyFiltersTest.shouldNotFilterFormUrlEncodedBodyIfNotValidContentType,4,1,",org.zalando.logbook.QueryFilters.replaceQuery,org.zalando.logbook.BodyFilters.replaceFormUrlEncodedProperty,org.zalando.logbook.common.MediaTypeQuery.compile,org.zalando.logbook.common.PatternLike.toPattern",",org.zalando.logbook.BodyFilters.replaceFormUrlEncodedProperty"
logbook,org.zalando.logbook.BodyFiltersTest.shouldNotTruncateBodyIfTooShort,0,0,,
logbook,org.zalando.logbook.BodyFiltersTest.shouldTruncateBodyIfTooLong,1,1,",org.zalando.logbook.BodyFilters.truncate",",org.zalando.logbook.BodyFilters.truncate"
logbook,org.zalando.logbook.BodyFiltersTest.wontFilterClientSecretInTextPlainByOauthRequestFilter,5,1,",org.zalando.logbook.QueryFilters.replaceQuery,org.zalando.logbook.BodyFilters.replaceFormUrlEncodedProperty,org.zalando.logbook.BodyFilters.oauthRequest,org.zalando.logbook.common.MediaTypeQuery.compile,org.zalando.logbook.common.PatternLike.toPattern",",org.zalando.logbook.BodyFilters.oauthRequest"
logbook,org.zalando.logbook.BodyOnlyIfStatusAtLeastStrategyTest.shouldDeferWritingOfRequest,8,1,",org.zalando.logbook.DefaultLogbook.newPrecorrelation,org.zalando.logbook.CachingHttpRequest.getHeaders,org.zalando.logbook.DefaultLogbook.process,org.zalando.logbook.Fold.fold,org.zalando.logbook.Cache.get,org.zalando.logbook.CachingHttpRequest.delegate,org.zalando.logbook.DefaultCorrelationId.generate,org.zalando.logbook.DefaultHttpHeaders.delete",",org.zalando.logbook.DefaultLogbook.process"
logbook,org.zalando.logbook.BodyOnlyIfStatusAtLeastStrategyTest.shouldLogBothWhenError,0,0,,
logbook,org.zalando.logbook.BodyOnlyIfStatusAtLeastStrategyTest.shouldNotWriteAnythingWhenSuccessful,0,0,,
logbook,org.zalando.logbook.BodyReplacerTest.shouldStopOnFirstReplacerThatReplaced,0,0,,
logbook,org.zalando.logbook.BodyReplacersTest.shouldNotReplaceWith,0,0,,
