Project Name,Test Name,Count,Direct Count,Methods,Direct Methods
objenesis,org.objenesis.ExternalizableTest.test,10,1,"org.objenesis.instantiator.sun.SunReflectionFactoryHelper.newConstructorForSerialization,org.objenesis.ObjenesisHelper.newSerializableInstance,org.objenesis.instantiator.sun.SunReflectionFactoryHelper.getReflectionFactoryClass,org.objenesis.instantiator.sun.SunReflectionFactoryHelper.createReflectionFactory,,org.objenesis.instantiator.sun.SunReflectionFactorySerializationInstantiator.newInstance,org.objenesis.instantiator.sun.SunReflectionFactoryHelper.getNewConstructorForSerializationMethod,org.objenesis.strategy.SerializingInstantiatorStrategy.newInstantiatorOf,org.objenesis.instantiator.SerializationInstantiatorHelper.getNonSerializableSuperClass,org.objenesis.ObjenesisBase.getInstantiatorOf,org.objenesis.ObjenesisBase.newInstance",",org.objenesis.ObjenesisHelper.newSerializableInstance"
objenesis,org.objenesis.ObjenesisExceptionTest.testObjenesisExceptionString,0,0,,
objenesis,org.objenesis.ObjenesisExceptionTest.testObjenesisExceptionStringThrowable,0,0,,
objenesis,org.objenesis.ObjenesisExceptionTest.testObjenesisExceptionThrowable,0,0,,
objenesis,org.objenesis.ObjenesisTest.testGetInstantiatorOf,8,2,"org.objenesis.instantiator.sun.SunReflectionFactoryHelper.newConstructorForSerialization,org.objenesis.instantiator.sun.SunReflectionFactoryHelper.createReflectionFactory,org.objenesis.instantiator.sun.SunReflectionFactoryHelper.getReflectionFactoryClass,,org.objenesis.instantiator.sun.SunReflectionFactoryInstantiator.getJavaLangObjectConstructor,org.objenesis.instantiator.sun.SunReflectionFactoryHelper.getNewConstructorForSerializationMethod,org.objenesis.instantiator.sun.SunReflectionFactoryInstantiator.newInstance,org.objenesis.strategy.StdInstantiatorStrategy.newInstantiatorOf,org.objenesis.ObjenesisBase.getInstantiatorOf",",org.objenesis.ObjenesisBase.getInstantiatorOf,org.objenesis.instantiator.sun.SunReflectionFactoryInstantiator.newInstance"
objenesis,org.objenesis.ObjenesisTest.testGetInstantiatorOf_primitive,0,0,,
objenesis,org.objenesis.ObjenesisTest.testNewInstance,8,1,"org.objenesis.instantiator.sun.SunReflectionFactoryHelper.newConstructorForSerialization,org.objenesis.instantiator.sun.SunReflectionFactoryHelper.createReflectionFactory,org.objenesis.instantiator.sun.SunReflectionFactoryHelper.getReflectionFactoryClass,,org.objenesis.instantiator.sun.SunReflectionFactoryHelper.getNewConstructorForSerializationMethod,org.objenesis.instantiator.sun.SunReflectionFactoryInstantiator.newInstance,org.objenesis.strategy.StdInstantiatorStrategy.newInstantiatorOf,org.objenesis.ObjenesisBase.getInstantiatorOf,org.objenesis.ObjenesisBase.newInstance",",org.objenesis.ObjenesisBase.newInstance"
objenesis,org.objenesis.ObjenesisTest.testObjenesis,0,0,,
objenesis,org.objenesis.ObjenesisTest.testObjenesis_WithoutCache,10,3,"org.objenesis.instantiator.sun.SunReflectionFactoryHelper.newConstructorForSerialization,org.objenesis.instantiator.sun.SunReflectionFactoryHelper.createReflectionFactory,org.objenesis.instantiator.sun.SunReflectionFactoryHelper.getReflectionFactoryClass,org.objenesis.ObjenesisBase.toString,,org.objenesis.instantiator.sun.SunReflectionFactoryInstantiator.getJavaLangObjectConstructor,org.objenesis.instantiator.sun.SunReflectionFactoryHelper.getNewConstructorForSerializationMethod,org.objenesis.instantiator.sun.SunReflectionFactoryInstantiator.newInstance,org.objenesis.strategy.PlatformDescription.isThisJVM,org.objenesis.strategy.StdInstantiatorStrategy.newInstantiatorOf,org.objenesis.ObjenesisBase.getInstantiatorOf","org.objenesis.ObjenesisBase.toString,,org.objenesis.ObjenesisBase.getInstantiatorOf,org.objenesis.instantiator.sun.SunReflectionFactoryInstantiator.newInstance"
objenesis,org.objenesis.ObjenesisTest.testToString,1,1,"org.objenesis.ObjenesisBase.toString,","org.objenesis.ObjenesisBase.toString,"
