Project Name,Test Name,Count,Direct Count,Methods,Direct Methods
r2dbc-h2,io.r2dbc.h2.H2BatchTest.addNoSql,2,1,",io.r2dbc.h2.H2Batch.add,io.r2dbc.h2.util.Assert.requireNonNull",",io.r2dbc.h2.H2Batch.add"
r2dbc-h2,io.r2dbc.h2.H2BatchTest.addWithParameter,0,0,,
r2dbc-h2,io.r2dbc.h2.H2BatchTest.constructorNoClient,2,2,",io.r2dbc.h2.codecs.MockCodecs.empty,io.r2dbc.h2.util.Assert.requireNonNull",",io.r2dbc.h2.codecs.MockCodecs.empty,io.r2dbc.h2.util.Assert.requireNonNull"
r2dbc-h2,io.r2dbc.h2.H2BatchTest.constructorNoCodecs,1,1,",io.r2dbc.h2.util.Assert.requireNonNull",",io.r2dbc.h2.util.Assert.requireNonNull"
r2dbc-h2,io.r2dbc.h2.H2BatchTest.execute,7,4,",io.r2dbc.h2.H2Batch.execute,io.r2dbc.h2.codecs.MockCodecs.builder,io.r2dbc.h2.CommandUtil.clearForReuse,io.r2dbc.h2.H2Batch.add,io.r2dbc.h2.H2RowMetadata.getColumnMetadatas,io.r2dbc.h2.H2RowMetadata.toRowMetadata,io.r2dbc.h2.codecs.MockCodecs.empty,io.r2dbc.h2.H2Result.toResult,io.r2dbc.h2.ColumnSource.getNameKeyedColumns",",io.r2dbc.h2.H2Batch.execute,io.r2dbc.h2.CommandUtil.clearForReuse,io.r2dbc.h2.H2Batch.add,io.r2dbc.h2.codecs.MockCodecs.empty,io.r2dbc.h2.H2Result.toResult"
r2dbc-h2,io.r2dbc.h2.H2BatchTest.executeErrorResponse,1,1,",io.r2dbc.h2.H2DatabaseExceptionFactory.convert",",io.r2dbc.h2.H2DatabaseExceptionFactory.convert"
r2dbc-h2,io.r2dbc.h2.H2ColumnMetadataTest.constructorNoName,1,1,",io.r2dbc.h2.util.Assert.requireNonNull",",io.r2dbc.h2.util.Assert.requireNonNull"
r2dbc-h2,io.r2dbc.h2.H2ColumnMetadataTest.constructorNoNativeType,1,1,",io.r2dbc.h2.util.Assert.requireNonNull",",io.r2dbc.h2.util.Assert.requireNonNull"
r2dbc-h2,io.r2dbc.h2.H2ColumnMetadataTest.constructorNoNullability,1,1,",io.r2dbc.h2.util.Assert.requireNonNull",",io.r2dbc.h2.util.Assert.requireNonNull"
r2dbc-h2,io.r2dbc.h2.H2ColumnMetadataTest.constructorNoPrecision,1,1,",io.r2dbc.h2.util.Assert.requireNonNull",",io.r2dbc.h2.util.Assert.requireNonNull"
r2dbc-h2,io.r2dbc.h2.H2ColumnMetadataTest.constructorNoScale,1,1,",io.r2dbc.h2.util.Assert.requireNonNull",",io.r2dbc.h2.util.Assert.requireNonNull"
r2dbc-h2,io.r2dbc.h2.H2ColumnMetadataTest.toColumnMetadata,4,4,",io.r2dbc.h2.codecs.MockCodecs.builder,io.r2dbc.h2.H2ColumnMetadata.getPrecision,io.r2dbc.h2.codecs.MockCodecs.preferredType,io.r2dbc.h2.H2ColumnMetadata.getJavaType,io.r2dbc.h2.H2ColumnMetadata.toColumnMetadata,io.r2dbc.h2.H2ColumnMetadata.getScale",",io.r2dbc.h2.H2ColumnMetadata.getPrecision,io.r2dbc.h2.codecs.MockCodecs.builder,io.r2dbc.h2.H2ColumnMetadata.getJavaType,io.r2dbc.h2.H2ColumnMetadata.toColumnMetadata,io.r2dbc.h2.H2ColumnMetadata.getScale"
r2dbc-h2,io.r2dbc.h2.H2ColumnMetadataTest.toColumnMetadataNoCodecs,2,1,",io.r2dbc.h2.H2ColumnMetadata.toColumnMetadata,io.r2dbc.h2.util.Assert.requireNonNull",",io.r2dbc.h2.H2ColumnMetadata.toColumnMetadata"
r2dbc-h2,io.r2dbc.h2.H2ColumnMetadataTest.toColumnMetadataNoResult,4,2,",io.r2dbc.h2.codecs.MockCodecs.builder,io.r2dbc.h2.util.Assert.requireNonNull,io.r2dbc.h2.codecs.MockCodecs.empty,io.r2dbc.h2.H2ColumnMetadata.toColumnMetadata",",io.r2dbc.h2.H2ColumnMetadata.toColumnMetadata,io.r2dbc.h2.codecs.MockCodecs.empty"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.closedDatabaseFailsToCreateConnections,14,2,",io.r2dbc.h2.client.SessionClient.createCommand,io.r2dbc.h2.client.SessionClient.update,io.r2dbc.h2.H2ConnectionFactory.inMemory,io.r2dbc.h2.codecs.DefaultCodecs.addOptionalCodecs,io.r2dbc.h2.util.Assert.requireNonNull,io.r2dbc.h2.H2Statement.execute,io.r2dbc.h2.codecs.DefaultCodecs.createCodecs,io.r2dbc.h2.H2Result.getRowsUpdated,io.r2dbc.h2.H2Connection.close,io.r2dbc.h2.H2ConnectionFactory.getConnectionInfo,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.runCommand,io.r2dbc.h2.H2ConnectionFactory.getSessionClient,io.r2dbc.h2.codecs.DefaultCodecs.isPresent,io.r2dbc.h2.client.SessionClient.query,io.r2dbc.h2.H2Result.toResult",",io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.runCommand,io.r2dbc.h2.H2ConnectionFactory.inMemory"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.closedDatabaseShutsDownClientSessions,10,6,",io.r2dbc.h2.client.SessionClient.createCommand,io.r2dbc.h2.codecs.DefaultCodecs.addOptionalCodecs,io.r2dbc.h2.H2ConnectionFactory.inMemory,io.r2dbc.h2.H2DatabaseExceptionFactory.convert,io.r2dbc.h2.H2Statement.execute,io.r2dbc.h2.codecs.DefaultCodecs.createCodecs,io.r2dbc.h2.H2ConnectionFactory.getConnectionInfo,io.r2dbc.h2.H2ConnectionFactory.getSessionClient,io.r2dbc.h2.codecs.DefaultCodecs.isPresent,io.r2dbc.h2.client.SessionClient.query",",io.r2dbc.h2.client.SessionClient.createCommand,io.r2dbc.h2.H2ConnectionFactory.inMemory,io.r2dbc.h2.H2Statement.execute,io.r2dbc.h2.codecs.DefaultCodecs.createCodecs,io.r2dbc.h2.H2ConnectionFactory.getSessionClient,io.r2dbc.h2.client.SessionClient.query"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.databaseClosedAfterFactoryClose,13,2,",io.r2dbc.h2.client.SessionClient.createCommand,io.r2dbc.h2.client.SessionClient.update,io.r2dbc.h2.codecs.DefaultCodecs.addOptionalCodecs,io.r2dbc.h2.client.SessionClient.prepareCommand,io.r2dbc.h2.CommandUtil.clearForReuse,io.r2dbc.h2.H2ConnectionFactory.inMemory,io.r2dbc.h2.H2Connection.createStatement,io.r2dbc.h2.H2Statement.execute,io.r2dbc.h2.codecs.DefaultCodecs.createCodecs,io.r2dbc.h2.H2ConnectionConfiguration.builder,io.r2dbc.h2.H2ConnectionFactory.getConnectionInfo,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.runCommand,io.r2dbc.h2.H2ConnectionFactory.getSessionClient,io.r2dbc.h2.codecs.DefaultCodecs.isPresent,io.r2dbc.h2.client.SessionClient.query,io.r2dbc.h2.H2Result.toResult",",io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.runCommand,io.r2dbc.h2.H2ConnectionFactory.inMemory"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.retainsStateAfterRunningCommand,12,2,",io.r2dbc.h2.client.SessionClient.createCommand,io.r2dbc.h2.client.SessionClient.update,io.r2dbc.h2.H2ConnectionFactory.inMemory,io.r2dbc.h2.codecs.DefaultCodecs.addOptionalCodecs,io.r2dbc.h2.client.SessionClient.prepareCommand,io.r2dbc.h2.H2Statement.execute,io.r2dbc.h2.codecs.DefaultCodecs.createCodecs,io.r2dbc.h2.H2ConnectionFactory.getConnectionInfo,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.runCommand,io.r2dbc.h2.H2ConnectionFactory.getSessionClient,io.r2dbc.h2.codecs.DefaultCodecs.isPresent,io.r2dbc.h2.client.SessionClient.query,io.r2dbc.h2.H2Result.toResult",",io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.runCommand,io.r2dbc.h2.H2ConnectionFactory.inMemory"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryInMemoryTest.shouldCreateInMemoryDatabase,8,5,",io.r2dbc.h2.client.SessionClient.createCommand,io.r2dbc.h2.codecs.DefaultCodecs.addOptionalCodecs,io.r2dbc.h2.H2ConnectionFactory.inMemory,io.r2dbc.h2.util.Assert.requireNonNull,io.r2dbc.h2.codecs.DefaultCodecs.createCodecs,io.r2dbc.h2.H2ConnectionFactory.getConnectionInfo,io.r2dbc.h2.H2ConnectionFactory.getSessionClient,io.r2dbc.h2.codecs.DefaultCodecs.isPresent,io.r2dbc.h2.client.SessionClient.query",",io.r2dbc.h2.client.SessionClient.createCommand,io.r2dbc.h2.H2ConnectionFactory.inMemory,io.r2dbc.h2.codecs.DefaultCodecs.createCodecs,io.r2dbc.h2.H2ConnectionFactory.getSessionClient,io.r2dbc.h2.client.SessionClient.query"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryMetadataTest.name,0,0,,
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryProviderTest.doesNotSupport,2,1,",io.r2dbc.h2.H2ConnectionFactoryProvider.supports,io.r2dbc.h2.util.Assert.requireNonNull",",io.r2dbc.h2.H2ConnectionFactoryProvider.supports"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryProviderTest.doesNotSupportWithWrongDriver,1,1,",io.r2dbc.h2.H2ConnectionFactoryProvider.supports",",io.r2dbc.h2.H2ConnectionFactoryProvider.supports"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryProviderTest.doesNotSupportWithoutDriver,0,0,,
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryProviderTest.returnsDriverIdentifier,0,0,,
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryProviderTest.supportsKnownOptions,6,4,",io.r2dbc.h2.H2DatabaseExceptionFactory.convert,io.r2dbc.h2.H2ConnectionConfiguration.builder,io.r2dbc.h2.H2ConnectionFactory.getConnectionInfo,io.r2dbc.h2.H2ConnectionFactoryProvider.create,io.r2dbc.h2.H2ConnectionFactory.getSessionClient,io.r2dbc.h2.H2ConnectionFactory.create,io.r2dbc.h2.H2ConnectionFactoryProvider.supports",",io.r2dbc.h2.H2ConnectionFactoryProvider.create,io.r2dbc.h2.H2ConnectionFactory.getSessionClient,io.r2dbc.h2.H2ConnectionFactory.create,io.r2dbc.h2.H2ConnectionFactoryProvider.supports"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryProviderTest.supportsWithProtocolAndDatabase,1,1,",io.r2dbc.h2.H2ConnectionFactoryProvider.supports",",io.r2dbc.h2.H2ConnectionFactoryProvider.supports"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryProviderTest.supportsWithUrl,1,1,",io.r2dbc.h2.H2ConnectionFactoryProvider.supports",",io.r2dbc.h2.H2ConnectionFactoryProvider.supports"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryTest.constructorNoClientFactory,1,1,",io.r2dbc.h2.util.Assert.requireNonNull",",io.r2dbc.h2.util.Assert.requireNonNull"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryTest.create,8,5,",io.r2dbc.h2.client.SessionClient.createCommand,io.r2dbc.h2.H2ConnectionConfiguration.getUsername,io.r2dbc.h2.codecs.DefaultCodecs.addOptionalCodecs,io.r2dbc.h2.codecs.DefaultCodecs.createCodecs,io.r2dbc.h2.H2ConnectionConfiguration.builder,io.r2dbc.h2.H2ConnectionFactory.getConnectionInfo,io.r2dbc.h2.H2ConnectionFactory.getSessionClient,io.r2dbc.h2.codecs.DefaultCodecs.isPresent,io.r2dbc.h2.H2ConnectionFactory.create,io.r2dbc.h2.client.SessionClient.query",",io.r2dbc.h2.client.SessionClient.createCommand,io.r2dbc.h2.H2ConnectionConfiguration.builder,io.r2dbc.h2.codecs.DefaultCodecs.createCodecs,io.r2dbc.h2.H2ConnectionFactory.getSessionClient,io.r2dbc.h2.H2ConnectionFactory.create,io.r2dbc.h2.client.SessionClient.query"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryTest.createFileBasedDatabase,0,0,,
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryTest.createInMemoryDatabase,7,4,",io.r2dbc.h2.client.SessionClient.createCommand,io.r2dbc.h2.codecs.DefaultCodecs.addOptionalCodecs,io.r2dbc.h2.codecs.DefaultCodecs.createCodecs,io.r2dbc.h2.H2ConnectionFactory.getConnectionInfo,io.r2dbc.h2.H2ConnectionFactory.getSessionClient,io.r2dbc.h2.codecs.DefaultCodecs.isPresent,io.r2dbc.h2.client.SessionClient.query",",io.r2dbc.h2.client.SessionClient.createCommand,io.r2dbc.h2.codecs.DefaultCodecs.createCodecs,io.r2dbc.h2.H2ConnectionFactory.getSessionClient,io.r2dbc.h2.client.SessionClient.query"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryTest.getMetadata,1,1,",io.r2dbc.h2.H2ConnectionFactory.getMetadata,io.r2dbc.h2.H2ConnectionConfiguration.builder",",io.r2dbc.h2.H2ConnectionFactory.getMetadata,io.r2dbc.h2.H2ConnectionConfiguration.builder"
r2dbc-h2,io.r2dbc.h2.H2ConnectionFactoryTest.individualOptions,0,0,,
