Project Name,Total Methods,Methods Covered,Methods Directly Covered,Coverage Percentage,Direct Coverage Percentage,Total Tests,Overlap Ratio,Methods Tested,Methods Directly Tested,Average Coverage
HdrHistogram,780,551,188,70.64,24.1,147,0.78,4686,512,31.88
SquidLib,5663,351,173,6.2,3.05,73,0.5,862,278,11.81
arrow,3789,1881,952,49.64,25.13,869,0.77,44162,5630,50.82
byte-buddy,5046,646,486,12.8,9.63,6357,0.7,19361,4677,3.05
cantaloupe,3475,1521,974,43.77,28.03,3063,0.81,28944,5560,9.45
client_java,386,197,113,51.04,29.27,217,0.7,1462,464,6.74
commons-bcel,3132,1087,133,34.71,4.25,137,0.66,4581,153,33.44
fastjson,17524,6053,4879,34.54,27.84,4979,0.15,65302,4984,13.12
feign,979,440,213,44.94,21.76,913,0.77,17876,1920,19.58
imglib2,3432,1446,649,42.13,18.91,635,0.67,7270,1455,11.45
iri,1554,492,287,31.66,18.47,398,0.65,3126,860,7.85
jdbi,2379,982,310,41.28,13.03,1428,0.83,68684,5180,48.1
jgrapht,3782,2201,1043,58.2,27.58,2416,0.8,34452,4739,14.26
jooby,3331,1096,320,32.9,9.61,485,0.55,12474,882,25.72
logbook,811,434,214,53.51,26.39,564,0.78,3677,794,6.52
objenesis,207,62,29,29.95,14.01,45,0.57,136,52,3.02
panda,1479,877,69,59.3,4.67,61,0.76,3910,135,64.1
r2dbc-h2,291,138,95,47.42,32.65,259,0.59,613,360,2.37
vert.x,5685,2236,1099,39.33,19.33,4095,0.74,24438,5782,5.97
